sec,signed_vol,volume,mid
34200,-808.0,6490.0,183.92
34201,7501.0,14679.0,183.955
34202,1596.0,1784.0,183.965
34203,-562.0,3974.0,184.145
34204,5783.0,7657.0,184.32
34205,1774.0,10342.0,184.17
34206,-820.0,2452.0,184.135
34207,349.0,3547.0,184.31
34208,-1145.0,2395.0,184.195
34209,-420.0,902.0,184.195
34210,-529.0,865.0,184.1
34211,263.0,263.0,184.16
34212,819.0,819.0,184.215
34213,120.0,188.0,184.195
34214,709.0,709.0,184.21
34215,1065.0,1215.0,184.225
34216,438.0,3674.0,184.225
34217,196.0,5126.0,184.195
34218,-1561.0,3345.0,184.215
34219,476.0,476.0,184.26
34220,-707.0,2251.0,184.265
34221,2437.0,3505.0,184.33
34222,75.0,75.0,184.31
34223,-141.0,519.0,184.29
34224,200.0,228.0,184.29
34225,-1140.0,5364.0,184.165
34226,483.0,695.0,184.195
34227,-22.0,448.0,184.13
34228,353.0,397.0,184.225
34229,313.0,313.0,184.255
34230,121.0,1009.0,184.195
34231,46.0,432.0,184.195
34232,4283.0,6453.0,184.17
34233,-540.0,1660.0,184.19
34234,213.0,213.0,184.22
34235,-254.0,454.0,184.21
34236,447.0,697.0,184.235
34237,579.0,1305.0,184.26
34238,146.0,2472.0,184.175
34239,15.0,1317.0,184.145
34240,9.0,519.0,184.135
34241,299.0,2203.0,184.2
34242,19.0,221.0,184.175
34243,-1069.0,1369.0,184.155
34244,477.0,477.0,184.215
34245,95.0,803.0,184.215
34246,-162.0,838.0,184.22
34247,290.0,1420.0,184.195
34248,-249.0,1199.0,184.24
34249,78.0,174.0,184.23
34250,566.0,1466.0,184.235
34251,-232.0,1028.0,184.23
34252,-235.0,235.0,184.22
34253,-47.0,203.0,184.195
34254,339.0,339.0,184.235
34255,247.0,473.0,184.225
34256,174.0,424.0,184.225
34257,123.0,525.0,184.235
34258,25.0,25.0,184.225
34259,294.0,3000.0,184.28
34260,400.0,400.0,184.28
34261,-149.0,1733.0,184.35
34262,449.0,1035.0,184.36
34263,1122.0,1614.0,184.385
34264,7317.0,8647.0,184.415
34265,-1328.0,1892.0,184.355
34266,-737.0,1909.0,184.22
34267,-1470.0,1680.0,184.16
34268,20.0,1596.0,184.26
34269,-857.0,1079.0,184.17
34270,190.0,290.0,184.205
34271,101.0,421.0,184.19
34272,38.0,38.0,184.22
34273,254.0,454.0,184.24
34274,38.0,38.0,184.22
34275,-30.0,30.0,184.22
34276,959.0,1359.0,184.36
34277,122.0,1138.0,184.35
34278,-200.0,400.0,184.355
34279,101.0,1351.0,184.325
34280,124.0,124.0,184.325
34281,-1357.0,2745.0,184.265
34282,-1200.0,2234.0,184.19
34283,-253.0,253.0,184.15
34284,-374.0,426.0,184.15
34285,-275.0,275.0,184.17
34286,-100.0,100.0,184.155
34287,-743.0,849.0,184.1
34288,300.0,300.0,184.145
34289,110.0,510.0,184.205
34290,63.0,63.0,184.215
34291,0.0,0.0,184.23
34292,-14384.0,16888.0,184.04
34293,-1114.0,1560.0,184.015
34294,183.0,201.0,184.075
34295,290.0,1016.0,184.105
34296,397.0,409.0,184.18
34297,0.0,0.0,184.19
34298,33.0,815.0,184.185
34299,119.0,119.0,184.13
34300,105.0,673.0,184.14
34301,-42.0,292.0,184.15
34302,342.0,342.0,184.19
34303,-174.0,226.0,184.18
34304,-97.0,1295.0,184.16
34305,-418.0,582.0,184.165
34306,-204.0,296.0,184.17
34307,-49.0,151.0,184.175
34308,13.0,13.0,184.175
34309,-1351.0,1577.0,184.12
34310,1126.0,1126.0,184.17
34311,182.0,856.0,184.205
34312,997.0,1243.0,184.22
34313,-1060.0,1408.0,184.215
34314,-916.0,916.0,184.145
34315,261.0,261.0,184.16
34316,-216.0,488.0,184.19
34317,41.0,85.0,184.23
34318,1114.0,1314.0,184.24
34319,-200.0,200.0,184.205
34320,-2390.0,2444.0,184.055
34321,0.0,0.0,184.055
34322,-151.0,151.0,184.03
34323,796.0,1860.0,184.05
34324,1189.0,2289.0,184.115
34325,751.0,771.0,184.18
34326,263.0,463.0,184.21
34327,380.0,846.0,184.23
34328,-211.0,789.0,184.235
34329,176.0,176.0,184.245
34330,-565.0,1037.0,184.23
34331,498.0,498.0,184.26
34332,674.0,814.0,184.275
34333,50.0,50.0,184.275
34334,1562.0,3040.0,184.32
34335,1497.0,1499.0,184.38
34336,821.0,921.0,184.405
34337,511.0,511.0,184.425
34338,-525.0,1351.0,184.455
34339,0.0,0.0,184.46
34340,244.0,298.0,184.475
34341,1465.0,1711.0,184.51
34342,296.0,2140.0,184.52
34343,-33.0,167.0,184.525
34344,55.0,255.0,184.525
34345,-1477.0,1477.0,184.505
34346,1256.0,1296.0,184.525
34347,-837.0,847.0,184.51
34348,1706.0,1730.0,184.605
34349,-758.0,842.0,184.62
34350,-499.0,839.0,184.63
34351,-475.0,475.0,184.58
34352,-269.0,569.0,184.555
34353,-177.0,231.0,184.54
34354,255.0,255.0,184.67
34355,33.0,283.0,184.675
34356,222.0,222.0,184.7
34357,1034.0,1578.0,184.77
34358,180.0,318.0,184.77
34359,-113.0,477.0,184.805
34360,-275.0,669.0,184.84
34361,-1226.0,1226.0,184.775
34362,-376.0,476.0,184.71
34363,6.0,74.0,184.745
34364,-265.0,805.0,184.765
34365,166.0,166.0,184.775
34366,-87.0,113.0,184.79
34367,-928.0,1354.0,184.735
34368,-325.0,573.0,184.77
34369,-53.0,191.0,184.77
34370,-450.0,450.0,184.76
34371,-2463.0,3021.0,184.735
34372,-627.0,1427.0,184.64
34373,-261.0,927.0,184.575
34374,-206.0,234.0,184.56
34375,255.0,411.0,184.58
34376,-20.0,88.0,184.58
34377,-900.0,1768.0,184.51
34378,-109.0,109.0,184.485
34379,175.0,177.0,184.5
34380,-518.0,594.0,184.52
34381,341.0,341.0,184.555
34382,455.0,929.0,184.52
34383,557.0,757.0,184.59
34384,399.0,399.0,184.635
34385,-1522.0,2570.0,184.655
34386,-200.0,200.0,184.655
34387,-676.0,676.0,184.595
34388,-691.0,1295.0,184.585
