sec,signed_vol,mid
34200,2140.0,224.31
34201,-2652.0,224.155
34202,-3259.0,224.025
34203,-1355.0,223.91
34204,1982.0,223.79
34205,9.0,223.75
34206,453.0,223.845
34207,-239.0,223.785
34208,-1690.0,223.625
34209,-1844.0,223.465
34210,-33.0,223.44
34211,1713.0,223.435
34212,2198.0,223.56
34213,2966.0,223.7
34214,1125.0,223.71
34215,683.0,223.575
34216,1545.0,223.615
34217,240.0,223.655
34218,696.0,223.735
34219,1170.0,223.825
34220,-701.0,223.78
34221,-1383.0,223.725
34222,-666.0,223.705
34223,-78.0,223.755
34224,0.0,223.745
34225,426.0,223.78
34226,1902.0,223.84
34227,464.0,223.86
34228,-1117.0,223.76
34229,561.0,223.84
34230,-2219.0,223.775
34231,-1498.0,223.76
34232,0.0,223.76
34233,25.0,223.795
34234,428.0,223.815
34235,-81.0,223.765
34236,-1423.0,223.645
34237,-2151.0,223.525
34238,1906.0,223.575
34239,225.0,223.595
34240,301.0,223.63
34241,648.0,223.64
34242,1161.0,223.68
34243,-1522.0,223.53
34244,-110.0,223.5
34245,-263.0,223.45
34246,-115.0,223.44
34247,2975.0,223.56
34248,27.0,223.555
34249,114.0,223.645
34250,1023.0,223.94
34251,-2101.0,223.865
34252,-751.0,223.815
34253,-352.0,223.74
34254,0.0,223.73
34255,100.0,223.785
34256,-395.0,223.78
34257,156.0,223.8
34258,282.0,223.85
34259,-391.0,223.85
34260,-1645.0,223.71
34261,15.0,223.7
34262,-144.0,223.675
34263,-407.0,223.56
34264,57.0,223.61
34265,160.0,223.665
34266,301.0,223.715
34267,-592.0,223.675
34268,262.0,223.585
34269,216.0,223.645
34270,-30.0,223.645
34271,115.0,223.65
34272,687.0,223.63
34273,-466.0,223.575
34274,0.0,223.575
34275,241.0,223.63
34276,0.0,223.63
34277,34.0,223.655
34278,-265.0,223.625
34279,-3.0,223.64
34280,310.0,223.695
34281,631.0,223.695
34282,22.0,223.665
34283,0.0,223.665
34284,182.0,223.69
34285,457.0,223.755
34286,450.0,223.83
34287,1477.0,223.955
34288,-1117.0,223.87
34289,11.0,223.865
34290,-119.0,223.85
34291,296.0,223.89
34292,-1705.0,223.845
34293,5628.0,223.925
34294,85.0,223.925
34295,-221.0,223.915
34296,0.0,223.93
34297,855.0,224.01
34298,-180.0,223.995
34299,14.0,224.0
34300,0.0,224.0
34301,-1025.0,223.89
34302,63.0,223.9
34303,0.0,223.9
34304,143.0,223.935
34305,233.0,223.985
34306,1.0,223.99
34307,245.0,224.0
34308,731.0,224.005
34309,1087.0,224.095
34310,-1392.0,224.12
34311,-111.0,224.12
34312,-291.0,224.095
34313,-120.0,224.06
34314,-958.0,224.06
34315,0.0,224.065
34316,801.0,224.125
34317,-913.0,224.07
34318,166.0,224.095
34319,431.0,224.11
34320,-25.0,224.12
34321,-168.0,224.11
34322,0.0,224.13
34323,1290.0,224.185
34324,0.0,224.185
34325,-1532.0,224.115
34326,-228.0,224.12
34327,0.0,224.13
