sign,shares,n_fills,t_start,t_end,mid_start,mid_end
1.0,130,8,14401.727065869,14412.275374529,223.495,223.735
-1.0,3150,9,14424.087615115,14508.856792734,223.75,223.575
1.0,8,1,14593.999068244,14593.999068244,223.47,223.55
-1.0,304,7,14609.596028698,14811.009133991,223.69,223.61
1.0,3,1,14861.072940678,14861.072940678,223.475,223.555
-1.0,258,7,14871.984699058,14892.913642052,223.515,223.47
1.0,19,1,14977.741534306,14977.741534306,223.33,223.33
-1.0,369,10,14978.0660354,15031.752077336,223.33,223.075
1.0,100,3,15042.409587717,15060.008711302,223.105,223.125
-1.0,48,1,15081.01411234,15081.01411234,223.125,223.045
1.0,45,3,15099.897477217,15124.653075951,223.1,223.13
-1.0,18,1,15132.223554471,15132.223554471,223.015,223.01
1.0,100,1,15132.223689748,15132.223689748,223.01,223.1
-1.0,203,4,15142.248134838,15148.054926582,223.1,222.995
1.0,81,1,15153.564970543,15153.564970543,222.835,222.98
-1.0,55,2,15178.756090525,15308.079972695,222.87,222.855
1.0,823,16,15322.636739022,15477.19576546,222.735,223.24
-1.0,122,5,15666.709396285,15899.486364144,223.05,222.76
1.0,236,5,15899.487039141,15978.21021235,222.665,222.91
-1.0,27,3,15978.210636254,16148.569414912,222.94,222.765
1.0,2040,15,16198.371791929,16457.317173987,222.78,223.16
-1.0,33,1,16459.746310033,16459.746310033,223.16,223.095
1.0,76,5,16463.92251008,16554.990757707,223.095,223.15
-1.0,8,3,16585.835694976,16723.795734811,223.23,223.145
1.0,109,3,16741.280739758,16741.281271717,223.025,223.025
-1.0,657,8,16771.224045471,16778.389326018,223.085,222.86
1.0,273,5,16778.389358065,17425.101729701,222.775,223.155
-1.0,361,2,17472.690752666,17472.691458615,223.155,223.04
1.0,111,5,17508.971427187,17647.684360258,223.055,223.1
-1.0,25,3,17709.300952003,17726.094242712,223.165,223.125
1.0,7,3,18032.958260758,18117.549631853,223.155,223.19
-1.0,43,1,18135.530757439,18135.530757439,223.245,223.19
1.0,155,6,18197.670054384,18333.957433143,223.19,223.33
-1.0,1931,11,18333.957463989,18459.809943134,223.505,223.465
1.0,76,4,18466.914590144,18631.885010447,223.415,223.49
-1.0,8,1,18636.526113116,18636.526113116,223.52,223.445
1.0,377,6,18643.805432389,18747.630836526,223.465,223.615
-1.0,623,5,18763.153862351,18763.156204913,223.62,223.45
1.0,11,1,18773.853980895,18773.853980895,223.415,223.415
-1.0,14,3,18831.566210748,18870.735386101,223.395,223.325
1.0,2204,14,18879.728556345,18915.392073519,223.345,223.395
-1.0,7,2,18921.951112939,18921.951225677,223.395,223.335
1.0,116,9,18937.339186573,18995.959862798,223.39,223.34
-1.0,56,3,19080.814598972,19204.692739028,223.395,223.395
1.0,102,3,19239.150594979,19268.145631905,223.395,223.395
-1.0,10,1,19289.957313775,19289.957313775,223.395,223.395
1.0,14,2,19297.472592766,19297.472630435,223.395,223.395
-1.0,215,3,19308.383977133,19308.383977133,223.395,223.345
1.0,250,5,19426.801426106,19484.045579564,223.35,223.33
-1.0,30,2,19651.283399029,19651.283399029,223.33,223.315
1.0,5,1,19828.824539478,19828.824539478,223.35,223.35
-1.0,213,8,19829.145840928,19835.500954521,223.35,223.315
1.0,991,22,20007.097355052,20724.137593884,223.285,223.645
-1.0,993,20,20965.337583483,21371.512613837,223.645,223.605
1.0,108,5,21637.61646317,21677.173840252,223.615,223.685
-1.0,478,8,21797.161092029,21980.013854227,223.805,223.76
1.0,1,1,22040.601528177,22040.601528177,223.725,223.765
-1.0,270,3,22192.279738427,22291.96106381,223.84,223.61
1.0,10,1,22320.064097253,22320.064097253,223.62,223.62
-1.0,1,1,22371.213087371,22371.213087371,223.8,223.625
1.0,50,1,22403.23592444,22403.23592444,223.63,223.645
-1.0,3,1,22444.718655744,22444.718655744,223.81,223.725
1.0,18,2,22579.194057851,22621.775130191,223.64,223.725
-1.0,172,3,22854.913073146,22948.75453946,223.825,223.775
1.0,6,2,22977.485095532,22977.485095532,223.775,223.79
-1.0,1,1,23319.591918354,23319.591918354,223.865,223.79
1.0,5,1,23457.685526491,23457.685526491,223.79,223.8
-1.0,545,2,23457.685813628,23457.693533654,223.895,223.8
1.0,50,1,23474.201486207,23474.201486207,223.8,223.825
-1.0,6,3,23829.37369836,23882.43216575,223.835,223.815
1.0,243,9,23925.441158223,23945.670088469,223.815,223.88
-1.0,10,1,24078.648288077,24078.648288077,223.88,223.86
1.0,1,1,24242.46367672,24242.46367672,223.875,223.875
-1.0,6,1,24360.214468261,24360.214468261,223.875,223.875
1.0,10,1,24433.475513859,24433.475513859,223.875,223.875
-1.0,2,1,24449.299766365,24449.299766365,223.875,223.855
1.0,157,9,24449.394408267,24620.264112573,223.855,223.975
-1.0,8,1,24620.266289403,24620.266289403,223.985,223.975
1.0,428,14,24620.287431526,24938.08295796,223.975,224.09
-1.0,79,6,24986.013219465,25091.069027904,224.095,223.985
1.0,144,4,25234.043490698,25247.840014863,223.915,224.11
-1.0,200,5,25300.458435099,25305.886292788,224.16,224.075
1.0,3,1,25353.471311566,25353.471311566,224.055,224.11
-1.0,308,6,25365.861721987,25505.653854533,224.145,224.11
1.0,121,4,25566.02795486,25675.077035706,224.11,224.23
-1.0,1,1,25690.810845172,25690.810845172,224.25,224.23
1.0,26,3,25702.432872318,25721.317105459,224.24,224.305
-1.0,113,4,25747.132117614,25767.496610455,224.315,224.225
1.0,100,1,25779.62833806,25779.62833806,224.205,224.275
-1.0,216,10,25809.371144039,25980.50778408,224.23,224.18
1.0,12,2,25995.208723843,25995.208742991,224.18,224.255
-1.0,2843,6,26007.467120181,26144.630110443,224.325,224.2
1.0,100,1,26255.519714486,26255.519714486,224.24,224.285
-1.0,87,8,26271.254878252,26330.043274525,224.285,224.305
1.0,636,8,26356.254849779,26356.261066541,224.32,224.505
-1.0,1458,27,26356.266370163,26656.530987688,224.625,224.45
1.0,101,3,26790.869817115,26797.387814633,224.52,224.565
-1.0,595,5,26889.763437062,26902.890716128,224.69,224.575
1.0,78,3,26918.933096068,26925.069887523,224.55,224.615
-1.0,100,1,26965.552034915,26965.552034915,224.675,224.665
1.0,38,1,26965.552066794,26965.552066794,224.61,224.61
-1.0,197,8,26965.552177447,27044.058505733,224.61,224.515
1.0,5645,15,27068.670684609,27167.857101717,224.515,224.595
-1.0,16,1,27167.85712178,27167.85712178,224.685,224.62
1.0,213,2,27205.617530078,27205.617983552,224.565,224.595
-1.0,5,1,27211.388711074,27211.388711074,224.625,224.595
1.0,416,7,27211.568746164,27317.518631531,224.595,224.71
-1.0,728,13,27317.518662029,27596.548313215,224.75,224.575
1.0,412,12,27612.005129919,27742.537829617,224.55,224.7
-1.0,72,2,27743.488986948,27755.446814302,224.76,224.7
1.0,102,3,27770.241911393,27770.242151701,224.735,224.765
-1.0,285,1,27771.246102995,27771.246102995,224.78,224.745
1.0,205,6,27815.843176149,27829.042749572,224.78,224.825
-1.0,2652,19,27831.63886525,27950.475535654,224.825,224.765
1.0,524,4,27950.475572526,27959.499470378,224.675,224.69
-1.0,52,5,27969.177284146,28068.94770545,224.74,224.63
1.0,1,1,28071.364436606,28071.364436606,224.63,224.64
-1.0,400,1,28074.084303408,28074.084303408,224.67,224.64
1.0,61,2,28107.360259471,28116.810880981,224.645,224.635
-1.0,591,18,28116.815218402,28165.056104034,224.635,224.38
1.0,21,2,28197.525395005,28199.829928081,224.26,224.29
-1.0,1352,7,28220.221788643,28250.410185182,224.28,224.15
1.0,108,3,28267.701501387,28291.178013877,224.15,224.155
-1.0,110,2,28294.232354012,28294.250872328,224.15,224.15
1.0,304,10,28322.04737728,28336.230872205,224.13,224.205
-1.0,10,1,28426.242125462,28426.242125462,224.23,224.215
1.0,102,4,28426.294520061,28435.051992504,224.195,224.255
-1.0,62,2,28461.302668206,28468.546384236,224.38,224.325
1.0,13,3,28469.197526193,28488.255734586,224.325,224.3
-1.0,2097,9,28545.41091146,28606.322042282,224.3,224.205
1.0,54,3,28706.177924438,28741.087418643,224.18,224.225
-1.0,200,2,28743.316636985,28743.374297802,224.275,224.25
1.0,117,2,28745.186798412,28745.186798412,224.225,224.28
-1.0,382,12,28778.048009125,28868.793211749,224.29,224.22
1.0,100,5,29080.65923185,29141.387523059,224.165,224.17
-1.0,10,1,29151.751242605,29151.751242605,224.18,224.17
1.0,256,5,29181.041193659,29256.819045616,224.14,224.19
-1.0,5,2,29275.371435487,29298.951476874,224.225,224.19
1.0,62,3,29303.082601685,29303.082661763,224.21,224.255
-1.0,9,1,29368.990706624,29368.990706624,224.23,224.195
1.0,24,1,29378.691397841,29378.691397841,224.195,224.195
-1.0,13,2,29398.266760605,29398.266771564,224.29,224.23
1.0,6,1,29406.743119856,29406.743119856,224.165,224.215
-1.0,485,6,29415.07057462,29462.110332251,224.27,224.21
1.0,360,7,29537.107553836,29675.57510801,224.23,224.34
-1.0,10,2,29687.806913426,29704.929222433,224.29,224.315
1.0,3,1,29719.070276266,29719.070276266,224.31,224.31
-1.0,1,1,29727.507104034,29727.507104034,224.315,224.31
1.0,125,3,29754.810415364,29784.21171066,224.285,224.29
-1.0,1,1,29793.859320028,29793.859320028,224.29,224.29
1.0,100,1,29802.314681676,29802.314681676,224.295,224.305
-1.0,2,1,29803.317504729,29803.317504729,224.295,224.29
1.0,110,3,29810.958996066,29810.959096683,224.25,224.325
-1.0,2,2,29875.613078856,29885.656081389,224.44,224.35
1.0,37,3,29890.361677879,29953.829346749,224.365,224.435
-1.0,38,1,30023.578935754,30023.578935754,224.455,224.455
1.0,40,1,30023.579013066,30023.579013066,224.465,224.465
-1.0,50,1,30023.579094055,30023.579094055,224.465,224.465
1.0,124,5,30023.579311432,30023.579504383,224.46,224.475
-1.0,1,1,30028.46090673,30028.46090673,224.435,224.39
1.0,449,2,30040.487726496,30040.487726496,224.365,224.415
-1.0,29,2,30073.844126271,30130.922488549,224.49,224.42
1.0,290,13,30164.706973419,30213.054449988,224.47,224.55
-1.0,29,4,30221.409086693,30259.638731815,224.555,224.475
1.0,5,1,30358.79444039,30358.79444039,224.485,224.535
-1.0,10,1,30372.421566427,30372.421566427,224.575,224.555
1.0,1,1,30384.665526177,30384.665526177,224.525,224.525
