sec,signed_vol,volume,mid
34200,698.0,1098.0,21.94
34201,6978.0,35860.0,21.915
34202,22422.0,23532.0,21.905
34203,-17007.0,24253.0,21.835
34204,-21473.0,27545.0,21.805
34205,-12178.0,38440.0,21.82
34206,-3393.0,8885.0,21.795
34207,-1998.0,3650.0,21.785
34208,-21231.0,28065.0,21.755
34209,-1938.0,4538.0,21.755
34210,-19801.0,27575.0,21.705
34211,-18957.0,49529.0,21.67
34212,-9968.0,10878.0,21.635
34213,3824.0,4424.0,21.66
34214,2881.0,2881.0,21.675
34215,-1461.0,2789.0,21.67
34216,11004.0,12224.0,21.675
34217,-188.0,2100.0,21.665
34218,-502.0,3600.0,21.65
34219,-1070.0,4486.0,21.625
34220,353.0,511.0,21.625
34221,314.0,1338.0,21.615
34222,-20755.0,21581.0,21.605
34223,-6605.0,13435.0,21.585
34224,-1972.0,2394.0,21.575
34225,950.0,13974.0,21.545
34226,-581.0,1881.0,21.535
34227,8635.0,9977.0,21.535
34228,10093.0,10299.0,21.6
34229,-51.0,267.0,21.605
34230,3485.0,4643.0,21.61
34231,185.0,1585.0,21.615
34232,-1209.0,2493.0,21.615
34233,-4634.0,6938.0,21.615
34234,141.0,2997.0,21.64
34235,-646.0,2076.0,21.635
34236,-754.0,754.0,21.635
34237,8893.0,17183.0,21.69
34238,14.0,1814.0,21.71
34239,861.0,2139.0,21.7
34240,-1257.0,6641.0,21.695
34241,-1536.0,1536.0,21.685
34242,265.0,5131.0,21.69
34243,-780.0,2156.0,21.685
34244,2017.0,3647.0,21.675
34245,5230.0,8258.0,21.695
34246,-878.0,1172.0,21.665
34247,4116.0,4516.0,21.665
34248,4763.0,5563.0,21.68
34249,0.0,0.0,21.675
34250,1345.0,1345.0,21.685
34251,-1053.0,1889.0,21.675
34252,1974.0,5086.0,21.675
34253,-207.0,509.0,21.67
34254,576.0,1050.0,21.665
34255,-909.0,2377.0,21.655
34256,-1400.0,1926.0,21.625
34257,206.0,206.0,21.625
34258,168.0,2138.0,21.63
34259,4371.0,5163.0,21.655
34260,840.0,6654.0,21.655
34261,3289.0,5465.0,21.68
34262,17375.0,23569.0,21.73
34263,500.0,2270.0,21.74
34264,2475.0,2805.0,21.76
34265,1563.0,2639.0,21.77
34266,-1096.0,3874.0,21.76
34267,-2885.0,4255.0,21.76
34268,-248.0,1698.0,21.76
34269,-7412.0,8412.0,21.735
34270,107.0,393.0,21.725
34271,-122.0,122.0,21.715
34272,5087.0,8157.0,21.715
34273,0.0,0.0,21.705
34274,-11.0,2067.0,21.705
34275,1342.0,1894.0,21.715
34276,1216.0,1442.0,21.71
34277,2538.0,8036.0,21.69
34278,-1626.0,11644.0,21.655
34279,-3152.0,3722.0,21.65
34280,-693.0,5241.0,21.625
34281,-7008.0,10278.0,21.605
34282,374.0,374.0,21.615
34283,-892.0,1216.0,21.605
34284,-22.0,2422.0,21.605
34285,5717.0,5717.0,21.62
34286,410.0,2214.0,21.625
34287,1821.0,3993.0,21.63
34288,-1229.0,1229.0,21.615
34289,0.0,0.0,21.615
34290,6733.0,6855.0,21.625
34291,0.0,0.0,21.625
34292,-1518.0,1518.0,21.615
34293,-20067.0,20719.0,21.575
34294,-200.0,1000.0,21.555
34295,11016.0,13720.0,21.575
34296,4438.0,5198.0,21.575
34297,-1005.0,1005.0,21.555
34298,-347.0,1077.0,21.565
34299,-304.0,504.0,21.555
34300,-72.0,2434.0,21.555
34301,-12305.0,17021.0,21.515
34302,962.0,7718.0,21.515
34303,5984.0,7180.0,21.53
34304,-156.0,1532.0,21.535
34305,134.0,3110.0,21.555
34306,1710.0,1908.0,21.555
34307,1873.0,3673.0,21.555
34308,1942.0,3396.0,21.555
34309,-8387.0,12413.0,21.555
34310,2517.0,5983.0,21.555
34311,961.0,961.0,21.575
34312,-6562.0,8414.0,21.57
34313,-3780.0,4554.0,21.565
34314,343.0,1667.0,21.58
34315,6231.0,8399.0,21.59
34316,-1943.0,2783.0,21.535
34317,-2559.0,3679.0,21.525
34318,1040.0,3520.0,21.515
34319,735.0,939.0,21.53
34320,421.0,469.0,21.535
34321,-960.0,2268.0,21.545
34322,-1094.0,1192.0,21.535
34323,-2581.0,4381.0,21.525
34324,-7895.0,20369.0,21.515
34325,-84739.0,101539.0,21.505
34326,53470.0,68882.0,21.435
34327,3656.0,4632.0,21.455
34328,-1965.0,1965.0,21.435
34329,-2740.0,2740.0,21.415
34330,3870.0,4366.0,21.435
34331,1300.0,2100.0,21.425
34332,1591.0,1591.0,21.425
34333,-12229.0,12229.0,21.395
34334,-27436.0,27436.0,21.375
34335,-5555.0,15777.0,21.355
34336,-5900.0,5900.0,21.355
34337,379.0,1435.0,21.355
34338,-6144.0,6944.0,21.355
34339,-5.0,5.0,21.355
34340,-3368.0,8506.0,21.355
34341,-4972.0,9344.0,21.345
34342,-1229.0,1229.0,21.335
34343,2939.0,8921.0,21.315
34344,1918.0,1918.0,21.325
34345,1887.0,3487.0,21.325
34346,-2265.0,2475.0,21.315
34347,2626.0,3704.0,21.305
34348,-12611.0,18211.0,21.275
34349,-67966.0,72320.0,21.26
