sec,signed_vol,mid
34200,-5447.0,24.83
34201,22445.0,24.93
34202,-3627.0,24.9
34203,2644.0,24.94
34204,5333.0,24.91
34205,-4225.0,24.89
34206,-3932.0,24.9
34207,-700.0,24.925
34208,-3310.0,24.9
34209,4011.0,24.93
34210,3385.0,24.94
34211,3738.0,24.92
34212,6284.0,24.935
34213,6441.0,24.96
34214,7475.0,24.97
34215,411.0,24.985
34216,1674.0,24.975
34217,229338.0,25.01
34218,-3996.0,24.965
34219,-3565.0,24.925
34220,1153.0,24.935
34221,0.0,24.92
34222,0.0,24.905
34223,312.0,24.885
34224,-2577.0,24.845
34225,1311.0,24.845
34226,1585.0,24.855
34227,22.0,24.865
34228,0.0,24.865
34229,-184.0,24.885
34230,1559.0,24.95
34231,1566.0,24.995
34232,3424.0,25.01
34233,4276.0,25.005
34234,2043.0,25.005
34235,655.0,25.015
34236,-1073.0,25.01
34237,1912.0,25.025
34238,-3377.0,25.015
34239,1147.0,24.985
34240,-1147.0,24.945
34241,-1224.0,24.915
34242,-1301.0,24.875
34243,3624.0,24.855
34244,-5508.0,24.835
34245,99.0,24.825
34246,4888.0,24.84
34247,-278.0,24.845
34248,-2729.0,24.82
34249,-2650.0,24.83
34250,760.0,24.84
34251,-1437.0,24.83
34252,-310.0,24.84
34253,0.0,24.845
34254,-3498.0,24.815
34255,0.0,24.82
34256,-100.0,24.825
34257,68.0,24.855
34258,254.0,24.87
34259,-100.0,24.865
34260,-116.0,24.885
34261,-200.0,24.865
34262,-209.0,24.855
34263,-519.0,24.845
34264,1300.0,24.865
34265,0.0,24.865
34266,375.0,24.845
34267,830.0,24.845
34268,-9270.0,24.8
34269,60.0,24.8
34270,30.0,24.805
34271,-270.0,24.795
34272,-1970.0,24.765
34273,-100.0,24.78
34274,0.0,24.78
34275,-35.0,24.81
34276,-203.0,24.825
34277,139.0,24.825
34278,202.0,24.835
34279,-515.0,24.835
34280,2699.0,24.855
34281,-6175.0,24.825
34282,-195.0,24.83
34283,-1556.0,24.825
34284,-192.0,24.83
34285,0.0,24.83
34286,-380.0,24.825
34287,275.0,24.85
34288,0.0,24.85
34289,0.0,24.85
34290,718.0,24.885
34291,0.0,24.885
34292,-3160.0,24.885
34293,8716.0,24.925
34294,0.0,24.925
34295,0.0,24.925
34296,0.0,24.925
34297,0.0,24.925
34298,-905.0,24.925
34299,-277.0,24.94
34300,-4369.0,24.93
34301,-25.0,24.94
34302,193.0,24.945
34303,-483.0,24.945
34304,-2134.0,24.925
34305,60.0,24.945
34306,5073.0,24.955
34307,0.0,24.955
34308,0.0,24.955
34309,0.0,24.955
34310,-4264.0,24.915
34311,67.0,24.92
34312,0.0,24.92
34313,0.0,24.915
34314,-818.0,24.935
34315,647.0,24.945
34316,0.0,24.945
34317,1491.0,24.955
34318,-1.0,24.945
34319,0.0,24.945
34320,-1174.0,24.935
34321,0.0,24.935
34322,8156.0,24.975
34323,87.0,24.98
34324,400.0,24.985
34325,9479.0,24.985
34326,1094.0,24.99
34327,-1606.0,24.975
34328,701.0,24.98
34329,-8825.0,24.97
34330,0.0,24.97
34331,0.0,24.97
34332,0.0,24.98
34333,826.0,24.985
34334,14.0,24.995
34335,0.0,24.995
34336,760.0,25.01
34337,838.0,25.015
34338,159.0,25.015
34339,1726.0,25.025
34340,4609.0,25.035
34341,188.0,25.045
34342,6442.0,25.045
34343,2896.0,25.045
34344,-8.0,25.055
34345,1278.0,25.065
34346,-755.0,25.015
34347,-7443.0,24.965
34348,-1712.0,24.94
34349,-5357.0,24.915
34350,-100.0,24.915
34351,1003.0,24.915
34352,-2866.0,24.915
34353,0.0,24.905
34354,0.0,24.905
34355,1948.0,24.935
34356,928.0,24.965
34357,0.0,24.965
34358,0.0,24.965
34359,1003.0,24.975
34360,-3175.0,24.925
34361,1925.0,24.925
34362,1874.0,24.925
34363,94.0,24.955
34364,1710.0,24.955
34365,-111.0,24.935
34366,1514.0,24.935
34367,285.0,24.955
34368,-500.0,24.955
34369,492.0,24.985
34370,5615.0,24.965
34371,386.0,24.955
34372,0.0,24.955
34373,1080.0,24.965
34374,3880.0,24.975
34375,-4.0,24.975
34376,-4799.0,24.94
34377,300.0,24.955
34378,-250.0,24.945
34379,0.0,24.945
34380,600.0,24.945
34381,-7926.0,24.905
34382,-950.0,24.905
34383,137.0,24.895
34384,-7706.0,24.87
34385,11830.0,24.895
34386,-2517.0,24.885
34387,-1405.0,24.865
34388,-578.0,24.835
34389,326.0,24.84
34390,0.0,24.84
34391,10.0,24.845
34392,-1428.0,24.825
34393,0.0,24.825
34394,0.0,24.825
34395,500.0,24.835
34396,3828.0,24.855
34397,1303.0,24.875
34398,1199.0,24.885
34399,411.0,24.895
34400,200.0,24.905
34401,900.0,24.915
34402,1088.0,24.91
