sign,shares,n_fills,t_start,t_end,mid_start,mid_end
1.0,70,3,14460.838820774,14470.636393159,23.965,23.965
-1.0,1,1,14509.756181233,14509.756181233,23.95,23.95
1.0,482,5,14528.536455134,14564.784058184,23.95,23.965
-1.0,360,5,14579.619209967,14663.446602539,23.995,23.965
1.0,200,2,14698.836023397,14698.836023397,23.955,23.96
-1.0,949,24,14724.21383167,14908.921851709,24.01,23.995
1.0,1,1,14956.029048605,14956.029048605,24.0,24.005
-1.0,1,1,15119.294454431,15119.294454431,24.01,24.005
1.0,1,1,15138.771783385,15138.771783385,23.995,24.005
-1.0,1055,11,15177.779422388,15344.167353225,24.015,24.0
1.0,251,6,15560.491327845,15829.248298355,23.99,23.995
-1.0,159,3,16171.833399997,16204.027368512,23.995,23.99
1.0,2,1,16225.004407972,16225.004407972,23.985,23.985
-1.0,22,1,16230.469219327,16230.469219327,23.985,23.985
1.0,442,6,16273.552290326,16297.020739347,23.985,23.995
-1.0,50,1,16350.81380667,16350.81380667,23.995,23.995
1.0,136,2,16483.794266363,16483.794266363,23.995,24.0
-1.0,196,5,16496.279073797,16534.895462629,24.005,23.995
1.0,64,2,16534.895569736,16534.895569736,23.99,23.995
-1.0,64,2,16576.874759248,16576.874759248,23.995,23.99
1.0,590,6,16625.635387017,16649.978490809,23.99,24.005
-1.0,1171,11,16653.599107001,16773.426084393,24.025,23.99
1.0,212,5,16798.272572828,16907.278235854,23.98,23.99
-1.0,1511,16,16988.11207846,17667.941679151,24.0,23.945
1.0,1,1,17749.63600544,17749.63600544,23.955,23.955
-1.0,200,1,17750.213977285,17750.213977285,23.955,23.95
1.0,210,4,17769.263213491,17781.413601541,23.945,23.945
-1.0,704,5,17829.117093119,17863.603609556,23.945,23.93
1.0,1,1,17863.638064755,17863.638064755,23.925,23.925
-1.0,423,3,17895.972767051,17895.972767051,23.925,23.915
1.0,1824,3,17901.010764665,17903.741451958,23.915,23.915
-1.0,1591,13,18046.207953336,18215.624246562,23.92,23.895
1.0,800,6,18279.420816475,18279.42126397,23.915,23.92
-1.0,800,6,18282.995297615,18315.763287342,23.92,23.915
1.0,300,3,18318.865602414,18318.866426555,23.905,23.915
-1.0,89,2,18333.478165438,18404.417860748,23.92,23.92
1.0,1,1,18453.351108546,18453.351108546,23.92,23.92
-1.0,13,3,18471.977603136,18637.987857623,23.925,23.93
1.0,1852,18,18726.661254025,19246.426306142,23.925,23.94
-1.0,42,2,19297.994038827,19720.068065259,23.94,23.945
1.0,100,1,19727.564093989,19727.564093989,23.945,23.945
-1.0,190,2,19853.419316219,19853.419316219,23.945,23.94
1.0,748,4,19909.97881254,20013.769152094,23.945,23.955
-1.0,109,2,20304.514383641,20304.514383641,23.955,23.955
1.0,50,1,20404.589705504,20404.589705504,23.955,23.955
-1.0,3,1,20476.883873874,20476.883873874,23.955,23.955
1.0,15,2,20494.243623846,20498.051588684,23.955,23.955
-1.0,334,8,20821.899224273,20842.0363459,23.955,23.95
1.0,34,1,20921.627733694,20921.627733694,23.935,23.945
-1.0,1000,1,21091.571372043,21091.571372043,23.935,23.935
1.0,200,2,21395.423247428,21395.423247428,23.93,23.94
-1.0,100,1,21547.4369114,21547.4369114,23.935,23.935
1.0,300,5,21614.668787264,21683.890787508,23.935,23.945
-1.0,1268,7,21806.651877054,22162.546453928,23.95,23.915
1.0,300,3,22182.695021523,22182.695021523,23.915,23.925
-1.0,292,6,22211.422821833,22442.263117412,23.925,23.905
1.0,15,2,22644.818872813,22745.616766316,23.905,23.905
-1.0,843,7,22814.643980839,22814.643980839,23.905,23.9
1.0,869,10,22822.754116516,23256.684696803,23.885,23.9
-1.0,1,1,23271.03731584,23271.03731584,23.905,23.9
1.0,101,3,23593.013374062,23611.89797228,23.9,23.9
-1.0,188,1,24153.352770368,24153.352770368,23.905,23.905
1.0,200,2,24215.535528665,24215.535528665,23.905,23.91
-1.0,299,3,24303.598232829,24345.082960897,23.955,23.925
1.0,599,4,24356.577362799,24356.579133913,23.915,23.93
-1.0,1,1,24374.964734713,24374.964734713,23.94,23.94
1.0,199,2,24419.609535778,24431.682663994,23.935,23.94
-1.0,401,5,24593.178970315,24611.450561677,23.945,23.94
1.0,65,1,24611.475379003,24611.475379003,23.935,23.94
-1.0,499,6,24633.112144634,24739.838877995,23.94,23.93
1.0,500,6,24882.87457463,25047.533562844,23.935,23.945
-1.0,228,5,25047.533611343,25047.535243831,23.955,23.955
1.0,190,2,25200.054812784,25200.278659598,23.945,23.95
-1.0,27,2,25214.069244759,25214.069306656,23.95,23.945
1.0,706,12,25252.791403171,25945.206368145,23.945,23.995
-1.0,90,1,26054.987066137,26054.987066137,23.995,23.995
1.0,320,7,26117.44925076,26319.323483762,23.99,23.99
-1.0,283,4,26567.005953621,26661.649451835,23.98,23.96
1.0,200,2,26899.65650407,26899.65650407,23.96,23.965
-1.0,70,2,26923.694356006,26927.84459032,23.975,23.975
1.0,300,3,27071.014996113,27071.014996113,23.98,23.985
-1.0,76,2,27190.308677541,27190.308677541,23.995,23.99
1.0,1548,17,27488.499406602,28020.633503846,23.98,23.985
-1.0,100,1,28023.355542577,28023.355542577,23.985,23.98
1.0,739,4,28082.978119221,28242.117573312,23.975,23.99
-1.0,159,4,28305.47221349,28626.217814407,23.995,23.99
1.0,222,3,28728.274586978,28889.457854312,23.985,23.985
-1.0,50,1,28938.664313675,28938.664313675,23.985,23.985
1.0,89,10,28954.255366898,29148.707073959,23.985,23.99
-1.0,2,1,29211.296003879,29211.296003879,23.995,23.995
1.0,2294,8,29239.115495009,29474.610281547,23.995,24.015
-1.0,400,4,29476.912749203,29476.912749203,24.02,24.015
1.0,300,8,29619.325594558,29924.933800956,24.015,24.025
-1.0,1716,11,29956.533850718,30050.281806209,24.025,24.015
1.0,1167,3,30063.103887696,30102.830613089,24.005,24.005
-1.0,632,9,30180.753243871,30374.308017921,24.005,23.995
1.0,3126,8,30603.324482796,30603.481609197,23.995,24.0
-1.0,1298,10,30603.596157624,30604.101692592,24.0,23.975
1.0,284,3,30604.104151115,30604.104151115,23.97,23.975
-1.0,868,9,30604.105888662,30604.961477673,23.985,23.97
1.0,20467,30,30605.136584895,30606.097180017,23.975,24.045
-1.0,189,2,30606.10002438,30606.10002438,24.045,24.04
1.0,2410,7,30606.103825673,30606.468330066,24.035,24.055
-1.0,2516,14,30606.509787185,30606.65208882,24.065,24.015
1.0,10,1,30606.652211775,30606.652211775,24.01,24.01
-1.0,2057,8,30606.6534478,30606.707702761,24.015,23.975
1.0,1705,13,30606.735402342,30606.741880147,23.95,24.025
-1.0,809,8,30606.745964489,30606.747343005,24.085,24.07
1.0,180,3,30606.747353167,30606.747353167,24.07,24.075
-1.0,128,2,30606.74744285,30606.747546838,24.075,24.07
1.0,533,9,30606.747739963,30606.757856598,24.065,24.14
-1.0,422,3,30606.759017549,30606.759046286,24.16,24.135
1.0,157,3,30606.759205009,30606.759205009,24.12,24.13
-1.0,452,8,30606.759268026,30606.759449831,24.14,24.12
1.0,289,2,30606.760696495,30606.760696495,24.115,24.115
-1.0,203,4,30606.762812109,30606.762843142,24.14,24.125
1.0,497,7,30606.762998774,30606.840961901,24.12,24.205
-1.0,644,11,30606.841012078,30606.841831431,24.215,24.17
1.0,29,1,30606.841887947,30606.841887947,24.17,24.17
-1.0,96,3,30606.841905305,30606.841933628,24.175,24.17
1.0,1178,10,30606.842687377,30606.842814733,24.17,24.175
-1.0,282,4,30606.845688538,30606.845688538,24.18,24.175
1.0,193,3,30606.84854123,30606.84854123,24.165,24.17
-1.0,78,2,30606.968505394,30606.968890654,24.23,24.22
1.0,542,7,30606.969501148,30606.971003556,24.22,24.265
-1.0,678,5,30606.992174726,30606.994617941,24.27,24.29
1.0,134,4,30606.995798994,30606.998005663,24.265,24.285
-1.0,92,1,30607.005977836,30607.005977836,24.275,24.265
1.0,300,4,30607.02299511,30607.184689112,24.14,24.275
-1.0,1422,2,30607.186316,30607.18632188,24.34,24.315
1.0,827,3,30607.294014106,30607.294014106,24.32,24.33
-1.0,235,3,30607.294548442,30607.294806122,24.345,24.33
1.0,637,7,30607.296019666,30607.576590923,24.345,24.435
-1.0,200,2,30607.5852041,30607.5852041,24.44,24.44
1.0,477,10,30607.827519511,30607.835186813,24.43,24.49
-1.0,125,2,30607.836082687,30607.836179436,24.49,24.48
1.0,672,5,30607.869348617,30607.958047757,24.485,24.49
-1.0,137,3,30607.995558137,30607.995563536,24.48,24.465
1.0,373,4,30608.146700496,30608.147817788,24.45,24.475
-1.0,973,13,30608.237351271,30608.240677121,24.535,24.495
1.0,387,3,30608.693960001,30608.69572015,24.445,24.495
-1.0,188,3,30608.842331287,30608.842350212,24.48,24.47
1.0,349,4,30609.276006968,30609.276006968,24.46,24.48
-1.0,2266,8,30609.309724882,30609.43353049,24.525,24.38
1.0,100,1,30609.535779082,30609.535779082,24.32,24.345
-1.0,2029,5,30609.536165037,30609.536165037,24.41,24.35
1.0,276,2,30609.53933837,30609.53933837,24.26,24.265
-1.0,264,3,30609.539692316,30609.539721266,24.27,24.24
1.0,603,4,30609.559389607,30609.571636164,24.225,24.225
-1.0,2,2,30609.733452732,30609.735607391,24.225,24.115
