sec,signed_vol,volume,mid
34200,641.0,6757.0,402.295
34201,-1720.0,2618.0,402.56
34202,-129.0,1045.0,402.525
34203,-1862.0,2668.0,402.54
34204,-2814.0,4168.0,402.265
34205,294.0,2176.0,402.58
34206,-185.0,445.0,402.58
34207,1328.0,5092.0,402.73
34208,-262.0,1162.0,402.835
34209,16.0,1226.0,402.805
34210,-631.0,643.0,402.74
34211,-504.0,1150.0,402.825
34212,-297.0,347.0,402.74
34213,-118.0,118.0,402.715
34214,11.0,651.0,402.82
34215,-275.0,325.0,402.695
34216,252.0,252.0,402.805
34217,-67.0,107.0,402.785
34218,357.0,525.0,402.95
34219,5.0,5.0,402.975
34220,-630.0,630.0,402.72
34221,0.0,0.0,402.7
34222,-3.0,3.0,402.705
34223,-26.0,226.0,402.655
34224,-846.0,928.0,402.45
34225,-715.0,873.0,402.245
34226,340.0,540.0,402.265
34227,-242.0,276.0,402.09
34228,-647.0,1047.0,402.055
34229,0.0,0.0,402.05
34230,388.0,480.0,401.99
34231,-787.0,1023.0,401.895
34232,345.0,751.0,401.995
34233,509.0,515.0,402.085
34234,0.0,0.0,402.105
34235,105.0,903.0,402.26
34236,250.0,378.0,402.305
34237,-231.0,281.0,402.29
34238,323.0,323.0,402.375
34239,46.0,46.0,402.44
34240,-157.0,245.0,402.335
34241,-375.0,477.0,402.32
34242,252.0,258.0,402.41
34243,-129.0,129.0,402.305
34244,782.0,988.0,402.46
34245,-320.0,522.0,402.305
34246,252.0,252.0,402.435
34247,386.0,698.0,402.64
34248,-116.0,116.0,402.565
34249,-50.0,50.0,402.405
34250,-102.0,298.0,402.395
34251,-327.0,327.0,402.215
34252,181.0,469.0,402.275
34253,-103.0,103.0,402.155
34254,35.0,365.0,402.095
34255,-213.0,213.0,402.055
34256,520.0,720.0,402.18
34257,-30.0,30.0,402.09
34258,0.0,0.0,402.04
34259,-485.0,685.0,401.99
34260,246.0,246.0,402.02
34261,-6.0,6.0,402.02
34262,412.0,1060.0,402.005
34263,459.0,659.0,402.015
34264,600.0,800.0,402.045
34265,25.0,25.0,402.05
34266,62.0,140.0,402.02
34267,-481.0,731.0,401.995
34268,310.0,720.0,402.085
34269,0.0,0.0,402.045
34270,0.0,0.0,402.05
34271,512.0,772.0,402.25
34272,187.0,245.0,402.39
34273,-27.0,27.0,402.315
34274,-118.0,118.0,402.325
34275,286.0,286.0,402.4
34276,203.0,203.0,402.44
34277,330.0,544.0,402.635
34278,-558.0,564.0,402.68
34279,0.0,0.0,402.695
34280,0.0,8.0,402.74
34281,242.0,686.0,402.86
34282,-168.0,942.0,402.855
34283,18.0,222.0,402.935
34284,-104.0,104.0,402.85
34285,-276.0,496.0,402.85
34286,11.0,815.0,402.95
34287,23.0,27.0,402.945
34288,0.0,0.0,402.945
34289,3313.0,4909.0,403.195
34290,-42.0,1062.0,403.185
34291,-243.0,383.0,403.195
34292,-510.0,510.0,403.07
34293,-124.0,124.0,403.025
34294,0.0,0.0,403.04
34295,141.0,349.0,403.105
34296,-793.0,793.0,403.035
34297,190.0,190.0,403.045
34298,681.0,1111.0,403.215
34299,434.0,434.0,403.265
34300,146.0,146.0,403.275
34301,-3.0,3.0,403.28
34302,-40.0,68.0,403.3
34303,-191.0,415.0,403.32
34304,433.0,1087.0,403.295
34305,100.0,100.0,403.29
34306,0.0,0.0,403.28
34307,-179.0,231.0,403.335
34308,0.0,0.0,403.36
34309,-254.0,254.0,403.325
34310,0.0,0.0,403.355
34311,396.0,396.0,403.35
34312,201.0,201.0,403.385
34313,200.0,200.0,403.455
34314,87.0,103.0,403.43
34315,3296.0,3296.0,403.61
34316,341.0,341.0,403.69
34317,760.0,1978.0,403.785
34318,304.0,304.0,403.815
34319,306.0,518.0,403.875
34320,-20.0,646.0,403.895
34321,-176.0,580.0,403.91
34322,6256.0,8266.0,403.955
34323,913.0,913.0,404.06
34324,658.0,664.0,404.09
34325,-811.0,811.0,404.045
34326,125.0,125.0,404.05
34327,-100.0,100.0,404.05
34328,-1542.0,2348.0,403.76
34329,-18.0,18.0,403.835
34330,105.0,105.0,403.82
34331,266.0,1050.0,403.84
34332,706.0,1106.0,403.885
34333,2445.0,2649.0,404.11
34334,0.0,0.0,404.1
34335,0.0,0.0,404.12
34336,1051.0,1063.0,404.18
34337,-663.0,663.0,404.095
34338,-110.0,110.0,404.07
34339,-408.0,408.0,404.005
34340,499.0,521.0,404.09
34341,-50.0,50.0,404.1
34342,-119.0,119.0,404.065
34343,-1378.0,1394.0,403.77
34344,-1638.0,2586.0,403.64
34345,-1709.0,2337.0,403.575
34346,594.0,1818.0,403.695
34347,-465.0,465.0,403.685
34348,340.0,460.0,403.695
34349,-276.0,276.0,403.68
34350,-203.0,403.0,403.64
34351,-1829.0,2769.0,403.575
34352,318.0,324.0,403.64
34353,-995.0,2197.0,403.735
34354,305.0,995.0,403.755
34355,-18.0,18.0,403.72
34356,1.0,1.0,403.73
34357,500.0,500.0,403.77
34358,274.0,284.0,403.855
34359,477.0,683.0,403.915
