sign,shares,n_fills,t_start,t_end,mid_start,mid_end
-1.0,16,6,14413.969274641,14514.516779577,416.51,416.15
1.0,395,10,14559.441507959,14567.868274013,416.07,415.965
-1.0,101,15,14567.868386047,14567.869417849,415.965,415.92
1.0,305,5,14570.315750249,14570.335614476,415.92,416.14
-1.0,41,1,14597.028996584,14597.028996584,416.115,416.115
1.0,1,1,14658.180796512,14658.180796512,416.47,416.47
-1.0,475,17,14725.575558081,14771.183188506,416.35,416.375
1.0,2,1,14810.120477044,14810.120477044,416.375,416.375
-1.0,245,15,14816.700991166,14954.546367611,416.48,416.19
1.0,5,1,14967.017464958,14967.017464958,416.19,416.19
-1.0,9,3,15019.941478507,15036.161975971,416.18,416.195
1.0,11,1,15039.446431211,15039.446431211,416.195,416.195
-1.0,11,2,15138.850462896,15148.748332171,416.295,416.205
1.0,5,2,15152.946693373,15173.889780074,416.205,416.215
-1.0,30,1,15176.959983405,15176.959983405,416.215,416.215
1.0,64,3,15190.47755524,15203.997830705,416.115,416.205
-1.0,125,6,15262.15880649,15328.58319556,416.275,416.09
1.0,1,1,15341.934313477,15341.934313477,416.27,416.27
-1.0,4,2,15354.402402087,15391.580692495,416.17,416.1
1.0,48,11,15478.117977,16034.00322393,416.105,416.4
-1.0,57,10,16126.517161484,16327.672246044,416.44,416.17
1.0,123,2,16327.745550921,16327.753996,416.17,416.32
-1.0,267,16,16346.504399153,16530.508518507,416.17,415.69
1.0,2,1,16537.282838333,16537.282838333,415.74,415.74
-1.0,28,2,16706.33103551,16709.006796906,415.78,415.78
1.0,707,10,16741.55176425,16879.354685378,415.84,415.915
-1.0,232,6,16895.23782913,16988.463024233,415.915,415.675
1.0,11,2,17012.603635589,17026.782667494,415.6,415.55
-1.0,221,9,17034.801394105,17188.989625744,415.54,415.625
1.0,20,2,17292.363123262,17293.280023869,415.845,416.035
-1.0,10,1,17341.78749298,17341.78749298,416.05,416.05
1.0,17,1,17352.596643435,17352.596643435,416.17,416.17
-1.0,3,1,17473.212493366,17473.212493366,416.215,416.215
1.0,3,1,17542.285503443,17542.285503443,416.185,416.185
-1.0,1,1,17560.120116835,17560.120116835,416.145,416.145
1.0,9,2,17569.039564446,17569.039564446,416.26,416.185
-1.0,2,1,17586.006596882,17586.006596882,416.275,416.275
1.0,5,1,17633.534101276,17633.534101276,416.265,416.265
-1.0,14,1,17650.971136154,17650.971136154,416.155,416.19
1.0,86,2,17662.244970666,17666.40123532,416.15,416.185
-1.0,21,3,17681.213347409,17690.666672796,416.185,416.235
1.0,101,3,17701.621398099,17732.829359943,416.205,416.31
-1.0,10,1,17758.208828486,17758.208828486,416.195,416.195
1.0,10,1,17773.149838158,17773.149838158,416.41,416.285
-1.0,192,5,17796.568645043,17860.841866289,416.41,416.41
1.0,3,1,17905.157371991,17905.157371991,416.315,416.315
-1.0,4,2,17988.861537685,17988.861596808,416.36,416.24
1.0,34,2,18117.080205141,18144.100544811,416.24,416.21
-1.0,37,2,18229.400201166,18229.400217226,416.345,416.215
1.0,3,1,18244.458783656,18244.458783656,416.215,416.215
-1.0,22,3,18322.159569825,18432.981583425,416.29,416.27
1.0,73,9,18445.727637006,18799.198071339,416.27,416.78
-1.0,312,9,18818.201412369,19044.624281188,416.825,416.825
1.0,1,1,19062.593070961,19062.593070961,416.705,416.705
-1.0,171,7,19094.521496537,19094.627006126,416.825,416.71
1.0,59,1,19127.773828134,19127.773828134,416.68,416.68
-1.0,6,2,19160.377553678,19160.377553678,416.575,416.715
1.0,4,3,19180.55825996,19287.116651955,416.575,416.51
-1.0,7,6,19520.924819778,19587.712976024,416.51,416.275
1.0,133,5,19714.62153064,19714.626969501,416.175,416.615
-1.0,45,9,19941.455325457,20146.942652961,416.59,416.305
1.0,131,4,20195.464590314,20232.846813335,416.265,416.275
-1.0,2,2,20262.4701952,20262.4701952,416.29,416.295
1.0,6,1,20540.119067636,20540.119067636,416.29,416.29
-1.0,276,26,20675.873875598,20871.30881715,416.33,416.095
1.0,18,2,20871.308869115,20871.308869115,416.07,415.995
-1.0,213,18,20902.29294968,21116.521333106,415.99,415.485
1.0,51,4,21116.521551026,21116.66148137,415.285,415.42
-1.0,1,1,21119.100102529,21119.100102529,415.28,415.23
1.0,19,1,21121.409535261,21121.409535261,415.27,415.27
-1.0,6,3,21153.635032274,21153.635032274,415.265,415.265
1.0,19,3,21161.424168824,21236.874182791,415.285,415.43
-1.0,7,4,21245.001445885,21377.73910898,415.395,415.555
1.0,200,1,21401.08323428,21401.08323428,415.63,415.62
-1.0,3,1,21401.08356688,21401.08356688,415.645,415.645
1.0,117,3,21401.084080777,21401.084651127,415.645,416.0
-1.0,538,35,21406.615031576,22348.515279206,415.825,416.095
1.0,261,14,22356.505571122,23119.672531449,416.095,416.295
-1.0,55,13,23253.589181852,23582.369043378,416.295,416.29
1.0,227,2,23638.200403174,23638.200403174,416.365,416.29
-1.0,30,11,23802.954081218,24037.694283847,416.28,416.19
1.0,26,1,24069.487664926,24069.487664926,416.16,416.16
-1.0,114,8,24099.239450087,24290.318860955,416.16,416.08
1.0,8,1,24294.369190766,24294.369190766,416.1,416.1
-1.0,779,33,24346.480873943,24496.377793793,416.08,415.78
1.0,40,1,24523.867379099,24523.867379099,415.715,415.715
-1.0,11,2,24537.945185471,24558.085040257,415.715,415.715
1.0,40,1,24567.847677506,24567.847677506,415.79,415.715
-1.0,771,16,24571.547672393,24971.067988746,416.0,415.85
1.0,40,2,25040.839149952,25040.839149952,415.85,415.885
-1.0,101,3,25124.423258964,25129.438168359,416.075,416.09
1.0,260,13,25200.252406311,25252.536650685,415.96,416.18
-1.0,108,6,25261.231002965,25485.723998494,416.22,415.9
1.0,20,1,25565.772742238,25565.772742238,415.9,415.875
-1.0,405,6,25714.719596416,25733.418092114,415.81,415.755
1.0,195,6,25769.620166575,25889.190306361,415.69,415.925
-1.0,10,2,25911.978709308,25932.644940432,416.02,415.945
1.0,105,7,25950.395692616,26020.644716219,416.05,416.055
-1.0,1,1,26037.536457977,26037.536457977,416.075,416.075
1.0,16,2,26058.194462079,26058.19453303,415.965,416.08
-1.0,30,4,26088.417124542,26172.866966148,416.065,416.165
1.0,128,10,26262.939369808,26451.725608329,416.21,416.46
-1.0,6,2,26462.54807786,26468.875871279,416.465,416.44
1.0,1,1,26484.087628144,26484.087628144,416.44,416.44
-1.0,115,12,26514.855424484,27006.501122351,416.385,415.96
1.0,30,2,27009.131884594,27009.132476638,415.975,415.975
-1.0,20,2,27010.950992619,27010.951461231,415.975,415.975
1.0,75,2,27016.57627508,27016.57627508,416.005,416.005
-1.0,1,1,27093.911339349,27093.911339349,416.175,416.175
1.0,362,12,27108.610386659,27222.687831766,416.175,416.23
-1.0,327,11,27276.875457051,27580.623738429,416.245,416.115
1.0,101,6,27607.326881326,27689.541940207,416.065,416.19
-1.0,267,10,27864.919206632,28017.004433306,416.275,416.13
1.0,159,10,28144.269626945,28263.631571263,416.205,416.4
-1.0,1,1,28343.230646524,28343.230646524,416.34,416.34
1.0,30,1,28350.061679092,28350.061679092,416.34,416.34
-1.0,9,4,28353.692645531,28353.692894027,416.335,416.335
1.0,120,3,28378.089800627,28378.089864426,416.295,416.295
-1.0,32,4,28483.673470583,28529.031527362,416.455,416.475
1.0,76,4,28544.631161343,28567.380789906,416.505,416.815
-1.0,324,9,28631.900786644,28716.111808006,416.835,416.715
1.0,4,1,28730.959069523,28730.959069523,416.715,416.715
-1.0,312,4,28765.632927193,28809.0507693,416.75,416.615
1.0,15,1,28858.546990233,28858.546990233,416.74,416.55
-1.0,833,1,28858.547015478,28858.547015478,416.625,416.625
1.0,32,3,28861.788981641,28915.849088626,416.595,416.565
-1.0,3,2,29047.990465034,29058.441266925,416.465,416.435
1.0,513,13,29165.354635363,29172.316383684,416.535,416.765
-1.0,120,8,29274.848256639,29503.999063794,416.74,416.845
1.0,1,1,29584.39844066,29584.39844066,416.775,416.775
-1.0,24,3,29624.917221351,29624.917312979,416.905,416.805
