sec,signed_vol,mid
34200,10.0,421.755
34201,222.0,421.73
34202,1502.0,421.82
34203,-2584.0,421.38
34204,1498.0,421.82
34205,437.0,421.64
34206,-80.0,421.62
34207,0.0,421.635
34208,0.0,421.595
34209,-37.0,421.575
34210,0.0,421.595
34211,200.0,421.6
34212,0.0,421.615
34213,0.0,421.615
34214,457.0,421.725
34215,125.0,421.8
34216,-5.0,421.815
34217,0.0,421.815
34218,1325.0,422.03
34219,0.0,422.11
34220,-47.0,422.025
34221,166.0,422.075
34222,-203.0,421.795
34223,0.0,421.835
34224,0.0,421.79
34225,-206.0,421.65
34226,0.0,421.665
34227,0.0,421.66
34228,80.0,421.705
34229,34.0,421.725
34230,366.0,421.895
34231,15.0,421.895
34232,249.0,421.955
34233,-138.0,421.85
34234,-23.0,421.895
34235,25.0,421.905
34236,6.0,421.995
34237,100.0,422.05
34238,-1.0,422.0
34239,-45.0,422.045
34240,89.0,421.99
34241,0.0,421.99
34242,25.0,422.06
34243,0.0,422.02
34244,197.0,422.05
34245,-64.0,421.995
34246,0.0,421.955
34247,32.0,422.045
34248,29.0,422.01
34249,0.0,422.035
34250,0.0,422.045
34251,-339.0,421.865
34252,0.0,421.935
34253,-201.0,421.93
34254,309.0,422.095
34255,0.0,422.065
34256,-2.0,422.065
34257,224.0,422.11
34258,6.0,422.09
34259,3.0,422.165
34260,0.0,422.165
34261,0.0,422.165
34262,0.0,422.165
34263,292.0,422.295
34264,-1.0,422.235
34265,-6.0,422.17
34266,-353.0,422.085
34267,38.0,422.095
34268,4.0,422.095
34269,-41.0,421.91
34270,254.0,422.045
34271,28.0,422.08
34272,200.0,422.085
34273,0.0,422.05
34274,0.0,422.045
34275,-551.0,421.955
34276,0.0,421.97
34277,0.0,421.935
34278,0.0,421.935
34279,-20.0,421.925
34280,0.0,421.925
34281,0.0,421.93
34282,0.0,421.955
34283,400.0,421.96
34284,-87.0,421.92
34285,-6.0,421.915
34286,0.0,421.93
34287,104.0,421.915
34288,0.0,421.915
34289,234.0,421.92
34290,0.0,421.92
34291,0.0,421.92
34292,0.0,421.905
34293,0.0,421.905
34294,221.0,421.935
34295,10.0,421.925
34296,-2.0,421.925
34297,-904.0,421.66
34298,-1.0,421.635
34299,0.0,421.635
34300,0.0,421.64
34301,1328.0,421.76
34302,660.0,422.07
34303,0.0,421.995
34304,28.0,422.025
34305,0.0,422.025
34306,863.0,422.26
34307,3274.0,422.575
34308,0.0,422.575
34309,94.0,422.58
34310,1513.0,422.765
34311,815.0,422.865
34312,2394.0,423.065
34313,-101.0,423.045
34314,0.0,423.045
34315,127.0,423.155
34316,-18.0,423.095
34317,-116.0,423.0
34318,0.0,423.0
34319,0.0,423.0
34320,0.0,423.0
34321,367.0,423.255
34322,1559.0,423.385
34323,2910.0,423.51
34324,-10.0,423.355
34325,0.0,423.355
34326,0.0,423.36
34327,0.0,423.355
34328,1131.0,423.535
34329,100.0,423.535
34330,796.0,423.59
34331,277.0,423.61
34332,41.0,423.685
34333,42.0,423.765
34334,0.0,423.765
34335,100.0,423.775
34336,0.0,423.76
34337,-66.0,423.755
34338,-108.0,423.705
34339,-13.0,423.63
34340,0.0,423.66
34341,0.0,423.665
34342,-81.0,423.525
34343,0.0,423.525
34344,-10.0,423.44
34345,0.0,423.465
34346,0.0,423.425
34347,0.0,423.425
34348,0.0,423.425
34349,0.0,423.435
34350,0.0,423.44
34351,0.0,423.44
34352,0.0,423.44
34353,0.0,423.44
34354,0.0,423.44
34355,-198.0,423.225
34356,0.0,423.255
