session,side,size_normalisation,size,n,cost_bp,cost_sigma,cost_half_spreads,cost_sd,participating
INTC_2024-12-02,buy,shares,1.5,46216,2.063801311787992,0.006637017746720856,1.000064912584392,0.24877809653625116,1.0
INTC_2024-12-02,buy,shares,3.5,46216,2.0642070949629256,0.00663832271252254,1.0002632565922438,0.2508684849884808,1.0
INTC_2024-12-02,buy,shares,5.5,46216,2.064746292712881,0.006640056728784186,1.0005279556863524,0.2532424784212712,1.0
INTC_2024-12-02,buy,shares,7.5,46216,2.0652730306438967,0.006641750675277995,1.0007866787012631,0.2559571040030124,1.0
INTC_2024-12-02,buy,shares,9.5,46216,2.065687688082937,0.0066430841799937825,1.0009905179543457,0.2584773880078852,1.0
INTC_2024-12-02,buy,shares,12.0,46216,2.066151057546521,0.006644574338632374,1.0012189645217462,0.26125312698452063,1.0
INTC_2024-12-02,buy,shares,15.0,46216,2.066664353595274,0.006646225057122298,1.0014721246816285,0.26425337206743754,1.0
INTC_2024-12-02,buy,shares,19.0,46216,2.0671471597032647,0.006647777722433952,1.0017103263900964,0.2676759138456464,1.0
INTC_2024-12-02,buy,shares,23.5,46216,2.0676125786540642,0.006649274472057315,1.0019380930649775,0.2707897514877138,1.0
INTC_2024-12-02,buy,shares,30.0,46216,2.068315146466442,0.006651533873198497,1.0022817932565191,0.2746289338671475,1.0
INTC_2024-12-02,buy,shares,40.0,69324,2.069857072603168,0.0066564925826804264,1.0030363634115482,0.28095742344250074,1.0
INTC_2024-12-02,buy,shares,53.0,46216,2.071460452105918,0.006661648921206669,1.003822331165451,0.289287751451657,1.0
INTC_2024-12-02,buy,shares,67.0,46216,2.07273614945489,0.0066657514604851415,1.0044459436402282,0.2969154348808992,1.0
INTC_2024-12-02,buy,shares,84.0,46216,2.0740679005368396,0.0066700342640256885,1.0050985291356855,0.3045129573295249,1.0
INTC_2024-12-02,buy,shares,106.0,46216,2.0763508527132473,0.006677376053190755,1.0062205729617366,0.31332869046524736,1.0
INTC_2024-12-02,buy,shares,133.5,46216,2.0806860446907454,0.006691317679221204,1.0083413036311872,0.32677751973416447,1.0
INTC_2024-12-02,buy,shares,168.0,46216,2.085276465788788,0.00670608010141689,1.0105802834832,0.3448641387050236,1.0
INTC_2024-12-02,buy,shares,212.0,46216,2.091112944165793,0.006724849742828242,1.013435541030927,0.3659229325549933,1.0
INTC_2024-12-02,buy,shares,266.5,46216,2.101471928649387,0.006758163397327306,1.0185030673579045,0.3939911072998145,1.0
INTC_2024-12-02,buy,shares,335.5,46216,2.115133755699853,0.00680209872582461,1.025178404293369,0.4309658278180751,1.0
INTC_2024-12-02,buy,shares,422.5,46216,2.1336645789359867,0.0068616923514207735,1.034238275191904,0.4776039862385945,1.0
INTC_2024-12-02,buy,shares,564.6666666666666,69324,2.167201514706287,0.006969544418674905,1.0506603858081887,0.5512198267961703,1.0
INTC_2024-12-02,buy,shares,751.0,46216,2.2147047695127347,0.007122311035973084,1.0739334631319009,0.6404562039779538,1.0
INTC_2024-12-02,buy,shares,945.5,46216,2.2698343516863355,0.007299603303966894,1.10090821807403,0.7269276601827626,1.0
INTC_2024-12-02,buy,shares,1190.5,46216,2.3458778315584827,0.007544152971878771,1.1380919595147112,0.8281627586537799,1.0
INTC_2024-12-02,buy,shares,1499.0,46216,2.454805879369309,0.007894456744972982,1.1914145875212248,0.9461748577879019,1.0
INTC_2024-12-02,buy,shares,1886.5,46216,2.6121601119758293,0.008400495203406912,1.2684867708996668,1.0810884735607909,1.0
INTC_2024-12-02,buy,shares,2375.5,46216,2.8350538613791563,0.009117303435853175,1.377644081182769,1.2304244163363038,1.0
INTC_2024-12-02,buy,shares,2990.0,46216,3.138090920996118,0.010091846058296517,1.5259292806703482,1.3887932720965197,1.0
INTC_2024-12-02,buy,shares,3764.5,46216,3.522043837035553,0.011326607516729361,1.7136468308516228,1.5583295220455597,1.0
INTC_2024-12-02,buy,shares,4739.5,46216,3.9920344698541146,0.0128380592989297,1.9432195654361357,1.7459000440259143,1.0
INTC_2024-12-02,buy,shares,6337.333333333333,69324,4.738374269342347,0.015238227602920163,2.3072472235186394,2.038439657461517,1.0
INTC_2024-12-02,buy,shares,8428.0,46216,5.683755871843945,0.018278498212977355,2.768312884646812,2.345137781362464,1.0
INTC_2024-12-02,buy,shares,10609.9867991084,46209,6.610772045170606,0.02125970709133393,3.220568819194563,2.6330501686557506,0.9998485373030985
INTC_2024-12-02,buy,shares,13356.916874120576,46195,7.714146352477115,0.024808069434666628,3.7587281674495054,2.9626473005772924,0.9995456119092955
INTC_2024-12-02,buy,shares,16815.1184667477,46072,9.024501264860351,0.029022064628058473,4.400370982076076,3.3177504995079174,0.9968841959494548
INTC_2024-12-02,buy,shares,21166.003196566973,45674,10.567756034606433,0.033985046886095015,5.15745749372704,3.6741055042409947,0.9882724597541976
INTC_2024-12-02,buy,shares,26640.05599533559,44593,12.32981042396374,0.03965167098699743,6.024083621624945,3.9445086232782103,0.9648822918469794
