n_snapshots,mid_median,half_spread_median,depth_l1_ask_median,depth_l1_bid_median,depth_10_ask_median,depth_10_bid_median,one_tick_bp,share_one_tick_spread,session,symbol,date,adv_20d_xnas,sigma_daily_20d
23370,411.92,0.025000000000005684,60.0,62.0,1227.0,1212.5,0.24276558555059236,0.003936670945656825,MSFT_2024-06-03,MSFT,2024-06-03,6674927.6,0.0103813192550854
23375,404.05500000000006,0.020000000000010232,100.0,100.0,1442.0,1533.0,0.24749105938547966,0.011679144385026739,MSFT_2024-02-01,MSFT,2024-02-01,7777715.35,0.0113799660672593
23311,423.63,0.01500000000001478,99.0,97.0,1158.0,1262.0,0.2360550480372023,0.02410878984170563,MSFT_2024-04-01,MSFT,2024-04-01,7946916.55,0.013178368812936
23353,421.735,0.025000000000005684,50.0,50.0,1314.0,1409.0,0.2371157243292589,0.00256926304971524,MSFT_2024-10-01,MSFT,2024-10-01,7686281.4,0.010498341243707
22825,431.045,0.029999999999972715,35.0,30.0,1514.0,1568.0,0.23199433933812016,0.005607886089813801,MSFT_2024-12-02,MSFT,2024-12-02,7816724.6,0.0116225816858351
23390,21.185000000000002,0.005000000000000782,4208.0,2570.0,47722.0,52994.0,4.720320981826764,0.9817870884993587,INTC_2024-08-02,INTC,2024-08-02,17196692.7,0.0686223726567119
23174,43.185,0.004999999999999005,1125.0,1201.0,19130.0,17725.0,2.315618849137432,0.9787261586260464,INTC_2024-02-01,INTC,2024-02-01,13592350.6,0.0294440363439933
22463,44.415000000000006,0.004999999999999005,956.0,1103.0,17443.0,18465.0,2.2514916131937404,0.9837065396429684,INTC_2024-04-01,INTC,2024-04-01,14327630.6,0.0263401881510598
23081,22.705000000000002,0.005000000000000782,3499.0,4180.0,58706.0,56936.0,4.404316229905307,0.9917247952861661,INTC_2024-10-01,INTC,2024-10-01,28364626.75,0.0399704286395414
23108,24.695,0.005000000000000782,2650.0,2647.0,48407.5,46878.5,4.049402713099818,0.9861519819975766,INTC_2024-12-02,INTC,2024-12-02,18894127.9,0.0310953110349547
23357,185.895,0.005000000000009663,212.0,230.0,3484.0,3278.0,0.5379380833266091,0.6209273451213769,AAPL_2024-02-01,AAPL,2024-02-01,15906159.45,0.01339590873526
23271,169.97500000000002,0.0049999999999954525,548.0,657.0,9720.0,9495.0,0.588321812031181,0.9603798719436208,AAPL_2024-04-01,AAPL,2024-04-01,24647006.9,0.0135100594888902
23347,193.59500000000003,0.005000000000009663,291.0,245.0,4439.0,5079.0,0.5165422660709211,0.6337859253865593,AAPL_2024-06-03,AAPL,2024-06-03,19703919.2,0.009610342028172
23399,218.92000000000002,0.010000000000005116,182.0,151.0,2582.0,2712.0,0.45678786771423346,0.16432326167784947,AAPL_2024-08-01,AAPL,2024-08-01,17171204.1,0.0151008967133352
23400,225.36,0.009999999999990905,127.0,110.0,2947.0,2805.0,0.44373446929357474,0.4106410256410256,AAPL_2024-10-01,AAPL,2024-10-01,22825931.0,0.0134153886704739
