symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume
A,20,132.112,402386.35,200.2892642688433,7.569335109603973e-05,53160065.4712
AAL,20,11.339,7204599.45,252.65265741722237,0.0008819119851838787,81692953.16355
AAPL,20,206.877,31706771.35,271.01685557651683,4.8337901265002876e-05,6559401736.573951
ABBV,20,168.799,515224.7,201.26714657813505,5.924205712119148e-05,86969414.13530001
ABNB,20,148.34449999999998,1430947.2,202.35988467484398,6.741065560233107e-05,212273146.91039997
ABT,20,104.66600000000001,554140.85,192.4770244023397,9.554200982171861e-05,57999706.2061
ACGL,20,100.542,772616.4,201.12181163339977,9.946092180382328e-05,77680398.0888
ACN,20,294.587,469157.55,252.77658239388398,3.394582924568973e-05,138207715.18185
ADBE,20,502.03450000000004,1608839.55,331.75707243315077,1.9918949793291096e-05,807692959.064475
ADI,20,232.044,1432490.8,217.88613044945055,4.309527503404527e-05,332400895.1952
ADM,20,60.92725,288653.2,205.67696206960824,0.000164130171639127,17586845.679700002
ADP,20,244.46599999999998,770297.4,195.15080124604134,4.090548378915678e-05,188311524.1884
ADSK,20,230.22600000000003,1123383.65,324.46907762719815,4.3435580690278245e-05,258632124.2049
AEE,20,71.15575,114312.45,157.84373277532697,0.0001405367802320965,8133988.1140875
AEP,20,88.1415,1188156.85,169.07370627722068,0.00011345393486609601,104725926.994275
AES,20,19.395,764421.05,369.8435910375926,0.0005155968032998196,14825946.26475
AFL,20,88.878,173515.15,136.93765207708128,0.00011251378293840996,15421679.501699999
AIG,20,75.084,367959.85,187.90122666363237,0.00013318416706621915,27627897.3774
AIZ,20,169.1615,43728.25,150.51116556146957,5.911510597860625e-05,7397136.362375
AJG,20,258.2115,114288.6,165.84912047308174,3.8727942016525214e-05,29510630.8389
AKAM,20,89.41799999999999,736676.75,174.2490817873115,0.00011183430629179809,65872161.63149999
ALB,20,105.6405,376285.9,405.5062294294378,9.466066518049423e-05,39751030.61895
ALGN,20,249.3515,350952.65,309.5596539427333,4.0104029853439823e-05,87510569.706475
ALL,20,161.5365,183644.5,206.80683259367393,6.190551361457009e-05,29665289.774249997
ALLE,20,117.24249999999999,89567.75,189.58584057823893,8.529330234343349e-05,10501146.929374998
AMAT,20,231.998,2472256.6,323.996260021649,4.310381986051604e-05,573558586.6868
AMCR,20,9.9685,564192.65,155.58059691272882,0.0010031599538546422,5624154.431525
AMD,20,160.6525,10269168.35,378.1442588988249,6.224615240970417e-05,1649767568.348375
AME,20,169.20475000000002,156423.2,194.25698456040143,5.909999571525031e-05,26467548.450200006
AMGN,20,307.6375,1080012.45,212.673262675475,3.250579009386047e-05,332252330.08687496
AMP,20,430.95825,51012.1,157.43648529108978,2.320410387781183e-05,21984085.344825
AMT,20,195.1595,228746.95,204.3433227775322,5.124013947565965e-05,44642140.388525
AMZN,20,186.5625,13329840.05,225.92886910776164,5.360134003350084e-05,2486848284.328125
ANET,20,323.65950000000004,272198.95,313.97042415154993,3.0896667639911696e-05,88099776.05752501
ANSS,20,323.37575000000004,216645.1,176.45591711247405,3.0923778298156245e-05,70057771.696325
AON,20,292.0765,167164.3,151.92909622902425,3.423760555881764e-05,48824763.66895
AOS,20,82.47625000000001,74832.8,196.9477166168854,0.0001212470256589018,6171928.721000001
APA,20,28.922000000000004,2116811.9,286.99837114373275,0.0003457575548025724,61222433.771800004
APD,20,271.8965,178389.0,195.3913530323287,3.677870071883971e-05,48503344.7385
APH,20,90.5175,557215.7,243.57088087350047,0.00011047587483083382,50437772.124749996
APTV,20,75.20349999999999,368959.75,333.8481756780351,0.0001329725345229943,27747064.559124995
ARE,20,115.9915,87799.65,193.7426230789253,8.621321389929435e-05,10184013.102975
ATO,20,116.0465,109211.45,135.9426508161442,8.61723533238831e-05,12673606.532425
AVB,20,201.126,75278.95,156.73006648066112,4.972007597227608e-05,15140554.0977
AVGO,20,1578.26,1605901.2,452.96729516520463,6.336091645229556e-06,2534529627.9119997
AVY,20,225.6515,49895.85,159.88492549108588,4.431612464353218e-05,11259073.396274999
AWK,20,129.639,103050.9,180.0009390929337,7.713728121938613e-05,13359415.6251
AXON,20,289.72249999999997,194857.55,253.45931403813196,3.451578665792267e-05,56454616.52987499
AXP,20,230.363,303896.0,197.42427725024385,4.3409748961421755e-05,70006394.248
AZO,20,2874.68175,22646.35,188.13165989682653,3.478645940546288e-06,65101049.0491125
BA,20,182.51,659183.5,295.69081725493004,5.479151827297135e-05,120307580.585
BAC,20,39.612,3816460.75,191.41950667974393,0.00025244875290316067,151177643.229
BALL,20,64.83500000000001,238769.8,247.13699160301888,0.00015423768026528878,15480639.983000001
BAX,20,33.582,488056.0,182.2226363565223,0.0002977785718539694,16389896.592
BBWI,20,43.2535,533165.45,406.4956907337843,0.00023119516339718173,23061271.791575
BBY,20,87.744,448593.85,253.77969365397888,0.00011396790663749089,39361418.774399996
BDX,20,235.18825,137576.55,174.82448091961356,4.2519130951482484e-05,32356388.0355375
BEN,20,22.73,317248.8,244.5475489651198,0.0004399472063352398,7211065.223999999
BG,20,105.40725,140838.1,212.09492576984394,9.487013464443859e-05,14845356.816225002
BIIB,20,228.58499999999998,501422.6,300.57395229460695,4.3747402497976686e-05,114617685.02099998
BIO,20,283.17325,38686.65,243.14230919390047,3.531407009666344e-05,10955024.4121125
BK,20,59.161249999999995,483330.4,163.38168942359948,0.00016902955904413787,28594430.627
BKNG,20,3897.0245000000004,77836.2,177.85748229083092,2.566060336546511e-06,303329578.3869
BKR,20,32.845,2729516.05,247.32586100661675,0.0003044603440401888,89650954.66225
BLDR,20,144.892,274583.75,367.5067605986699,6.901692294950722e-05,39784988.705
BLK,20,779.832,58491.3,164.74896259075848,1.2823274756614245e-05,45613387.4616
BMY,20,41.707499999999996,1341923.35,253.3884687923878,0.00023976503027033509,55968268.120124996
BR,20,198.373,46460.75,149.85799753485608,5.041008605001689e-05,9216558.359749999
BRO,20,90.70025000000001,108995.4,153.96926278371376,0.00011025327934597753,9885910.02885
BSX,20,76.769,488035.55,152.9698631058276,0.00013026091260795371,37466001.13795
BWA,20,33.50225,224208.0,251.1089017296018,0.00029848741502436405,7511472.467999999
BX,20,122.069,272480.15,229.6040551423025,8.19208808133105e-05,33261379.430350002
BXP,20,60.7635,141939.0,235.1331692467398,0.00016457248183531233,8624710.4265
C,20,61.1965,1402370.35,228.02973374918997,0.00016340803804139125,85820157.123775
CAG,20,28.986250000000002,538818.65,168.20005240210585,0.00034499115960153517,15618332.093562502
CAH,20,100.50325000000001,209643.75,216.64245652467588,9.949926992410693e-05,21069878.2171875
CARR,20,63.334500000000006,337643.55,283.85866707307883,0.00015789182830842587,21384485.417475
CAT,20,327.8,405699.25,208.36868826588926,3.050640634533252e-05,132988214.15
CB,20,263.1765,141034.75,165.9583049004118,3.799731358992919e-05,37117031.883375
CBOE,20,171.53,104838.5,186.82229211547138,5.829883985308693e-05,17982947.905
CBRE,20,87.76775,167711.45,233.97427439893278,0.00011393706686111925,14719656.615737502
CCI,20,98.868,235578.05,217.12219477415573,0.00010114496095804508,23291130.6474
CCL,20,16.806,3624270.2,430.78604649455383,0.0005950255861002023,60909484.98120001
CDNS,20,306.6105,642692.2,266.5652661684584,3.261466909972098e-05,197056176.78809997
CDW,20,225.08049999999997,409011.25,198.4968595209457,4.4428548896950206e-05,92060456.65562499
CE,20,141.02100000000002,113506.75,213.070033356731,7.091142453960757e-05,16006835.391750002
CEG,20,212.26550000000003,1595536.05,487.09313662475904,4.711081169573011e-05,338677257.4212751
CF,20,75.702,233127.4,236.05836583846175,0.0001320969062904547,17648210.4348
CFG,20,34.67075,562779.95,232.83623797121746,0.00028842756502238924,19512002.951462496
CHD,20,107.06975,162676.1,153.2213752331108,9.339706126146742e-05,17417689.357975
CHRW,20,86.68199999999999,663761.1,226.61860805101674,0.00011536420479453637,57536139.67019999
CHTR,20,283.168,489617.4,281.63542603042885,3.5314724827664145e-05,138643979.9232
CI,20,336.2735,148781.65,194.26128948723402,2.9737698629240783e-05,50031326.181275
CINF,20,115.38900000000001,293760.45,172.92634745695358,8.666337345847524e-05,33896724.565050006
CL,20,95.6,382974.0,137.7984820247146,0.00010460251046025105,36612314.4
CLX,20,134.169,133097.8,189.1315108633283,7.453286526693945e-05,17857598.7282
CMCSA,20,38.37,8015068.8,210.78877636528188,0.00026062027625749283,307538189.85599995
CME,20,197.67149999999998,934311.25,177.18850979184066,5.05889822255611e-05,184686706.25437498
CMG,20,2586.2415,499657.45,335.3232647891217,3.866614931358885e-06,1292234832.974175
CMI,20,274.9875,121415.6,220.11169779773013,3.636528933133324e-05,33387772.305000003
CMS,20,60.23625,278565.6,160.65331279378103,0.00016601299051650792,16779747.123
CNC,20,68.388,358679.3,211.5183740830841,0.00014622448382757208,24529359.9684
CNP,20,30.746499999999997,436665.85,162.4158694322321,0.00032524027125038627,13425946.557024999
COF,20,136.6365,303846.6,242.36475423596008,7.318688637369955e-05,41516535.9609
COO,20,91.994,479554.35,206.23372301026865,0.0001087027414831402,44116122.8739
COP,20,112.5355,614793.8,197.03916974562435,8.886084835451924e-05,69186127.6799
COR,20,233.234,151035.75,179.60852883838325,4.287539552552372e-05,35226672.1155
COST,20,848.3665000000001,671659.15,153.60995433119538,1.1787358411724178e-05,569813122.278475
CPAY,20,260.89,67635.7,204.37881989585748,3.8330330790754726e-05,17645477.773
CPB,20,44.24375,388124.1,245.2009587619526,0.00022602062438197487,17172065.649375
CPRT,20,53.915499999999994,2378373.5,216.58590138091526,0.00018547541986998174,128231196.43924999
CPT,20,108.13225,79283.9,165.17466018688555,9.247934820555385e-05,8573146.495775
CRL,20,210.53725,62134.55,239.71437338569734,4.749753309687478e-05,13081637.2869875
CRM,20,240.71599999999998,1472612.85,295.01583065850025,4.1542730852955354e-05,354481474.8006
CRWD,20,372.6365,3131942.8,459.4864993519042,2.683580379270415e-05,1167076203.1922
CSCO,20,46.5255,8286130.3,168.25249527732208,0.00021493589536920613,385516355.27265
CSGP,20,75.227,1336752.3,257.9286629657422,0.00013293099552022544,100559865.2721
CSX,20,32.964999999999996,4393410.1,187.61325420612843,0.00030335204004246935,144828763.94649997
CTAS,20,696.339,235417.35,166.27791266357187,1.4360821381539737e-05,163930282.08165002
CTLT,20,55.907500000000006,139905.35,127.33222154749065,0.000178866878325806,7821758.355125001
CTRA,20,27.29125,556236.85,231.09028259622477,0.00036641780790546417,15180398.9325625
CTSH,20,66.747,1847940.2,189.4761655770092,0.00014981946754161237,123344464.52939999
CTVA,20,52.9375,333218.7,225.7629475163627,0.00018890200708382527,17639764.931250002
CVS,20,60.383,1202266.95,246.40253048702533,0.00016560952585992745,72596485.24185
CVX,20,155.796,748384.5,181.03617733611082,6.418650029525791e-05,116595311.56199999
CZR,20,37.4675,1591976.45,391.3506831757547,0.0002668979782478148,59647377.640375
D,20,50.581,416166.1,184.5489747894417,0.00019770269468772858,21050097.5041
DAL,20,49.4385,735999.75,269.4732653933519,0.00020227150904659325,36386723.640374996
DAY,20,50.305,244809.1,286.66790234262305,0.00019878739687903787,12315121.7755
DD,20,80.28150000000001,210371.9,148.80361666310029,0.00012456169852332106,16888971.689850003
DE,20,373.13800000000003,173900.5,203.7806738086919,2.67997362905949e-05,64888884.76900001
DECK,20,1019.3684999999999,44459.25,267.76716503621003,9.809995109717439e-06,45320358.983624995
DFS,20,125.0855,144372.4,233.73878439488698,7.994531740289643e-05,18058893.8402
DG,20,129.1985,383363.55,272.45312367921997,7.740027941500869e-05,49529995.614675
DGX,20,139.3755,87356.2,146.57089998817725,7.174862152960887e-05,12175314.0531
DHI,20,142.0315,265574.1,248.50366166297152,7.040691677550403e-05,37719887.78415
DHR,20,257.4775,328934.75,200.75899499536666,3.8838345098115364e-05,84693297.093125
DIS,20,101.33500000000001,1051807.2,169.52746770519906,9.868258745744313e-05,106584882.612
DLR,20,148.42525,149133.5,199.55085031008304,6.737398117907835e-05,22135177.020875
DLTR,20,109.3815,1349333.25,344.7487180253506,9.142313828206781e-05,147592094.884875
DOC,20,19.44925,454771.2,207.21829354442326,0.0005141586436494981,8844958.7616
DOV,20,180.22625,123557.75,202.8481028133748,5.548581297119593e-05,22268349.9409375
DOW,20,54.8285,478586.75,187.39166846606435,0.00018238689732529616,26240193.622375
DPZ,20,522.8285,55722.55,223.07904755104778,1.9126730849599823e-05,29133337.232675
DRI,20,150.547,193467.85,200.8639664912454,6.642443887955257e-05,29126004.41395
DTE,20,112.2535,115599.9,155.87782812393124,8.90840820108059e-05,12976493.37465
DUK,20,101.45349999999999,273528.75,149.37920104217366,9.856732394643853e-05,27750449.038124997
DVA,20,142.2935,109550.35,262.42855954838495,7.027727900431152e-05,15588302.727725001
DVN,20,46.696999999999996,802476.3,207.48659195649248,0.0002141465190483329,37473235.7811
DXCM,20,114.9795,1332621.9,295.9254618516898,8.697202544801465e-05,153224199.75105
EA,20,137.51,981021.75,165.0031244728967,7.272198385571959e-05,134900300.8425
EBAY,20,53.456500000000005,2081986.2,235.10243825413377,0.00018706798986091493,111295695.3003
ECL,20,240.35774999999998,114797.7,138.43337266455356,4.160464973565446e-05,27592516.877174996
ED,20,91.04875,178351.1,147.17762176620653,0.0001098312717088373,16238644.716125
EFX,20,238.3835,101490.65,233.29250423139692,4.194921208892394e-05,24193696.364274997
EG,20,378.81,28209.55,190.34626401572513,2.6398458330033526e-05,10686059.635499999
EIX,20,73.086,128045.75,189.73509384747973,0.00013682511014421366,9358351.6845
EL,20,115.5435,300169.55,274.17459675671455,8.65474907718738e-05,34682640.400424995
ELV,20,536.8755,82973.0,174.77685532177105,1.8626292315443712e-05,44546170.8615
EMN,20,99.63925,111408.15,216.13938091286832,0.00010036205611744367,11100624.5098875
EMR,20,108.05550000000001,311007.2,195.42573859575836,9.254503472752427e-05,33606038.4996
ENPH,20,118.28600000000002,1190976.1,542.2187958323653,8.45408585969599e-05,140875798.96460003
EOG,20,121.89849999999998,314666.25,205.69206715053934,8.203546393105741e-05,38357343.87562499
EPAM,20,179.2995,87452.0,245.04658467357012,5.5772603939219016e-05,15680099.874
EQIX,20,759.4425,209276.85,191.87730277021768,1.3167553830606004e-05,158933734.156125
EQR,20,66.97274999999999,148601.45,143.35818676599712,0.00014931445998559118,9952247.760487499
EQT,20,39.2465,1023697.35,282.16330241467995,0.00025479979106417136,40176538.046775
ES,20,58.314499999999995,179163.55,186.59264792371675,0.0001714839362422725,10447832.836474998
ESS,20,272.95275000000004,49964.65,182.72343040266065,3.66363775415342e-05,13637988.620287502
ETN,20,320.6915,307555.35,290.83331254864436,3.118261631505668e-05,98630386.524525
ETR,20,107.81575000000001,172661.1,150.82147031516436,9.275082722144028e-05,18615585.992325
ETSY,20,61.472500000000004,1341301.85,334.62745798271266,0.0001626743665866851,82453177.97412501
EVRG,20,53.153999999999996,694072.3,154.61483655144124,0.0001881325958535576,36892719.0342
EW,20,88.8345,373379.45,247.98570978843972,0.00011256887808227659,33168976.751025002
EXC,20,35.5375,4046778.55,191.14537116111367,0.00028139289482940555,143812392.720625
EXPD,20,125.0405,143007.65,194.86082031647948,7.997408839535991e-05,17881748.059825
EXPE,20,123.167,823481.0,251.4215122866241,8.1190578645254e-05,101425684.327
EXR,20,153.87,144807.55,238.10607184135688,6.498992656138298e-05,22281537.7185
F,20,12.093,3429586.3,239.4381415460378,0.0008269246671628214,41473987.1259
FANG,20,193.1275,632208.95,213.96739122491212,5.177926499333342e-05,122096933.99112499
FAST,20,63.9405,1409217.25,215.8888394605871,0.00015639539884736592,90106055.573625
FCX,20,49.326499999999996,1431620.0,315.96404008809975,0.00020273078365584424,70616803.92999999
FDS,20,409.068,55942.15,224.74642793392985,2.4445813409995406e-05,22884143.4162
FDX,20,261.62600000000003,327574.45,294.09424180267445,3.8222500821783765e-05,85701993.05570002
FE,20,38.75425,310282.05,146.8292910197018,0.000258036215382829,12024748.1362125
FFIV,20,168.12650000000002,265905.3,153.56573582251931,5.947902323548042e-05,44705727.42045
FI,20,149.21625,282535.4,160.93675926246323,6.701682960133363e-05,42158872.88025001
FICO,20,1393.4365,21503.7,262.00979828850024,7.176502122629915e-06,29964040.46505
FIS,20,76.0645,402988.85,182.54465662881285,0.00013146737308468472,30653145.380824998
FITB,20,36.019,1812374.95,214.01048838073385,0.00027763125017351957,65279933.324049994
FMC,20,56.719500000000004,194303.5,366.1424068146216,0.00017630620862313666,11020797.368250001
FOX,20,31.711000000000002,475160.5,153.32107407068028,0.00031534798650310615,15067814.615500001
