symbol,june_days,mean_close,mean_volume,mean_high_low_bp,relative_tick,dollar_volume,tick_tercile,volume_tercile,cell,role
AAPL,20.0,206.877,31706771.35,271.01685557651683,4.833790126500288e-05,6559401736.573951,low,high,low_tick__high_volume,stratified
ABBV,20.0,168.799,515224.7,201.26714657813503,5.924205712119148e-05,86969414.13530001,mid,high,mid_tick__high_volume,stratified
AEP,20.0,88.1415,1188156.85,169.07370627722068,0.000113453934866,104725926.994275,mid,high,mid_tick__high_volume,stratified
AJG,20.0,258.2115,114288.6,165.84912047308174,3.8727942016525214e-05,29510630.8389,low,mid,low_tick__mid_volume,stratified
ALLE,20.0,117.2425,89567.75,189.58584057823893,8.529330234343349e-05,10501146.929374998,mid,low,mid_tick__low_volume,stratified
AMCR,20.0,9.9685,564192.65,155.58059691272882,0.0010031599538546,5624154.431525,high,low,high_tick__low_volume,stratified
AMP,20.0,430.95825,51012.1,157.43648529108978,2.320410387781183e-05,21984085.344825,low,low,low_tick__low_volume,stratified
ANET,20.0,323.65950000000004,272198.95,313.97042415154993,3.0896667639911696e-05,88099776.05752501,low,high,low_tick__high_volume,stratified
APH,20.0,90.5175,557215.7,243.57088087350047,0.0001104758748308,50437772.12475,mid,mid,mid_tick__mid_volume,stratified
ATO,20.0,116.0465,109211.45,135.9426508161442,8.61723533238831e-05,12673606.532425,mid,low,mid_tick__low_volume,stratified
AVB,20.0,201.126,75278.95,156.73006648066112,4.972007597227608e-05,15140554.0977,low,low,low_tick__low_volume,stratified
AVY,20.0,225.6515,49895.85,159.88492549108588,4.431612464353218e-05,11259073.396275,low,low,low_tick__low_volume,stratified
BALL,20.0,64.83500000000001,238769.8,247.13699160301888,0.0001542376802652,15480639.983,high,low,high_tick__low_volume,stratified
BDX,20.0,235.18825,137576.55,174.82448091961356,4.251913095148248e-05,32356388.0355375,low,mid,low_tick__mid_volume,stratified
BIO,20.0,283.17325,38686.65,243.14230919390047,3.531407009666344e-05,10955024.4121125,low,low,low_tick__low_volume,stratified
BKNG,20.0,3897.0245,77836.2,177.85748229083092,2.566060336546511e-06,303329578.3869,low,high,low_tick__high_volume,stratified
BKR,20.0,32.845,2729516.05,247.32586100661675,0.0003044603440401,89650954.66225,high,high,high_tick__high_volume,stratified
