symbol,date,adv_20d_xnas,sigma_daily_20d,close_prev,session_volume_xnas
MSFT,2024-06-03,6674927.6,0.010381319255085444,415.07,5571358.0
MSFT,2024-02-01,7777715.35,0.011379966067259328,398.13,8233801.0
MSFT,2024-04-01,7946916.55,0.013178368812936053,419.9,5810226.0
MSFT,2024-10-01,7686281.4,0.010498341243707007,428.74,7075746.0
MSFT,2024-12-02,7816724.6,0.011622581685835102,422.93,6568170.0
INTC,2024-08-02,17196692.7,0.06862237265671199,23.56,65283463.0
INTC,2024-02-01,13592350.6,0.029444036343993386,43.14,9676558.0
INTC,2024-04-01,14327630.6,0.026340188151059894,44.16,10408697.0
INTC,2024-10-01,28364626.75,0.03997042863954147,23.32,21970203.0
INTC,2024-12-02,18894127.9,0.031095311034954738,23.98,39966881.0
AAPL,2024-02-01,15906159.45,0.013395908735260097,185.13,16212648.0
AAPL,2024-04-01,24647006.9,0.01351005948889024,171.22,15077243.0
AAPL,2024-06-03,19703919.2,0.00961034202817205,192.48,18602023.0
AAPL,2024-08-01,17171204.1,0.015100896713335242,223.61,21277576.0
AAPL,2024-10-01,22825931.0,0.013415388670473904,233.16,20540143.0
