sec,ofi_best,ofi_sum,ofi_integrated
34200,0.0481712,-4.65962,-2.49306
34201,0.696593,2.29144,2.20847
34202,0.246051,0.0701316,0.345938
34203,4.92692,10.7818,11.7132
34204,2.94718,17.468,14.8067
34205,-1.08905,-5.93403,-5.22287
34206,-0.336962,-3.41213,-2.77556
34207,1.04796,3.06595,3.12412
34208,-0.0229049,-2.09332,-1.27925
34209,0.13554,0.0942172,0.122311
34210,-0.632129,-6.407,-5.15925
34211,0.108857,0.547121,0.142419
34212,0.316655,4.53352,3.74371
34213,-0.0351839,-0.337671,-0.330957
34214,0.150889,0.479823,0.466222
34215,0.0977592,1.09708,0.899739
34216,0.214409,0.0517132,0.286487
34217,-0.0203075,-1.8494,-1.31611
34218,-0.126095,0.434249,0.0744231
34219,0.238022,2.11575,1.66753
34220,0.0665896,0.142624,0.315694
34221,0.530591,7.48424,5.50508
34222,-0.174266,-5.08088,-3.43709
34223,0.038962,-1.65907,-1.56406
34224,0.205672,0.617252,0.719338
34225,-0.504145,-9.27437,-6.59302
34226,0.0158209,1.39484,0.905554
34227,-0.146403,-5.01453,-3.78635
34228,0.253607,5.42327,4.01452
34229,0.287846,0.963188,0.918169
34230,-0.155376,-1.5795,-1.20507
34231,-0.0526577,-0.22291,-0.1908
34232,0.586791,0.74689,0.960189
34233,-0.0906752,0.103426,-0.0629106
34234,0.122789,0.895181,0.756516
34235,0.0366007,-0.449362,-0.304643
34236,0.0583249,0.547121,0.465084
34237,0.0599778,1.27158,0.798583
34238,-0.350658,-1.84396,-1.46871
34239,0.191976,-4.45135,-2.91317
34240,-0.00968146,1.22034,0.687407
34241,0.465655,2.56299,2.40028
34242,0.0446292,0.0396704,-0.0349069
34243,0.0512409,-0.316182,-0.113831
34244,0.122317,1.33982,1.0549
34245,-0.0453376,-0.0448653,-0.101328
34246,0.0120428,0.654089,0.493173
34247,0.0481712,-0.703441,-0.389105
34248,0.25526,1.8076,1.45445
34249,-0.0252663,0.173794,0.0789645
34250,0.0387259,0.403316,0.289583
34251,-0.0890222,-0.181823,-0.176712
34252,-0.0772156,-0.585847,-0.603188
34253,-0.111219,-0.912655,-0.727151
34254,0.107677,2.55048,1.8992
34255,-0.0894945,-1.36343,-1.00319
34256,-0.072729,0.382536,0.121183
34257,0.056672,1.51409,1.07983
34258,-0.079813,-0.56672,-0.472508
34259,0.365062,1.79083,1.21358
34260,0.0526577,-0.00259747,0.0932364
34261,0.436847,9.42313,6.70816
34262,0.286666,0.565539,0.654012
34263,-0.145694,3.32735,1.55904
34264,1.93629,6.44667,6.6992
34265,-0.0757988,-2.77527,-1.97534
34266,-0.351602,-4.00269,-3.23658
34267,-0.318544,-4.70637,-3.34797
34268,0.401663,6.61173,4.92856
34269,-0.356089,-5.2509,-3.95323
34270,0.124678,3.11058,2.11022
34271,-0.0670618,-1.08007,-0.748545
34272,0.0887861,1.77312,1.29885
34273,0.08855,0.675813,0.578994
34274,-0.0344755,-0.795061,-0.632088
34275,-0.00968146,0.0311696,0.0348068
34276,0.466127,4.97533,3.84243
34277,-0.0500603,-0.628587,-0.472207
34278,-0.00236133,0.137902,0.0688745
34279,0.173086,-1.2345,-0.666309
34280,0.0233772,0.147583,0.212352
34281,0.215826,0.106732,0.321825
34282,-0.13436,-3.38898,-2.43695
34283,-0.121609,-2.16723,-1.586
34284,0.0639921,0.00259747,0.0765868
34285,0.0618669,1.10062,0.758367
34286,-0.083355,-0.56672,-0.433441
34287,-0.103663,-6.60111,-4.92422
34288,0.157265,5.28277,4.02709
34289,0.297056,4.37886,3.14631
34290,0.0245579,0.824577,0.543895
34291,0.0923281,0.523507,0.460162
34292,-1.78233,-23.2313,-17.5919
34293,-0.0266831,0.173086,0.160193
34294,0.212048,1.27299,1.04699
34295,0.121372,1.192,0.98285
34296,0.204255,2.08435,1.58083
34297,0.0597417,0.388675,0.299746
34298,0.0229049,0.0606862,0.130291
34299,-0.0214881,-1.17594,-0.79589
34300,-0.0224327,0.169308,0.0906586
34301,0.231411,0.563886,0.541846
34302,0.0592694,1.55021,1.18864
34303,-0.0255024,-0.310988,-0.194488
34304,-0.190323,-1.28126,-1.17645
34305,-0.0928004,0.168127,0.131912
34306,0.00519493,0.0821744,-0.0695434
34307,0.00330587,0.042504,0.117502
34308,-0.0118067,-0.0573804,-0.0439377
34309,-0.308626,-1.78328,-1.53694
34310,0.244634,2.82888,2.08206
34311,0.126567,0.945005,0.804697
34312,0.0838273,1.41491,1.07494
34313,-0.0670618,-0.0427401,-0.140631
34314,-0.216298,-2.82392,-2.05965
34315,0.0788685,0.332003,0.273048
34316,-0.127984,1.17972,0.667553
34317,0.219132,2.14834,1.67594
34318,-0.0344755,0.567192,0.379541
34319,-0.0649366,-2.12189,-1.52127
34320,-0.988218,-7.41482,-6.04295
34321,0.0706038,0.0694232,0.100399
34322,-0.188434,-0.425984,-0.486555
34323,0.0406149,1.66781,1.21732
34324,0.189379,3.06808,2.11876
34325,0.295875,3.81001,2.97597
34326,0.121372,1.30841,0.937676
34327,0.178753,1.50299,1.25236
34328,-0.0996482,0.0448653,-0.0169704
34329,0.10626,0.596945,0.455372
34330,-0.111691,-1.56556,-1.09325
34331,0.0746181,1.82437,1.44904
34332,-0.216062,-0.391981,-0.892585
34333,-0.0380175,0.0420317,-0.0168316
34334,1.03851,3.6263,3.85781
34335,0.301778,2.69357,2.26046
34336,0.236133,1.75164,1.50141
34337,0.339087,2.0605,1.61092
34338,-0.107677,2.10253,1.21348
34339,0.0014168,0.341685,0.232728
34340,0.182767,1.84302,1.37617
34341,0.372854,2.82038,2.2853
34342,0.284068,0.0623392,0.276247
34343,0.0472267,0.485962,0.26208
34344,0.176155,0.255024,0.294517
34345,-0.176628,-1.41774,-1.13403
34346,0.101537,1.39696,1.05437
34347,-0.11665,-1.92803,-1.4258
34348,0.702969,6.95082,5.4459
34349,0.257621,0.369076,0.549474
34350,-0.174266,0.367187,0.0672583
34351,-0.113108,-2.27892,-1.77356
34352,-0.180406,-0.949728,-0.831475
34353,-0.0675341,-0.748306,-0.569558
34354,0.502728,5.75339,4.37811
34355,0.0136957,-0.0134596,-0.0230356
34356,0.220785,1.98376,1.56567
34357,0.272498,2.89216,2.20441
34358,0.00755626,0.097523,0.0530293
34359,-0.00306973,1.29047,1.0058
34360,0.444875,2.20667,1.9525
34361,-0.51666,-3.75853,-3.08227
34362,-0.198116,-2.11741,-1.66952
34363,0.112872,1.13155,0.879468
34364,0.508159,1.54478,1.55158
34365,0.0765072,0.640393,0.488782
34366,-0.0217243,0.504145,0.275182
34367,-0.160098,-2.03712,-1.55423
34368,0.253135,3.32499,2.41759
34369,0.191504,0.0533661,0.187685
34370,-0.0375452,-0.64795,-0.461128
34371,-0.291625,-2.6225,-1.91493
34372,-1.06874,-4.48818,-3.899
34373,-0.181586,-2.15283,-1.78434
34374,-0.0897306,-0.459515,-0.36329
34375,0.0736736,0.834967,0.604221
34376,-0.0413233,0.112163,-0.0126262
34377,-1.09731,-4.1916,-3.82427
34378,-0.142388,-1.74904,-1.34881
34379,0.081466,0.974286,0.662278
34380,0.237314,2.13157,1.63036
34381,0.148292,2.28388,1.60051
34382,-0.143569,-1.2508,-0.837069
34383,0.366715,4.38287,3.23496
34384,0.337434,2.12425,1.74849
34385,0.220785,4.73329,3.30989
34386,0.0845357,0.0538384,0.0760074
34387,-0.221729,-4.59515,-3.40592
34388,0.0802853,-0.217243,-0.183053
34389,0.0616308,0.747126,0.646078
34390,0.331295,4.47378,3.32892
34391,0.0675341,-1.64467,-1.08394
34392,-0.380175,-4.83483,-3.83118
34393,-0.00377813,0.0774517,0.0375587
34394,0.153959,2.55142,1.89998
34395,0.0165293,1.28598,0.942647
34396,0.0573804,0.384897,0.279269
34397,0.000236133,-0.596236,-0.344139
34398,-0.223854,-2.00642,-1.68831
34399,-0.361284,-2.97481,-2.33646
34400,0.268247,3.39418,2.58615
34401,-0.0323503,0.237078,0.1386
34402,-0.262344,-3.68085,-2.79141
34403,0.0658812,-0.0831189,0.0479058
34404,-0.332948,-1.01986,-1.06682
34405,-0.0458099,0.431652,0.251012
34406,0.0099176,-0.23755,-0.183983
34407,-0.170016,-1.65577,-1.32182
34408,-0.00165293,0.148764,0.0844805
34409,0.522563,3.99443,3.19761
34410,-0.0429763,-0.576874,-0.446604
34411,0.15939,2.69546,2.05399
34412,0.178281,4.09786,2.93099
34413,0.0507687,1.48386,0.887429
34414,-0.0325864,-1.13698,-0.65211
34415,0.349713,2.89924,2.30445
34416,0.0146403,0.353964,0.269031
34417,0.299653,2.63926,1.96527
34418,-0.126331,-0.631184,-0.517451
34419,-0.12704,-0.323266,-0.355155
34420,-0.0455737,-0.590569,-0.473182
34421,0.187726,2.43855,1.82374
34422,0.0205436,0.430471,0.29468
34423,0.346171,3.45557,2.44053
34424,0.221729,5.75953,4.71201
34425,0.0488796,5.02846,3.30138
34426,-0.214881,-1.07488,-0.783119
34427,0.0502964,4.82562,2.56099
34428,-0.0077924,-0.179697,-0.0598986
34429,0.0292805,-1.50653,-0.598431
34430,0.13554,7.91684,4.09779
34431,2.07301,6.04147,7.37605
34432,-0.257149,-3.71815,-2.77616
34433,0.0739097,0.352783,0.328322
34434,-0.0505325,-1.226,-0.930633
34435,0.142152,3.35333,2.52002
34436,-0.103663,-2.52426,-1.96467
34437,0.129401,2.0069,1.55846
34438,-0.0887861,0.329406,0.238391
34439,-0.0342393,0.382064,0.247601
34440,0.112163,0.178753,0.177281
34441,-0.227396,-2.52167,-2.01051
34442,0.218187,-0.310043,-0.00856506
34443,-0.37923,-2.80715,-2.34893
34444,0.195991,2.28884,1.74557
34445,0.0198352,0.0384897,0.023987
34446,-0.711706,5.07592,3.12839
34447,0.118303,0.707455,0.523453
34448,-0.217006,4.07283,2.60139
34449,-0.0451015,-1.28905,-0.896216
34450,0.0056672,0.534133,0.36753
34451,-0.115233,-0.343574,-0.251764
34452,-0.189615,-1.53392,-1.07711
34453,0.337434,1.83901,1.53231
34454,-0.0812298,-1.37382,-1.01664
34455,0.101301,1.44915,1.03352
34456,-0.175919,-2.5637,-1.99585
34457,-0.172613,-1.78233,-1.38976
34458,0.168127,1.29968,1.06281
34459,-0.248176,-1.96982,-1.63357
34460,-0.0502964,-0.00543107,-0.0379129
34461,-0.0488796,-0.816077,-0.603471
34462,-0.0701316,-1.44089,-1.10345
34463,-0.176864,-2.26003,-1.74201
34464,-0.0162932,-0.64063,-0.482312
34465,0.0122789,0.268484,0.200725
34466,0.135304,0.569317,0.509218
34467,-0.0838273,-0.575693,-0.463936
34468,-0.0344755,-0.289972,-0.214025
34469,0.489504,2.83384,2.35116
