sec,ofi_best,ofi_sum,ofi_integrated
34200,0.00241567,-0.0161309,0.0250718
34201,0.603265,2.15425,7.70005
34202,0.0236958,0.305788,1.06218
34203,0.0490761,0.434883,1.55941
34204,0.0245858,-0.324955,-1.09021
34205,0.0338511,0.679899,2.3987
34206,-0.0548451,-0.813618,-2.8075
34207,-0.0158449,0.335905,1.21999
34208,-0.00157336,0.256235,0.891814
34209,0,-0.000111248,0.0298277
34210,0.0634748,0.702212,2.42434
34211,0,0.0103301,0.0734406
34212,0.0829908,0.594413,1.98131
34213,0.0267948,0.0379196,0.154216
34214,-0.0158925,-0.0201517,-0.032995
34215,0.0143033,0.236974,0.839614
34216,0.00559417,0.0279391,0.13752
34217,0.0562119,0.336413,1.11507
34218,0.00238388,0.00158925,0.0377623
34219,0.00327386,-0.0189757,-0.0447172
34220,-0.0691007,-0.60123,-1.95306
34221,-0.00158925,0.00794627,0.0678116
34222,0.00533989,0.237403,0.844574
34223,-0.181699,-2.06171,-6.86359
34224,0.0319758,0.313083,1.07736
34225,0.0582461,0.608446,2.0812
34226,-0.014494,-0.245873,-0.795408
34227,0.0633,0.59419,2.0194
34228,-0.0150979,-0.0309904,-0.071296
34229,0.0103301,0.0309904,0.144499
34230,-0.000301958,0.00605506,0.0636008
34231,-0.201962,-1.57424,-5.18835
34232,-0.0764908,-0.683506,-2.29368
34233,0.00635701,0.00635701,0.0494328
34234,0.0440223,0.318741,1.11408
34235,0.0189598,0.626214,2.15563
34236,-0.046295,-0.739368,-2.42046
34237,0.00953552,0.0282092,0.13683
34238,0.00564185,0.329182,1.13058
34239,-0.00794627,-0.32354,-1.03795
34240,-0.00457705,-0.0146211,-0.0189036
34241,-0.0118717,-0.299193,-1.00789
34242,0.0181334,0.310063,1.10729
34243,0.0184989,0.64805,2.19778
34244,-0.0291469,-0.644395,-2.10158
34245,-0.0206603,-0.565059,-1.93894
34246,0.0135087,0.0214549,0.10105
34247,-0.030466,-0.644712,-2.23325
34248,-0.00160515,0.0142874,0.0918426
34249,0.0731216,0.0937977,0.323762
34250,0.132734,1.03783,3.62592
34251,-0.0381421,-0.697809,-2.436
34252,0.0847231,0.460486,1.62759
34253,0.0158925,0.612228,2.18914
34254,-0.0574674,-0.672222,-2.31278
34255,-0.0012873,-0.0012873,0.0304041
34256,0.00158925,0.0206603,0.11347
34257,0.0585004,0.663434,2.35441
