sec,ofi_best,ofi_sum,ofi_integrated
34200,-0.0695187,1.03583,0.119909
34201,-4.06128,-11.8363,-6.87657
34202,-2.07096,-8.61754,-4.81462
34203,-1.62326,-8.60711,-4.78019
34204,0.549198,15.0654,7.47644
34205,1.03444,12.2846,6.58977
34206,2.03134,1.4293,1.12845
34207,0.330214,2.87529,1.64656
34208,-0.456043,-7.95433,-4.03773
34209,-1.25412,-10.8484,-5.92963
34210,0.786952,7.99882,4.32343
34211,-0.230107,-5.41412,-2.80885
34212,0.613155,8.45139,4.41429
34213,0.0208556,0.490107,0.250107
34214,0.0173797,0.799465,0.420652
34215,-0.313529,-2.09321,-1.11135
34216,1.56626,6.19551,3.77121
34217,1.00246,2.95454,2.08435
34218,0.221069,2.95107,1.49817
34219,0.110535,-4.50342,-2.1331
34220,-0.512353,-9.21887,-4.54049
34221,1.4592,13.2996,7.28157
34222,0,-0.0702139,-0.000629627
34223,-0.0695187,-0.885668,-0.445729
34224,0.0688235,-0.137647,-0.00706883
34226,0.063262,-0.469946,-0.097026
34227,0.183529,-5.83053,-2.67778
34228,-0.0709091,-1.42583,-0.719956
34229,0,-0.000695187,0.0344967
34230,-0.0326738,-0.102192,-0.0280882
34231,-0.247487,-6.20107,-3.18208
34232,0.289198,4.24759,2.28436
34233,0.231497,1.46337,0.845155
34234,0.157112,0.13,0.14307
34235,-0.011123,-1.27984,-0.587022
34236,0,-0.243315,-0.0737929
34237,-0.791818,-10.1059,-5.31555
34238,-0.953796,-10.5397,-5.68347
34239,0.204385,2.52492,1.40526
34240,-0.468556,-8.51534,-4.45951
34241,-0.769572,-10.9395,-5.70618
34242,0.345508,1.43069,0.84049
34243,0.107754,0.0479679,0.0978872
34244,1.24717,18.7103,9.83539
34245,0.0173797,-0.556845,-0.232284
34246,-0.052139,-0.225936,-0.107229
34247,0.462994,0.0458823,0.147147
34248,-0.379572,-4.13219,-2.13304
34249,0.145294,1.5885,0.837193
34250,1.73449,22.5699,12.0019
34251,0.0125134,-2.72652,-1.29741
34252,0,0,0.0349275
34253,0,0.645829,0.360164
34254,0.0771657,-1.2993,-0.637177
34255,-0.00486631,0.522781,0.29426
34256,0.193957,6.79615,3.59235
34257,0.733422,7.33978,3.92934
34258,0.35246,4.65567,2.562
34259,-0.668075,-7.14444,-3.85017
34260,0.100107,1.80262,0.997352
34261,0.280855,4.14053,2.25832
34262,0.486631,5.27021,2.84773
34263,-1.24091,-18.1659,-9.50369
34264,-0.161979,-0.113315,-0.0458439
34265,-0.495668,-8.89492,-4.62213
34266,-0.184225,-3.4377,-1.76659
34267,-0.000695187,-1.25551,-0.599947
34268,0,0.246791,0.138818
34269,-0.0361497,0.89262,0.490391
34270,0.171016,3.41615,1.81325
34271,0.000695187,0.644438,0.356596
34272,1.11786,20.3711,10.6907
34273,-0.151551,-0.342032,-0.184348
34274,-0.110535,-4.03486,-2.06404
34275,-0.0173797,-0.0868984,-0.0172912
34276,-0.152941,-5.82428,-2.98309
34277,-0.0716042,-7.59075,-3.77034
34278,-0.0500535,-0.214118,-0.0710322
34279,-0.523476,-8.54941,-4.57443
34280,-0.409465,-5.66925,-2.92814
34281,-0.357326,-8.12326,-4.16161
34282,0.176577,2.43593,1.30763
34283,0.0785561,0.67016,0.395283
34284,-0.399732,-6.49791,-3.35358
34285,1.78733,16.9083,9.04288
34286,-0.205775,-2.50128,-1.27826
34287,0,-0.0695187,-0.00502184
34288,-0.165454,-6.60567,-3.33757
34289,0,0.0688235,0.0776242
34290,-0.0132086,0.412246,0.249916
34291,-0.0180749,-0.887058,-0.425035
34292,0.0695187,2.01674,1.07107
34293,0,-0.0764706,0.00538671
34294,0.586738,10.0865,5.26945
34295,0.643048,7.95294,4.2568
34296,-0.267647,-5.35294,-2.79513
34297,-0.143208,-3.17214,-1.6156
34298,-0.305882,-8.92203,-4.54121
34299,-0.00625668,-1.81513,-0.864436
34300,0,-0.435882,-0.211425
34301,0.663208,11.1397,5.84522
34302,0.118182,0.939197,0.541954
34303,-0.971871,-12.398,-6.5594
34304,-0.759144,-13.1091,-6.86315
34305,0.146684,3.7839,2.0713
34306,-1.12898,-12.5752,-6.76621
34307,-0.383743,-3.05535,-1.64951
34308,-0.0695187,-0.0868984,-0.0249194
34309,0.626363,7.76732,4.14715
34310,0.0347593,2.24198,1.19372
34311,0.149465,1.59893,0.883454
34312,0.406684,7.67278,4.05779
34313,-0.546417,-7.90149,-4.1512
34314,0.148075,0.973262,0.572945
34315,0.029893,2.29968,1.24624
34316,0.296845,4.62438,2.47407
34317,0.0868984,0.754278,0.446129
34318,0.443529,8.5216,4.39012
34319,-0.431016,-9.91197,-5.05026
34320,0.347593,4.85936,2.61738
34321,0,0,0.0349275
34322,0.641657,11.602,6.10848
34323,-0.0173797,-0.53877,-0.23695
34324,-0.0764706,-1.83182,-0.936851
34325,-0.0660428,0.524866,0.296832
34326,-0.0173797,-1.08727,-0.515269
34327,-0.169626,-9.00893,-4.51325
34328,0.278075,2.27882,1.22782
34329,-0.440748,-8.99572,-4.68885
34330,2.28091,29.8562,15.7711
34331,-0.0215508,-3.13321,-1.55834
34332,0.711176,9.10069,4.90368
34333,-0.194652,-3.11652,-1.61923
34334,1.31043,12.5829,6.7863
34335,0.486631,4.42417,2.4365
34336,-0.0173797,-1.54053,-0.752567
34337,-0.492192,-9.99748,-5.14487
34338,0,0,0.0349275
34339,1.03305,19.1531,10.2216
34340,0.12861,-0.711176,-0.296916
34341,0.0695187,1.76091,0.970359
34342,1.6469,11.4553,6.49192
34343,0.404599,9.4893,5.15241
34344,0,0,0.0349275
34345,1.0254,10.2366,5.51866
34346,-0.695882,-16.3306,-8.53229
34347,0.683369,8.96652,4.92987
34348,-1.53914,-15.4943,-8.33222
34349,-0.0139037,-0.234278,-0.103964
34350,0.212032,7.52053,3.89056
34351,-0.367059,-4.62716,-2.36822
34352,0.24123,3.28337,1.77627
34353,-0.0472727,0.854385,0.45966
34354,0.59369,9.59914,5.07445
34355,-0.0347593,-1.03096,-0.50875
34356,-0.740374,-8.72599,-4.59746
34357,-0.319786,-7.35369,-3.79526
34358,-0.234278,-5.00813,-2.54551
34359,-2.60904,-29.6539,-15.7748
34360,0.973262,7.3078,4.02011
34361,0.156417,1.9639,1.10541
34362,0.0347593,-0.0347593,0.0163881
34363,0.0173797,0.738288,0.417793
34364,0,-0.773048,-0.360886
34365,0,0.859946,0.483539
34366,0,-0.0347593,0.0144385
34367,0.0695187,0.392781,0.279519
34368,-0.663903,-8.15315,-4.30609
34369,0,0,0.0349275
34370,-0.657647,-1.28331,-0.810339
34371,-1.12968,-13.8363,-7.33911
34372,-1.6038,-23.4772,-12.1658
34373,-1.45503,-14.9437,-8.20914
34374,-0.0118182,-0.133476,-0.0453845
34375,-0.177968,-11.7521,-6.03431
34376,-1.5315,-27.8846,-14.8177
34377,0.545027,8.34572,4.3288
34378,0.487326,-0.0361497,0.195308
34379,0.123048,1.71989,0.94654
34380,0.513743,5.43428,2.931
34381,0.136257,2.93508,1.54637
34382,0.1877,1.02053,0.583019
34383,-0.0695187,-0.0347593,0.00660697
34384,0.400428,1.91802,1.13008
34385,1.60936,24.6757,13.0251
34386,-0.141123,-3.31952,-1.73412
34387,-0.0458823,-0.498449,-0.199765
34388,0.187005,1.83599,0.985461
34389,-0.0868984,-1.19642,-0.592647
34390,0.0347593,-0.0347593,0.0127151
34391,0.0486631,0.705615,0.385593
34392,0.243315,1.34658,0.783467
34393,0.369839,7.36829,3.99985
34394,-0.243315,-5.63171,-2.94528
34395,-0.139037,-0.139037,-0.0632273
34396,0.434492,5.96331,3.24248
34397,0.260695,3.58716,1.94543
34398,0.104278,4.16486,2.15421
34399,0.435187,2.12032,1.23365
34400,0.191176,1.41679,0.828596
34401,0.528342,3.97299,2.21345
34402,-0.250267,-3.54615,-1.78197
34403,-0.118182,0.886363,0.418848
34404,-0.22246,-3.93545,-2.02631
34405,-0.479679,-4.53192,-2.41034
34406,-0.0139037,-1.68235,-0.825789
34407,0.361497,3.71994,2.00732
34408,0.501925,3.33829,1.82447
34409,-0.291978,-2.64727,-1.39271
34410,-0.757059,-14.6796,-7.67117
34411,0.381658,5.76658,3.03602
34412,-0.399732,-4.47492,-2.31481
34413,-0.159198,-4.39984,-2.27996
34414,-0.524171,-7.98005,-4.13847
34415,0.987861,16.4412,8.57972
34416,0.0695187,1.40497,0.752989
34417,-0.173797,-2.68203,-1.40223
34418,1.31668,5.8062,3.40402
34419,0.0486631,-6.23583,-3.15853
34420,0.816845,4.36577,2.46072
34421,-0.145294,-8.86711,-4.5156
34422,0.573529,3.00112,1.69415
34423,0.444224,15.0487,7.82431
34424,0.461604,-2.52909,-1.12837
34425,0.451871,0.472727,0.363657
34426,0.191176,-8.90048,-4.41323
34427,-0.115401,-2.57428,-1.27429
34428,-1.15123,-14.3938,-7.72781
