session,symbol,date,n_bars,n_metaorders,displayed_volume,hidden_volume,session_volume,adv_20d_xnas,sigma_daily_20d,mid_median,half_spread_median,one_tick_bp,share_one_tick_spread,depth_l1_ask_median,depth_l1_bid_median,depth_10_ask_median,sigma_realised_session
MSFT_2024-06-03,MSFT,2024-06-03,23390,9437,2406106.0,3170082.0,5576188.0,6674927.6,0.0103813192550854,411.92,0.0250000000000056,0.2427655855505923,0.0039366709456568,60.0,62.0,1227.0,0.011170083005097555
MSFT_2024-02-01,MSFT,2024-02-01,23396,12639,3904705.0,4329096.0,8233801.0,7777715.35,0.0113799660672593,404.05500000000006,0.0200000000000102,0.2474910593854796,0.0116791443850267,100.0,100.0,1442.0,0.011108137601957342
MSFT_2024-04-01,MSFT,2024-04-01,23365,8303,2392631.0,3417595.0,5810226.0,7946916.55,0.013178368812936,423.63,0.0150000000000147,0.2360550480372023,0.0241087898417056,99.0,97.0,1158.0,0.009236380630001189
MSFT_2024-10-01,MSFT,2024-10-01,23383,13724,2415978.0,4659768.0,7075746.0,7686281.4,0.010498341243707,421.735,0.0250000000000056,0.2371157243292589,0.0025692630497152,50.0,50.0,1314.0,0.012017977977874997
MSFT_2024-12-02,MSFT,2024-12-02,23150,6086,1988798.0,4580080.0,6568878.0,7816724.6,0.0116225816858351,431.045,0.0299999999999727,0.2319943393381201,0.0056078860898138,35.0,30.0,1514.0,0.009490785176837347
INTC_2024-08-02,INTC,2024-08-02,23394,13801,38516952.0,26767551.0,65284503.0,17196692.7,0.0686223726567119,21.185,0.0050000000000007,4.720320981826764,0.9817870884993588,4208.0,2570.0,47722.0,0.051105089569116836
INTC_2024-02-01,INTC,2024-02-01,23210,4767,4438112.0,5351866.0,9789978.0,13592350.6,0.0294440363439933,43.185,0.004999999999999,2.315618849137432,0.9787261586260464,1125.0,1201.0,19130.0,0.018368940305956614
INTC_2024-04-01,INTC,2024-04-01,22562,4087,4588494.0,5888890.0,10477384.0,14327630.6,0.0263401881510598,44.415000000000006,0.004999999999999,2.2514916131937404,0.9837065396429684,956.0,1103.0,17443.0,0.015968112282131623
INTC_2024-10-01,INTC,2024-10-01,23146,3587,11143057.0,10839066.0,21982123.0,28364626.75,0.0399704286395414,22.705,0.0050000000000007,4.404316229905307,0.991724795286166,3499.0,4180.0,58706.0,0.027897421109304352
INTC_2024-12-02,INTC,2024-12-02,23208,8162,20682576.0,19338071.0,40020647.0,18894127.9,0.0310953110349547,24.695,0.0050000000000007,4.049402713099818,0.9861519819975766,2650.0,2647.0,48407.5,0.03524388031471334
AAPL_2024-02-01,AAPL,2024-02-01,23388,20401,7785631.0,8427217.0,16212848.0,15906159.45,0.01339590873526,185.895,0.0050000000000096,0.5379380833266091,0.6209273451213769,212.0,230.0,3484.0,0.01228475072089129
AAPL_2024-04-01,AAPL,2024-04-01,23332,9667,7183006.0,7915950.0,15098956.0,24647006.9,0.0135100594888902,169.97500000000002,0.0049999999999954,0.588321812031181,0.9603798719436208,548.0,657.0,9720.0,0.007284312507027707
AAPL_2024-06-03,AAPL,2024-06-03,23372,19254,9222145.0,9396364.0,18618509.0,19703919.2,0.009610342028172,193.59500000000003,0.0050000000000096,0.5165422660709211,0.6337859253865593,291.0,245.0,4439.0,0.010924681654651845
AAPL_2024-08-01,AAPL,2024-08-01,23399,24319,10098158.0,11179939.0,21278097.0,17171204.1,0.0151008967133352,218.92,0.0100000000000051,0.4567878677142334,0.1643232616778494,182.0,151.0,2582.0,0.016524990657213086
AAPL_2024-10-01,AAPL,2024-10-01,23400,28839,8982988.0,11557265.0,20540253.0,22825931.0,0.0134153886704739,225.36,0.0099999999999909,0.4437344692935747,0.4106410256410256,127.0,110.0,2947.0,0.01363860629326487
