session,displayed_volume_mbo,hidden_volume_mbo,total_volume_mbo,n_fills,n_hidden_prints
MSFT_2024-06-03,2406106.0,3170082.0,5576188.0,70510,28032
MSFT_2024-02-01,3904705.0,4329096.0,8233801.0,72825,29913
MSFT_2024-04-01,2392631.0,3417595.0,5810226.0,54007,20900
MSFT_2024-10-01,2415978.0,4659768.0,7075746.0,73680,22149
MSFT_2024-12-02,1988798.0,4580080.0,6568878.0,49573,21794
INTC_2024-08-02,38516952.0,26767551.0,65284503.0,152683,52072
INTC_2024-02-01,4438112.0,5351866.0,9789978.0,42245,11373
INTC_2024-04-01,4588494.0,5888890.0,10477384.0,41622,8956
INTC_2024-10-01,11143057.0,10839066.0,21982123.0,40540,10634
INTC_2024-12-02,20682576.0,19338071.0,40020647.0,76824,28147
AAPL_2024-02-01,7785631.0,8427217.0,16212848.0,113803,31256
AAPL_2024-04-01,7183006.0,7915950.0,15098956.0,84805,20091
AAPL_2024-06-03,9222145.0,9396364.0,18618509.0,130227,38030
AAPL_2024-08-01,10098158.0,11179939.0,21278097.0,170875,41191
AAPL_2024-10-01,8982988.0,11557265.0,20540253.0,155800,23145
