order,schedule,impact_cost,inventory_variance,peak_minute_share,half_life_minutes
small (flat region),TWAP,200.0,5180017.094017091,0.002564102564102564,194
small (flat region),depth_proportional,200.0,4962246.446408959,0.003662993341805179,194
small (flat region),kkt_risk_neutral,200.0,4962246.446408959,0.003662993341805179,194
small (flat region),almgren_chriss_lam=1e-06,200.0,1049074.654045426,0.016005609920324862,38
small (flat region),almgren_chriss_lam=1e-05,200.00000000000009,511255.6511878489,0.031999189823270116,19
large (tail engaged),TWAP,3501.0946034919057,1165503846.153846,0.002564102564102564,195
large (tail engaged),depth_proportional,3460.6811178304297,1116505450.4420154,0.003662993341805179,194
large (tail engaged),kkt_risk_neutral,3460.6811178304292,1116505450.4420156,0.003662993341805177,194
large (tail engaged),almgren_chriss_lam=1e-06,3588.541008779758,781776691.2979692,0.006678957473506334,124
large (tail engaged),almgren_chriss_lam=1e-05,5578.931077594289,210496975.65755615,0.023284590724240408,30
