p_original_filtered,p_unfiltered,p_unfiltered_count_weighted,n_buckets_all,n_buckets_kept,share_of_snapshot_points_dropped,session,symbol
0.5425802759492414,0.1544610866253113,0.58356992474625,3342,999,0.2283934769172253,MSFT_2024-06-03,MSFT
0.4903695598409467,0.2675871326883713,0.6590036425989744,4336,999,0.348544266191325,MSFT_2024-02-01,MSFT
0.58133003260504,0.3231454654436764,0.730711725508484,3255,999,0.2000057197603421,MSFT_2024-04-01,MSFT
0.3885542585737439,0.2263642008316007,0.4158008494302568,2774,999,0.288328408912488,MSFT_2024-10-01,MSFT
0.4602885660905503,0.2473303954721809,0.4771377993822863,3820,999,0.3594109772423025,MSFT_2024-12-02,MSFT
0.2833598186118017,0.4281016377821875,0.5202410740266282,68094,98,0.9993587002992732,INTC_2024-08-02,INTC
0.4096012640275587,0.4807984713801161,0.6217258071007923,31735,583,0.9921319869969218,INTC_2024-02-01,INTC
0.204343608708292,0.3357842321152499,0.5729556307495817,28966,369,0.9951475760138896,INTC_2024-04-01,INTC
-0.0606788334794277,0.5688180743788325,0.6384900318232604,72234,37,0.999802627461741,INTC_2024-10-01,INTC
0.521126251859636,0.4546712574754451,0.5589402028035878,68835,33,0.9997932413978804,INTC_2024-12-02,INTC
0.3231405852111624,0.1491674150741632,0.4715961635343966,12822,976,0.7375281262338675,AAPL_2024-02-01,AAPL
0.0398326378199235,0.3390021491225293,0.6250121853833313,22012,706,0.9682198635402194,AAPL_2024-04-01,AAPL
0.3493716256686004,0.242793103794887,0.6157465009714583,12225,943,0.8318032771281583,AAPL_2024-06-03,AAPL
0.3971285269962428,0.3996925907293417,0.7603184833361839,5383,987,0.6792740430502728,AAPL_2024-08-01,AAPL
0.3880494541510558,0.3938605415321942,0.6680644883446392,8108,983,0.6698385565052232,AAPL_2024-10-01,AAPL
