session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-06-03,propagator,0,-0.0003839350542657778,0.00015327663866072997,7.1348824532508775e-06,274,-0.3992254339834901
MSFT_2024-06-03,propagator,1,-0.00014968032959849746,7.683093944703776e-05,4.001376435187703e-06,274,-0.5133001754681399
MSFT_2024-06-03,propagator,2,-9.108445034497531e-05,4.9708500899121394e-05,2.731087638036569e-06,275,-0.5457408011011132
MSFT_2024-06-03,propagator,3,-6.492791154859101e-05,1.9679750023695565e-05,1.5661308069289771e-06,274,-0.3031015406828164
MSFT_2024-06-03,propagator,4,-3.378953705838122e-05,1.116648396896004e-05,9.155196867780343e-07,272,-0.3304716471748845
MSFT_2024-06-03,propagator,5,4.039469652286555e-05,1.8135079186923967e-05,1.035427652973369e-06,276,0.4489470338428845
MSFT_2024-06-03,propagator,6,6.43339057309621e-05,1.9341060686474407e-05,1.2068842205309736e-06,302,0.30063557414587533
MSFT_2024-06-03,propagator,7,8.764024101641858e-05,4.215074890950399e-05,2.4444610962670305e-06,244,0.4809519967158402
MSFT_2024-06-03,propagator,8,0.00014604562618091875,7.242921030105892e-05,3.8125536470178066e-06,272,0.4959354976597169
MSFT_2024-06-03,propagator,9,0.0004169545320177201,0.00017280396186228323,7.556608242155283e-06,274,0.4144431792743753
MSFT_2024-02-01,propagator,0,-0.00036449549324772646,0.00012938482250027746,5.342088810337437e-06,363,-0.35496960839606895
MSFT_2024-02-01,propagator,1,-0.00013570831788828203,6.40803053302562e-05,2.7883289243688523e-06,363,-0.472191434743215
MSFT_2024-02-01,propagator,2,-8.332139010263178e-05,3.933365183129666e-05,1.7397331074865548e-06,361,-0.4720714786784897
MSFT_2024-02-01,propagator,3,-6.407881006508502e-05,2.0018421028850432e-05,1.1874607904975947e-06,366,-0.3124031330874851
MSFT_2024-02-01,propagator,4,-3.746856030697779e-05,1.626925143371203e-05,8.92819652039047e-07,359,-0.43421074363196704
MSFT_2024-02-01,propagator,5,3.592573026156092e-05,1.3523044375314349e-05,8.949312669936281e-07,367,0.3764166873396436
MSFT_2024-02-01,propagator,6,6.185483529153054e-05,1.6718747702375703e-05,7.884138126716736e-07,365,0.27029006905568326
MSFT_2024-02-01,propagator,7,7.446736374281127e-05,3.020022572176173e-05,1.4856832528320814e-06,355,0.4055498167769786
MSFT_2024-02-01,propagator,8,0.00011010410737253772,5.7077332016648586e-05,2.3603871019824362e-06,362,0.5183942123387567
MSFT_2024-02-01,propagator,9,0.0003063817351450093,0.00011836475394735478,5.059727643812152e-06,363,0.3863309733242851
MSFT_2024-04-01,propagator,0,-0.00022319372186790877,0.00011342927811414635,4.544235784168446e-06,283,-0.5082099853206284
MSFT_2024-04-01,propagator,1,-8.683488997707918e-05,5.9734948718252864e-05,2.5038485999316273e-06,285,-0.687914140664201
