decile,predicted,realised,ratio,n,model
0,-0.0005668559235364913,0.00019570359528156634,-0.34524398027035513,4762,propagator
1,-0.00017072908922850495,9.757637300817185e-05,-0.5715275202902007,4778,propagator
2,-9.997909360704811e-05,5.2481681828429174e-05,-0.5249265614939465,4949,propagator
3,-7.173087634662896e-05,3.345297436787862e-05,-0.46636784703733464,4919,propagator
4,-4.232544874976046e-05,1.8664086766276367e-05,-0.4409660692937602,4360,propagator
5,4.2375712754819026e-05,1.7863302627594135e-05,0.42154577389527675,5114,propagator
6,7.546250908271178e-05,3.307151746561035e-05,0.43825096551403864,4471,propagator
7,0.00010522094796943204,5.28886026521437e-05,0.5026432822816659,4680,propagator
8,0.00018856240526283303,9.620747486173477e-05,0.5102155688332107,4736,propagator
9,0.0006637980989057886,0.00020520499709011366,0.30913766916231855,4756,propagator
0,-1.8641493347387617e-05,0.0001996780987468022,-10.71148620047571,4761,propagator_scaled
1,-5.540263804340641e-06,9.547695968003498e-05,-17.233287628872738,4774,propagator_scaled
2,-3.2834312763650273e-06,5.1184808765225604e-05,-15.588816837333209,4934,propagator_scaled
3,-2.2751094405508933e-06,3.172689870564692e-05,-13.945218695925501,4821,propagator_scaled
4,-1.2626895374192075e-06,1.7224107765726887e-05,-13.640809759880476,4533,propagator_scaled
5,1.4118938135432775e-06,1.921036644908316e-05,13.606098606575076,5085,propagator_scaled
6,2.3297978165218378e-06,3.500625595472813e-05,15.02544800517887,4488,propagator_scaled
7,3.4965627292656976e-06,5.4630013604089125e-05,15.623919212672558,4661,propagator_scaled
8,6.225489069324479e-06,9.886001275841565e-05,15.879878939236953,4711,propagator_scaled
9,2.066829041484403e-05,0.00020116574362114922,9.733061592586843,4757,propagator_scaled
0,2.2205148699509654e-05,1.4667295797236647e-05,0.6605358061646549,5311,sqrt
1,4.3933323268435954e-05,2.397567370667445e-05,0.5457286615943269,4898,sqrt
2,6.12162706566162e-05,3.413801662845866e-05,0.5576624688549049,4405,sqrt
3,7.890094470939812e-05,4.0859537796436524e-05,0.5178586637577943,4845,sqrt
4,0.00010133765036475812,5.9550880293469626e-05,0.5876481256385973,4399,sqrt
5,0.0001190441714217057,6.862348360755634e-05,0.5764539564432972,4767,sqrt
6,0.0001445513876794302,9.08421801985527e-05,0.6284421177610018,4661,sqrt
7,0.0001722259718818499,0.00011043918117545249,0.641245800321079,4735,sqrt
8,0.00021511756346486292,0.00015019504791574385,0.6981998377844055,4751,sqrt
9,0.00033976000759657754,0.00021659234955601593,0.6374862983085173,4753,sqrt
0,7.5834854625233904e-06,1.4501458463720865e-05,1.912241875505031,4760,sqrt_trailing_sigma
1,1.6096471110690372e-05,2.4532296679837952e-05,1.5240791917145726,4751,sqrt_trailing_sigma
2,2.3278680053121905e-05,3.459049797615832e-05,1.4859303833904185,4748,sqrt_trailing_sigma
3,3.051575251508695e-05,4.281633394470573e-05,1.403089565742722,4755,sqrt_trailing_sigma
4,3.819801130967478e-05,5.846808884564042e-05,1.5306579280170967,4752,sqrt_trailing_sigma
5,4.6412523493872426e-05,7.298309604580273e-05,1.572487133896916,4750,sqrt_trailing_sigma
6,5.591127310108681e-05,9.005395684397578e-05,1.6106583135955332,4751,sqrt_trailing_sigma
7,6.780799325098055e-05,0.00011324509165400134,1.6700846939215936,4750,sqrt_trailing_sigma
8,8.593229259596073e-05,0.00015143901756576488,1.7623062645122924,4749,sqrt_trailing_sigma
9,0.00014536768401474955,0.00020157366169955312,1.3866469914943456,4759,sqrt_trailing_sigma
