session,model,decile,predicted,realised,realised_se,n,ratio
MSFT_2024-06-03,propagator,0,2.953855844113141e-05,1.0903842436416362e-05,8.957039855175903e-07,263,0.3691392881662479
MSFT_2024-06-03,propagator,1,4.3966495186550224e-05,1.8627628328061225e-05,1.145668501262095e-06,285,0.42367780849995057
MSFT_2024-06-03,propagator,2,5.7059386817395454e-05,1.9693442103602458e-05,1.2469869102867099e-06,272,0.3451393925179477
MSFT_2024-06-03,propagator,3,7.10023929288874e-05,1.898435478177938e-05,1.5147420547100014e-06,275,0.2673762671744487
MSFT_2024-06-03,propagator,4,8.118732719354753e-05,3.945447290635939e-05,2.2126297929122366e-06,273,0.48596836809643223
MSFT_2024-06-03,propagator,5,9.621960960989182e-05,5.0240482187461346e-05,2.7771166990015803e-06,274,0.5221438996806779
MSFT_2024-06-03,propagator,6,0.00012170173749660207,6.15691911632707e-05,3.189527291477257e-06,274,0.5059023184857137
MSFT_2024-06-03,propagator,7,0.00017397550525160505,8.676861067695832e-05,4.3775864210133365e-06,273,0.4987403861909912
MSFT_2024-06-03,propagator,8,0.00026389101746651823,0.00012473696992528364,5.773033910694442e-06,274,0.47268365222438813
MSFT_2024-06-03,propagator,9,0.0005370468727099055,0.0002018334468485298,8.01659537390832e-06,274,0.37582091453226535
MSFT_2024-02-01,propagator,0,2.8457146624696134e-05,1.3653684667388803e-05,7.144424474097046e-07,377,0.4797980924601782
MSFT_2024-02-01,propagator,1,4.547443042098052e-05,1.5989783165146546e-05,1.0547545126352629e-06,346,0.3516214060763551
MSFT_2024-02-01,propagator,2,5.87562115866767e-05,1.789412904309324e-05,1.145467042379331e-06,350,0.3045487202097086
MSFT_2024-02-01,propagator,3,6.611696960388247e-05,1.8500364646215603e-05,8.465859399697799e-07,376,0.2798126525921303
MSFT_2024-02-01,propagator,4,7.365674448809978e-05,2.8821598533404517e-05,1.349076214428526e-06,396,0.39129612276118214
MSFT_2024-02-01,propagator,5,8.415142801182672e-05,4.1693050192332416e-05,1.8017224664690966e-06,329,0.49545267593644204
MSFT_2024-02-01,propagator,6,0.00010262338694553285,5.423343714094369e-05,2.219145739976109e-06,363,0.5284705441433927
MSFT_2024-02-01,propagator,7,0.00014211589613085773,6.595106382238582e-05,2.8398255162711676e-06,363,0.4640653552341483
MSFT_2024-02-01,propagator,8,0.0002130942522686485,9.897805046183762e-05,4.119587813565355e-06,362,0.46448015095712536
MSFT_2024-02-01,propagator,9,0.00046162284559480237,0.0001506162769610713,5.8088825109602845e-06,362,0.32627561308626696
MSFT_2024-04-01,propagator,0,3.117745992924632e-06,1.0241454182973492e-05,7.834705998956262e-07,280,3.284890496600846
MSFT_2024-04-01,propagator,1,1.263601688988843e-05,1.5581300685298846e-05,1.0576212848121362e-06,262,1.2330864085633888
MSFT_2024-04-01,propagator,2,2.085308160684428e-05,1.7637643021303546e-05,9.833736554259646e-07,307,0.8458051118696346
MSFT_2024-04-01,propagator,3,3.0468316012901045e-05,1.9776113298721945e-05,1.1268753548273425e-06,281,0.6490714252257409
MSFT_2024-04-01,propagator,4,3.991980096789731e-05,3.086653081277821e-05,1.6116633581629001e-06,284,0.7732135447669303
MSFT_2024-04-01,propagator,5,5.314421653993259e-05,3.941498397600089e-05,1.980344874537422e-06,281,0.7416608342769425
MSFT_2024-04-01,propagator,6,7.2600245188371e-05,5.39563012028793e-05,2.4148330709101564e-06,284,0.7431972311234278
MSFT_2024-04-01,propagator,7,0.00010156920380169515,6.83465327041124e-05,2.7372062692856606e-06,281,0.6729060595724756
MSFT_2024-04-01,propagator,8,0.00015239675349155917,0.00010269685300176678,3.6387320628153086e-06,282,0.673878220164676
MSFT_2024-04-01,propagator,9,0.0002968170863436045,0.00015677826773679519,5.5370551872335245e-06,283,0.5281982572772238
MSFT_2024-10-01,propagator,0,3.196451017570584e-05,1.7704455269141778e-05,9.069798062300508e-07,398,0.5538785100044421
MSFT_2024-10-01,propagator,1,4.29832101919579e-05,1.794415458368475e-05,8.337918439200728e-07,392,0.4174689257398015
MSFT_2024-10-01,propagator,2,5.071818025007597e-05,2.6313845414321035e-05,1.4112924411351656e-06,380,0.5188247150149204
MSFT_2024-10-01,propagator,3,6.402847923555749e-05,2.9870221931061148e-05,1.4814132037548275e-06,398,0.46651462423728873
MSFT_2024-10-01,propagator,4,7.606114144977126e-05,3.0088442777769863e-05,1.5000797892362433e-06,407,0.3955823197531089
MSFT_2024-10-01,propagator,5,8.360911725032977e-05,4.688916841513063e-05,2.040360039921937e-06,380,0.5608140590067728
MSFT_2024-10-01,propagator,6,9.889702556074131e-05,5.637302710637566e-05,2.332459685918877e-06,394,0.57001741747786
MSFT_2024-10-01,propagator,7,0.00013028702792155437,8.075678695917512e-05,3.140214049115347e-06,392,0.6198375099000544
MSFT_2024-10-01,propagator,8,0.00019509358984474965,0.00010874675871409352,3.868865885826244e-06,392,0.5574081588258811
