decile,predicted,realised,ratio,n,model
0,3.5391017557532766e-05,1.4113413130300098e-05,0.39878517500540595,5266,propagator
1,5.1060287425544075e-05,2.3186513311048524e-05,0.4541007205425354,4853,propagator
2,6.675430375903717e-05,2.99107728976642e-05,0.44807257679794005,4746,propagator
3,8.286212289747885e-05,3.818682327524481e-05,0.46084775455839394,4208,propagator
4,9.452072201630775e-05,4.654362633678991e-05,0.49241716889085646,4772,propagator
5,0.00011216140342579819,6.040192239947518e-05,0.5385268065001955,4745,propagator
6,0.00014359752630320753,8.167346462989909e-05,0.5687665152214726,4680,propagator
7,0.0002161108389006672,0.00011460104822213109,0.5302882946782975,4755,propagator
8,0.00037133216135102205,0.00015005747981826288,0.40410579916457284,4741,propagator
9,0.000861708715445093,0.0002490781897224058,0.289051491830103,4759,propagator
0,1.88738083771473e-05,1.4113413130300098e-05,0.7477777059233492,5266,propagator_scaled
1,2.9251751653273262e-05,2.3186513311048524e-05,0.7926538412428358,4853,propagator_scaled
2,3.776970107755925e-05,2.99107728976642e-05,0.7919250627968457,4746,propagator_scaled
3,4.6135637513822065e-05,3.818682327524481e-05,0.8277077186546773,4208,propagator_scaled
4,5.3497739999792095e-05,4.654362633678991e-05,0.8700110759252782,4772,propagator_scaled
5,6.38421626056559e-05,6.040192239947518e-05,0.9461133510242972,4745,propagator_scaled
6,8.035840319218003e-05,8.167346462989909e-05,1.0163649523320422,4680,propagator_scaled
7,0.00011504304463610504,0.00011460104822213109,0.9961579909904851,4755,propagator_scaled
8,0.00018495040080398532,0.00015005747981826288,0.8113390355790429,4741,propagator_scaled
9,0.0004053838959556882,0.0002490781897224058,0.6144254673343811,4759,propagator_scaled
0,2.220317568552503e-05,1.4667295797236647e-05,0.660594502560223,5311,sqrt
1,4.39313750918029e-05,2.397567370667445e-05,0.54575286242629,4898,sqrt
2,6.12121525638756e-05,3.413801662845866e-05,0.5576999860090729,4405,sqrt
3,7.889597606916969e-05,4.0859537796436524e-05,0.5178912769976272,4845,sqrt
4,0.0001013306684348699,5.9550880293469626e-05,0.5876886160259157,4399,sqrt
5,0.00011903673466140615,6.862348360755634e-05,0.576489970115127,4767,sqrt
6,0.0001445421282429974,9.08421801985527e-05,0.6284823760574019,4661,sqrt
7,0.0001722153815319285,0.00011043918117545249,0.6412852336013738,4735,sqrt
8,0.00021510393964406993,0.00015019504791574385,0.6982440589617741,4751,sqrt
9,0.0003397383185621345,0.00021659234955601593,0.637526995696847,4753,sqrt
0,7.58301745890382e-06,1.4501458463720865e-05,1.9123598939751294,4760,sqrt_trailing_sigma
1,1.6095548117407186e-05,2.4532296679837952e-05,1.5241665894749183,4751,sqrt_trailing_sigma
2,2.327731953583237e-05,3.459049797615832e-05,1.4860172333378336,4748,sqrt_trailing_sigma
3,3.0513917778116245e-05,4.281633394470573e-05,1.403173930533838,4755,sqrt_trailing_sigma
4,3.8195689328510616e-05,5.846808884564042e-05,1.5307509793257683,4752,sqrt_trailing_sigma
