session,symbol,split_second,n_train_orders,n_test_orders,n_crossing_orders_excluded,delta,n_lags,propagator_scale,sqrt_c,sqrt_trailing_c,blend_alpha,blend_c,sqrt_tod_loso_c,sqrt_tod_prior_c,rate_c,rate_delta,rate_k,rate_median_test,propagator_r2,propagator_slope,propagator_scaled_r2,propagator_scaled_slope,sqrt_r2,sqrt_slope,sqrt_trailing_sigma_r2,sqrt_trailing_sigma_slope,sqrt_blend_r2,sqrt_blend_slope,sqrt_tod_loso_r2,sqrt_tod_loso_slope,sqrt_tod_prior_r2,sqrt_tod_prior_slope,sqrt_rate_r2,sqrt_rate_slope
MSFT_2024-06-03,MSFT,50577.0,6355,2737,0,0.25,60,0.597047887505038,1.91416770514152,0.960744674997792,0.8,1.7843769634980553,1.3478736602308303,1.2712153398707349,1.1179599415281742,0.4375934901017941,0.0869758328315737,0.6262458471760798,-2.0350275205864685,0.3543364982143729,0.15637209336897495,0.593480867498058,-0.2108597875209146,0.5152919596734434,0.12358319463583367,1.1675971817878406,-0.005611570770512664,0.5699429576328081,0.12160542973479738,0.6776813852913603,0.10663664569327969,0.7064799461024234,-0.09361392267625379,0.5915877030222653
MSFT_2024-02-01,MSFT,50579.0,8172,3624,1,0.25,60,0.5905954674779118,1.613959175671815,0.8265724132714761,0.71,1.4583920551027405,1.1405823840396194,,2.0639086791520183,0.523109566456815,0.0542460212306536,0.44830820716707787,-3.050922648104277,0.3096104954454947,-0.06422827147070986,0.5242344591089739,-0.3819079737540829,0.500954240582653,0.10438427126684613,1.3609468726170095,0.04444623324942831,0.6151200706360193,0.14931200814647116,0.7125707608736949,,,-0.36451935016189085,0.4817336727557862
MSFT_2024-04-01,MSFT,50574.0,5220,2825,0,0.75,0,1.0803647511144066,1.3512981610879293,0.6884576114950828,0.8300000000000001,1.3420483999730932,0.9116962334211973,0.8834379032522344,1.8576856226241258,0.5292022705962572,0.10882767580025378,0.3936456650511578,-0.22633751041829386,0.49088881017548064,-0.5179649043956442,0.45437321947899934,-0.8379861260873176,0.5194560911294898,0.0907176181413124,1.3303876915389277,-0.3663634423910791,0.5611412098680523,0.3612165706175282,0.8953799601818102,0.371244226635404,0.9474748631491278,-0.5636792531880463,0.5162680429853098
MSFT_2024-10-01,MSFT,50574.0,9607,3926,0,0.25,2,0.6720122849169082,2.1273025354899544,1.1996281871341716,0.71,1.9163146506098347,1.5071282617354855,1.5222138332501456,0.9933770176609079,0.4150488593363051,0.09382094613947498,0.3593384152830992,-1.0813402758060717,0.4210207929663305,0.2556077695438339,0.6265075838879763,-0.009980886674281653,0.584208631224194,0.14668063312433022,1.053245659543039,0.13728364258138415,0.6574179387548642,0.1491359497045337,0.8447183750929825,0.16817883101338216,0.9625411235743807,0.0406386666264662,0.6481146992794011
MSFT_2024-12-02,MSFT,50568.0,3886,2004,0,0.5,5,0.6419337336822896,1.8106111799246138,1.2344599405025147,0.62,1.7346444537234675,1.352604738303807,1.352604738303807,0.7863370507384534,0.40100262906160805,0.09450537306012248,0.5781127535862056,-1.997917324579186,0.3336427461564261,-0.016694979144760147,0.5197463984990623,-0.28541522720464374,0.5362182011973835,0.11534285919369136,0.92541110708456,0.067724691746753,0.6244339583761042,0.2227193210325269,0.8336951975839335,0.2227193210325269,0.8336951975839335,-0.35132112484518174,0.5519953074126912
INTC_2024-08-02,INTC,50578.0,9719,1381,1,0.25,1,0.41391175910656275,1.0339136182836017,0.6795009118842401,0.97,1.0308999932336995,0.6608874962476193,0.6393842554418757,0.5482142167011672,0.429735000458079,0.013991343591719536,0.43652766790974495,-18.878092482137568,0.13926080126748946,-1.3412187307105654,0.336450458832305,-0.3272449549986931,0.47888991217866134,0.10391039514978773,1.4126878280165962,-0.2640316677545862,0.49028766975439514,0.21280398815139479,0.8300121679765413,0.1997427572446746,0.8441849014231776,-0.1712489307860623,0.5585265433692188
INTC_2024-02-01,INTC,50559.0,3573,852,0,0.25,5,0.3020535383919511,1.0329825486383157,1.0319252129880907,0.5700000000000001,1.1625588273230274,0.849687611945342,,0.7286868510894599,0.45601124746334304,0.09936494801378656,0.8745237508417043,-30.973463248808052,0.13730983146078496,-0.3193029745650169,0.45458772703602235,-0.45549804946368155,0.5343516556692685,0.22396089630738902,1.1842702726515824,0.08228339079880775,0.6708326196210137,0.1263136744929858,0.6385234227508273,,,-0.31690490252912906,0.5928866161320684
INTC_2024-04-01,INTC,50468.0,3026,853,1,0.5,5,0.48055551010910913,1.058812677327367,0.6310661332110431,0.84,1.0670603821408673,0.7012662153120686,0.6938123714851157,0.652778581446712,0.4383943131268093,0.09390472039459327,0.7122905027932961,-12.057091719484747,0.1967436428240186,-0.8430592033162294,0.40940877523045865,-0.6940989874658288,0.48450709160819516,0.09106312847844567,1.4029985404267478,-0.30393695060813974,0.5307733406667606,0.31438430476550994,0.9625750259967852,0.31755856448504716,0.9684305174229622,-0.48505901260914475,0.5535288235139293
INTC_2024-10-01,INTC,50491.0,2758,624,1,0.25,0,0.23250317895292644,1.0782229431738433,1.170895580875645,0.43,1.1900772568672648,0.8938073649660504,0.8708559125356132,0.6451855922817105,0.43465602305592493,0.08014950746746102,0.8274041557521425,-36.10631524998282,0.11850374814962561,0.029880116778448818,0.5096865715269139,-0.6309355680804984,0.3839152400141141,-0.1097547653118216,0.4103899058191875,-0.28847536569188725,0.3827078936063189,0.08085420422257683,0.5870830804148253,0.0686686938960146,0.5768959669715213,-0.2572603916384517,0.505515751241704
INTC_2024-12-02,INTC,50583.0,4195,1904,1,0.25,2,0.25156419380279427,1.6972760082547014,0.603344826113899,0.77,1.581989630401294,1.3088858296387875,1.3088858296387875,1.0403952557859366,0.4358731809301716,0.09875808648984073,0.33919606999426277,-8.068518851759395,0.17367240878175177,0.18824708024526315,0.6903701443214799,0.17238317043760665,0.712724907070436,0.12172063073804573,1.9140721869729536,0.23406158129903265,0.7969085486879193,0.1384180670081201,1.0621258841999353,0.1384180670081201,1.0621258841999353,0.20099610779651267,0.7558029134992851
