symbol,normaliser,n_metaorders,delta,delta_lo,delta_hi,c_free,c_half,c_half_lo,c_half_hi
AAPL,venue_volume_venue_sigma,4235,0.40785735430697767,,,0.8521266261298037,1.5140726329280518,,
AAPL,consolidated_volume_venue_sigma,4235,0.3997462608392352,,,1.5266970789507603,3.344496416259079,,
AAPL,venue_volume_consolidated_sigma,4235,0.37970086137435777,,,0.5089782825082991,1.0800752480615912,,
AAPL,consolidated_volume_consolidated_sigma,4235,0.38083376956811893,,,0.9422027025791457,2.396362342774662,,
ABBV,venue_volume_venue_sigma,12319,0.4209922760513269,,,0.791148886753995,1.2709318942921908,,
ABBV,consolidated_volume_venue_sigma,12319,0.39445486736625707,,,1.6676544121004977,4.005220228822978,,
ABBV,venue_volume_consolidated_sigma,12319,0.4039732118031678,,,0.6139079832229762,1.0928014945435236,,
ABBV,consolidated_volume_consolidated_sigma,12319,0.3981924295155836,,,1.4910828258798288,3.471251458617447,,
AEP,venue_volume_venue_sigma,14904,0.3809778484500122,,,0.6508495957265689,1.3381781871886549,,
AEP,consolidated_volume_venue_sigma,14904,0.3764940119472604,,,1.0952744072824163,2.768848185268636,,
AEP,venue_volume_consolidated_sigma,14904,0.3778493209558231,,,0.5918151310524751,1.2402465430916787,,
AEP,consolidated_volume_consolidated_sigma,14904,0.37755998583305833,,,1.0256401979416807,2.571902389816093,,
AJG,venue_volume_venue_sigma,6759,0.3074555730392127,,,0.3098908919806733,0.839046938779989,,
AJG,consolidated_volume_venue_sigma,6759,0.2940441845599156,,,0.5449428296372408,2.4715268821162377,,
AJG,venue_volume_consolidated_sigma,6759,0.29492549038827054,,,0.27211568446687334,0.7867883731988637,,
AJG,consolidated_volume_consolidated_sigma,6759,0.28525824040571124,,,0.47965257686791596,2.321452075785224,,
ALLE,venue_volume_venue_sigma,6767,0.30613041480458997,,,0.2796114489390957,0.7480820113033799,,
ALLE,consolidated_volume_venue_sigma,6767,0.2959808731878866,,,0.4751336217143486,1.9992254027449987,,
ALLE,venue_volume_consolidated_sigma,6767,0.2786615591987401,,,0.2607909608966524,0.8036190396949126,,
ALLE,consolidated_volume_consolidated_sigma,6767,0.278753118078276,,,0.4537642733067764,2.158347894043153,,
AMCR,venue_volume_venue_sigma,2448,0.31882328586479153,,,0.4420759499341478,1.0285719312910917,,
AMCR,consolidated_volume_venue_sigma,2448,0.30126869239198256,,,0.8645131196625316,3.6150948032917007,,
AMCR,venue_volume_consolidated_sigma,2448,0.27910447752534745,,,0.3031439637535914,0.8533580094901068,,
AMCR,consolidated_volume_consolidated_sigma,2448,0.24524291804834938,,,0.4696551050339375,2.9632434855496843,,
AMP,venue_volume_venue_sigma,6030,0.31940352845099734,,,0.3120650226785842,0.7782911131160452,,
AMP,consolidated_volume_venue_sigma,6030,0.32028275714575666,,,0.605553887819487,2.173105443274917,,
AMP,venue_volume_consolidated_sigma,6030,0.2800600197825017,,,0.2457309269574232,0.7498671978536761,,
AMP,consolidated_volume_consolidated_sigma,6030,0.29563173047715985,,,0.4929183192688188,2.110460753329349,,
ANET,venue_volume_venue_sigma,9540,0.29078999352024204,,,0.35478223976266454,1.1710825114765173,,
