symbol,input_file,sha256,n_metaorders,n_sessions,date_min,date_max
AAPL,AAPL.csv,bfa35d693cd3050c5b1c5ad5413ed9f656819b082a130c479969ee2d73dcb47d,4235,127,2024-04-01,2024-09-30
ABBV,ABBV.csv,4b8f03e2e70ce334d5f704ea3acf34eea49681babdb7d2bddc63f982b1b7e3c2,12319,127,2024-04-01,2024-09-30
AEP,AEP.csv,175a99a500436c893012f2561b9e980fbb4ef26fe4a5bbfb34115bfb95fb0fcc,14904,127,2024-04-01,2024-09-30
AJG,AJG.csv,659a3be810c019a5867bd8f166404072f679d488d74d3c85cac1307210c66a10,6759,127,2024-04-01,2024-09-30
ALLE,ALLE.csv,9790b90b14ecc027e71ce3724ff399af47001b50b0d72aa12cafd8948efd7c9a,6767,127,2024-04-01,2024-09-30
AMCR,AMCR.csv,5562ab63bb3198f85b49236bf68e6079935865b8c535eff0b1708caf547e3f3f,2448,127,2024-04-01,2024-09-30
AMP,AMP.csv,078764c19e233af08ee5afaa2aa70a33bf6c80961f4b8c0174c27f90ee7839e0,6030,127,2024-04-01,2024-09-30
ANET,ANET.csv,124f14e83a58b6b452ddd26b17d016a5a087f81e58f8eff5360bc7e887fb4db7,9540,127,2024-04-01,2024-09-30
APH,APH.csv,cbddac58eaeafb65dcaf8e89663ec2c6ed1dcc44b0fb0354f86cc62e6cc4b39c,13687,127,2024-04-01,2024-09-30
ATO,ATO.csv,3422c837d3e44dd743b83b6316ba965a3a261b6a9d22158874830c23882439b7,7979,127,2024-04-01,2024-09-30
AVB,AVB.csv,d21ae1a7ec6d163ded0f71cbe07dce94b9c90125c4e47abfbf7f5f9ab8ace4a0,6532,127,2024-04-01,2024-09-30
AVY,AVY.csv,1b27ee104751a0749618ae1e8f4b9156ad486c58eb047d14525cee3e66717ed2,5169,127,2024-04-01,2024-09-30
BALL,BALL.csv,3e0b2575de66501e5dfee93d9517b589b5c87fb0eebe995f52d2db8bacf47763,10652,127,2024-04-01,2024-09-30
BDX,BDX.csv,76ad664d8af659aa2e2a5f43bea63df218d86e81760dbbd7a59fc4337ecc5479,7213,127,2024-04-01,2024-09-30
BIO,BIO.csv,7f129b6fe0bc009f041083943e653b3c47a94ac13739a4b9ead7a64ca5f2145b,3621,127,2024-04-01,2024-09-30
BKNG,BKNG.csv,058d08aa62026c583a291a88b3bb08147ca6c23b200bb8c42bfdcc8938f2e5cc,5220,127,2024-04-01,2024-09-30
BKR,BKR.csv,1d806f540c018d79c2153d2c350816b48b325ab2782e487a192a080ff3dea0e5,12371,127,2024-04-01,2024-09-30
BLK,BLK.csv,59d9d31fdd08d18dea4cd7087be3ce34967709c341bcec7764a6d5be065189bc,6300,127,2024-04-01,2024-09-30
