dependent,term,coef,se_robust,t,significant_5pct
delta,intercept,0.3475807922472812,0.0052736872956593885,65.90849490324624,True
delta,log_relative_tick,-0.04400275271143199,0.04016558460039032,-1.0955337299137526,False
delta,log_daily_range_ticks,-0.08018669194940294,0.040526010672754506,-1.97864755544054,True
delta,log_dollar_volume,0.035720677193838174,0.004969999039808325,7.187260381284861,True
delta,volatility,0.022048752022150436,0.009449118954944971,2.333418822144444,True
c (delta fixed at 1/2),intercept,1.0862328107989125,0.009348164627503095,116.19744132480542,True
c (delta fixed at 1/2),log_relative_tick,-0.007761246979976044,0.0782228471676872,-0.09921969425810047,False
c (delta fixed at 1/2),log_daily_range_ticks,-0.17627186531728378,0.08425009448520829,-2.092245313128185,True
c (delta fixed at 1/2),log_dollar_volume,0.19863795120315222,0.017207597967064406,11.54361878882504,True
c (delta fixed at 1/2),volatility,0.04276141115746272,0.022273842604646557,1.9198039564373255,False
