symbol,n_sessions,crsp_exchcd,median_ratio_rth_continuous,q25_ratio_rth_continuous,q75_ratio_rth_continuous,median_ratio_full_day,q25_ratio_full_day,q75_ratio_full_day,median_full_day_over_rth_continuous,q25_full_day_over_rth_continuous,q75_full_day_over_rth_continuous
AAPL,127,3,4.7735262316539515,4.384424450829332,5.221030070347844,2.94136227509876,2.7145221465825218,3.209145849252922,1.5752815510055955,1.4778123563348782,1.7581060620837365
ABBV,127,1,9.629088591058261,8.597317152478952,11.65206103783955,9.608746937236916,8.586925045533752,11.645008428400015,1.0016433425615867,1.000918843976836,1.003341879451048
AEP,127,3,4.267531414064789,3.864273333394358,4.802477090083897,2.3294473496571277,2.1570305150853963,2.466030611580245,1.7956019027084473,1.64470682813314,1.9795272864606837
AJG,127,1,9.088121578145284,7.68238818066257,10.743393293065564,9.076122323233415,7.68238818066257,10.633538345724277,1.0001827875095202,1.0,1.0008244880470625
ALLE,127,1,7.282953881155894,6.359432953712911,8.346680478895514,7.282953881155894,6.359296111371259,8.346680478895514,1.0,1.0,1.000045613770872
AMCR,127,1,12.085613457964378,10.816768297278056,14.106608951391125,12.082741892474,10.808155863493136,14.096029357451037,1.0002082590164814,1.000005943612773,1.0014008331240216
AMP,127,1,7.808485458149649,6.7499400063501405,9.358100686569372,7.8013301803133315,6.7499400063501405,9.35719095896549,1.0000263261813873,1.0,1.0002671790457862
ANET,127,1,8.155423788864303,7.359872266900574,9.376506970043957,8.001767260472274,7.240028142165208,9.286594579938422,1.0099675943408655,1.0048912037429187,1.014590793321457
APH,127,1,9.945969394739226,8.66827654361239,11.135664277247768,9.924977778461846,8.588006920511283,11.121556266178773,1.0013387090635977,1.0005255769146082,1.003172560243026
ATO,127,1,9.844847024813298,8.690884614387345,12.415444758215767,9.832624345549739,8.69079207867584,12.403391411486112,1.0,1.0,1.0001258646465998
AVB,127,1,8.130815456766348,7.079536953535374,10.029364636435965,8.126902648558087,7.0459728752373625,10.028565214752959,1.000021015467384,1.0,1.0006167516984759
AVY,127,1,7.756611545579369,6.533618418897902,8.816832925079053,7.756611545579369,6.532994343679663,8.816832925079053,1.0,1.0,1.0001104106792358
BALL,127,1,10.232660564967285,8.521287101015563,11.544063683754958,10.232660564967285,8.521114729844996,11.54209801309009,1.0,1.0,1.000315355825771
BDX,127,1,9.661038389616104,8.613780772808742,11.36620317099245,9.632523094865421,8.60731914179207,11.358457793171501,1.0000688314146577,1.0,1.000499573394102
BIO,127,1,6.690974709350377,5.931373618373481,7.628461811260458,6.6680092743973125,5.9223949371975575,7.628461811260458,1.0000214827386196,1.0,1.0002555624465983
BKNG,127,3,4.400094654953116,3.948828070406374,4.911762652497018,2.7227547852266905,2.491210970350248,2.945252858391351,1.5676220441472888,1.447087978561971,1.7310913855042047
BKR,127,3,4.817974704982327,4.337166300939262,5.471374581765129,2.4902409672255783,2.2988890439124425,2.7287780125707464,1.9257580110109627,1.707508550809636,2.1861800135729723
BLK,127,1,8.504567766566677,7.618751570555782,9.970567295703004,8.452653390545349,7.549356362549198,9.936156633218761,1.0027597626604112,1.0012673133795282,1.005215918601376
BSX,127,1,9.568065154127014,8.381526528112452,11.6465927265902,9.514277856479392,8.361257225089057,11.643732934668925,1.000503603328445,1.000226387248003,1.0012456870215478
C,127,1,9.035878182516676,8.252690597673404,9.94775555291584,8.921841384494423,8.171576499727863,9.895116178580402,1.0076102978451267,1.0046337610513283,1.0125119430607383
CBRE,127,1,8.715528142218764,7.423907896233556,10.568848605205371,8.715528142218764,7.423907896233556,10.568053797676608,1.0000415354837637,1.0,1.0003936982340247
CFG,127,1,8.964814388942012,7.81990245323003,11.102859318680874,8.964814388942012,7.819820941941639,11.101476062950603,1.0001076488341247,1.0000032548569933,1.0005482002653423
CI,127,1,8.349079028276172,7.122198596329969,10.017043015005477,8.348159635873106,7.122166535596461,10.015816368060342,1.000161386633959,1.0000132018864538,1.0011988363223618
CINF,127,3,4.529068865680902,3.9475641426832944,5.248947717570863,2.116213317165876,1.9296920076752118,2.4181799513660165,2.1210367521216718,1.833399105841981,2.445811670388054
CMCSA,127,3,5.360130149697769,4.647640991443742,6.214413389148781,2.6653095314973463,2.4832301138982595,2.9051435346429155,1.944701137534224,1.7436036894322742,2.2626935119267717
CMS,127,1,8.315464480874317,7.299426042396437,9.475417050953856,8.315464480874317,7.294829373665601,9.475386725983522,1.0,1.0,1.0001314799754697
COR,127,1,9.38139272742454,7.796905635547453,10.955517447610605,9.229889612476828,7.795616268983651,10.955517447610605,1.0000271734699977,1.0,1.000389258571964
CSX,127,3,4.530793900836372,4.07283240491601,5.061490546161341,2.627445976296857,2.384326013358354,2.9235560753598313,1.6899217237220512,1.5582256658144509,1.863017125291874
DHI,127,1,8.21891170569204,7.272335400133562,9.620407203571414,8.163435039693763,7.267493323085397,9.378880575341412,1.0034394784827165,1.0013175080323888,1.0078922942301847
DLR,127,1,8.766053712437031,7.662166632233021,10.64333470622384,8.654842682049969,7.581319448791939,10.634984744651234,1.000994122056097,1.0002570883837254,1.0037921240192835
DOC,127,1,9.929468157954805,8.954851238104688,11.301143717994748,9.92943482741374,8.946457265194724,11.301091715644962,1.000080942902216,1.0,1.0004980928406066
DVA,127,1,7.466017500151911,6.472064275402816,8.329322468830142,7.439859620222566,6.466654142588275,8.282484868009487,1.000330698499758,1.0000278545285273,1.0014503895498255
DVN,127,1,7.546590848012777,6.866697881133206,8.34079685943751,7.540792459034362,6.830566246159627,8.28519231289239,1.0025571499523471,1.0016534861159552,1.0042265294159352
EA,127,3,3.6010284510414787,3.3452718648176893,4.187305086221928,2.1694791188187166,1.9721224113020743,2.3705145529946243,1.6403050402756152,1.5158616175115767,1.8635174848397247
EBAY,127,3,4.07626884625153,3.8048476177442447,4.536706930500566,2.5469762423674465,2.4293595815225704,2.7394981712623068,1.5801950733681889,1.4771787173981283,1.6975984886534925
EFX,127,1,7.428147223195115,6.2889896635786,8.643551754316912,7.428147223195115,6.2889896635786,8.631190962882968,1.0000128013108542,1.0,1.000273692402382
EL,127,1,8.323485025665013,7.194450852887009,9.569150025087454,8.282751453865984,7.167575377005587,9.453736025273555,1.002739398825119,1.00130148695334,1.006270003286967
ENPH,127,3,4.31110391531792,4.0167724533511695,4.662104409769241,3.2802546207125753,2.9978439192744446,3.4749936395901226,1.3065326430063982,1.2258988826936854,1.3941136757530108
EPAM,127,1,7.244074322550535,6.432118376014808,8.155140180915186,7.229986783038038,6.423348537779093,8.141248962606188,1.0014475841592934,1.0006073155073862,1.0038694361651594
EQT,127,1,6.714376984705843,5.947217844438441,7.770608773786093,6.707643244785152,5.930094097873779,7.761195693786515,1.0008436519029087,1.0003366799049966,1.0019641299538635
ETSY,127,3,4.0566545221785075,3.714276990813043,4.435600408190638,2.6924980089727297,2.482220172279645,2.871577869588604,1.4691487700802517,1.3495124371211338,1.617305252653694
EXR,127,1,7.373662070117846,6.531537375094098,8.892784088497384,7.372828720105745,6.531472046288744,8.889645010589044,1.0000591061755524,1.0,1.000346573635323
FCX,127,1,8.573277714452797,7.4151176431638195,9.345796326885615,8.499971338444782,7.2783405201038,9.207148866951709,1.010217614464048,1.0063731753716898,1.0179293907767546
FDX,127,1,9.210752202394398,8.210546397988463,10.66046464504495,8.966587327404898,8.12374614412693,10.514942284982132,1.0019401444788443,1.0007986968245843,1.0049871056664028
FE,127,1,7.381150038080731,6.604874826074943,8.31539705045094,7.380343549994537,6.602848425634301,8.31539705045094,1.0000083071657613,1.0,1.0001906073970956
FITB,127,3,4.292569912163307,3.927926347901213,4.807551872098475,2.5386697564098113,2.3363229425599163,2.750231622440867,1.6813302748004526,1.5240900017006576,1.9984783961918113
FSLR,127,3,4.075383116981936,3.8181089908247605,4.451398811319797,3.127770006524167,2.8662117702966867,3.3493747482227123,1.2924259637497206,1.2320860385483803,1.3917994856186078
GOOGL,127,3,4.940582508021436,4.589504307636531,5.324947420254929,2.80951329331009,2.6622866036058532,3.1600657721374903,1.6590617977624682,1.540348541175014,1.8963905730642474
GPC,127,1,8.63443046004354,7.675327360222233,10.058940471068881,8.632688066650331,7.6741188333743615,10.04853694520127,1.0000820806266268,1.0,1.0006488725347427
GS,127,1,8.554716230990955,7.5566761939618825,9.790978136135802,8.504248857256803,7.510129222205457,9.740671142132522,1.0052839241811404,1.0030085803230788,1.0100265088780387
HAL,127,1,9.021177195399092,8.248752206344186,10.161345924680003,9.001154592177198,8.228520253395814,10.134209359088864,1.0022866628273315,1.0008387570294153,1.00388216671692
HAS,127,3,3.8961490100803444,3.5826913906219184,4.390254244578742,2.3679084188424415,2.208252532408909,2.5352664434515093,1.605605164558284,1.4802385743395297,1.7781899473340108
HBAN,127,3,6.133092370965728,5.533493590170675,6.819202377932514,3.762642114136318,3.339755898663085,4.117436785333381,1.5947878357208294,1.4454489486507522,1.8044300816612389
HOLX,127,3,4.051806495422296,3.7265973352520945,4.680951314159554,2.239247980314166,2.078671416986996,2.505335625859872,1.7434812829822846,1.6083723089587396,1.9148945727237248
HSIC,127,3,4.241786233615684,3.8216251026105406,5.051719493939296,2.4597651078659255,2.1923661428606627,2.632342382636299,1.7399957030893611,1.5581506263275506,1.9997630021288861
HUBB,127,1,6.444767329971903,5.741139218384206,7.597402144247889,6.444767329971903,5.741139218384206,7.597402144247889,1.000076365996767,1.0,1.000411790033753
HWM,127,1,9.052730221234922,7.752208451351073,10.39886125403874,9.052730221234922,7.746556438298448,10.396669319463323,1.0005121717227698,1.000138028277751,1.0012815650051365
IT,127,1,7.184773506773576,6.341632893139064,8.396249621650007,7.184773506773576,6.341632893139064,8.38940123099873,1.000051526914225,1.0,1.0003518239707678
ITW,127,1,8.70970543864194,7.964465325625165,10.212401922516703,8.705110703745596,7.953776113025199,10.20234682112936,1.0001857576923587,1.0,1.0007810655273643
