symbol,n_sessions,median_ratio,p05_ratio,p95_ratio
AAPL,127,4.773526231653833,3.9188350709921966,6.294200019446197
ABBV,127,9.629088591057615,7.275095521762576,16.74063106200656
AEP,127,4.2675314140646385,3.3141211805526725,5.758760255044911
AJG,127,9.088121578145213,6.146985019879103,14.841677630449663
ALLE,127,7.282953881155774,5.131364547992259,11.463521145196937
AMCR,127,12.085613457963865,8.791107376694097,23.83346658097575
AMP,127,7.808485458149616,5.754415984787326,12.933511347602638
ANET,127,8.155423788863784,6.0258395860321,11.77503015842925
APH,127,9.945969394739125,7.145844505683874,16.482861201853893
ATO,127,9.844847024812763,7.168430774155742,16.129446987088617
AVB,127,8.130815456766323,5.352782369699898,14.89620396774123
AVY,127,7.756611545579001,5.609033679332251,14.089472469129976
BALL,127,10.232660564966453,6.863045465333704,14.419773819921975
BDX,127,9.661038389615081,7.297998153449545,15.8309310414389
BIO,127,6.690974709350341,5.099885321318777,9.763323329235295
BKNG,127,4.400094654950395,3.4086158300267067,6.224141086831714
BKR,127,4.817974704981837,3.771668104378581,7.344581506013137
BLK,127,8.504567766566598,6.414273163064913,14.214667948379766
BSX,127,9.568065154126915,6.6825258994865875,14.467675244282463
C,127,9.035878182516639,7.337810612974712,12.991647964288212
CBRE,127,8.715528142218679,6.132518218310557,14.620727990625545
CFG,127,8.964814388941928,6.943565784916118,16.379088954437574
CI,127,8.349079028275536,6.2906561206021285,15.174012316295258
CINF,127,4.529068865680583,3.353879936901985,7.6400946058262855
CMCSA,127,5.360130149697544,4.060102148161081,7.938233159327815
CMS,127,8.315464480873827,6.145174418688982,12.913147280147113
COR,127,9.381392727424233,6.559642687034286,16.892072906230677
CSX,127,4.5307939008361995,3.7421482010010525,6.262272133260412
DHI,127,8.21891170569198,6.050803772148182,11.771482087789314
DLR,127,8.766053712436879,6.4235954814117395,14.749679321951072
DOC,127,9.929468157954691,7.6678112654738015,14.627814604286225
DVA,127,7.466017500151873,5.376725335405477,9.967053700302653
DVN,127,7.546590848012626,6.054085121262928,10.536615185724672
EA,127,3.6010284510412225,3.0373171956355476,4.83849348276134
EBAY,127,4.0762688462514856,3.3054733248555888,5.31315008775491
EFX,127,7.42814722319417,5.178470403654645,11.580295685091818
EL,127,8.323485025664361,6.135560906693639,15.18530963078151
ENPH,127,4.311103915317915,3.571941126789496,5.355256792763297
EPAM,127,7.2440743225501025,5.078210022496298,12.320768497308267
EQT,127,6.7143769847055115,4.88336034094924,10.087605810130675
