session,n_metaorders,median_participation
MSFT_2024-06-03,91,0.00046824102774153237
MSFT_2024-02-01,96,0.00047383948191120966
MSFT_2024-04-01,74,0.00035136326882981837
MSFT_2024-10-01,74,0.0003434266860342358
MSFT_2024-12-02,98,0.0003386423069510501
INTC_2024-08-02,103,0.0005799232323174767
INTC_2024-02-01,91,0.0005152207696483077
INTC_2024-04-01,98,0.0004166116274825853
INTC_2024-10-01,104,0.0005099825890338254
INTC_2024-12-02,97,0.00044369597522998566
AAPL_2024-02-01,54,0.00048282695304366016
AAPL_2024-04-01,72,0.0004343346652576509
AAPL_2024-06-03,36,0.0003805084499516046
AAPL_2024-08-01,41,0.0003706158497162599
AAPL_2024-10-01,47,0.00048519363417772897
