,,,r2_trade,r2_trade,r2_ofi,r2_ofi,r2_both,r2_both,incremental_trade,incremental_trade,incremental_ofi,incremental_ofi
,,,min,max,min,max,min,max,min,max,min,max
ofi_variant,relation,symbol,,,,,,,,,,
ofi_best,contemporaneous,AAPL,0.16671448245520726,0.43801690134160753,0.32920360334026333,0.6693848461324271,0.3222571668008547,0.6812073021487355,-0.020917359492287235,0.05367853429025726,0.10247836185120429,0.24754811562833967
ofi_best,contemporaneous,INTC,0.023791762227476032,0.3632653720491792,-0.15999043947227398,0.6022582578231611,0.00013080255025588183,0.5896131942902981,-0.0672260512216043,0.16012124202252986,-0.2067955792343672,0.31256325990113065
ofi_best,contemporaneous,MSFT,-0.0439665705118355,0.27084401944756664,0.15330686328035814,0.47474610403683126,0.2052800625403718,0.4894220574495094,-0.02321595558612377,0.0638005617181645,0.007996899763781595,0.308543800638572
ofi_best,predictive,AAPL,-0.002195126147762627,0.0036021840648646775,-0.007467322915496233,0.009637891262359588,-0.0065759514370646865,0.008644053383287664,-0.0014374334631422903,0.0008913714784315463,-0.004380825289302059,0.005041869318422987
ofi_best,predictive,INTC,-0.0025743889058438274,0.0012460730203683879,-0.003767417707211562,0.0035081460872415926,-0.004907572188200815,0.0027531000606960676,-0.004816476148844284,0.0010129627942963015,-0.0039919509078385484,0.002120453535193967
ofi_best,predictive,MSFT,-0.0030542979293690653,0.0015340384730845313,-0.00999084973405906,0.00698879528092633,-0.009807583461671987,0.004946626709417146,-0.002042168571509184,0.0008258115818037259,-0.006753285532302922,0.0034125882363326143
ofi_integrated,contemporaneous,AAPL,0.16671448245520726,0.43801690134160753,0.5064485493795063,0.7607699256365233,0.4976002705644065,0.7648164940514145,-0.05281589410887533,0.00404656841489115,0.21719649478509018,0.4284358884278605
ofi_integrated,contemporaneous,INTC,0.023791762227476032,0.3632653720491792,0.3547689599092455,0.8123222719795875,0.33177518585338217,0.8063226202243526,-0.022993774055863336,-0.005999651755234869,0.30798342362590614,0.6516485141383568
ofi_integrated,contemporaneous,MSFT,-0.0439665705118355,0.27084401944756664,0.4986352256273856,0.6672426777417176,0.44146334627149464,0.680289772169784,-0.057171879355890964,0.013047094428066397,0.21592390279787155,0.48542991678333014
ofi_integrated,predictive,AAPL,-0.002195126147762627,0.0036021840648646775,-0.005448847203051832,0.004918531902021961,-0.005208270286692462,0.004618267796088316,-0.00045519272831540114,0.00024057691635936962,-0.0030131441389298352,0.0010452056919679764
ofi_integrated,predictive,INTC,-0.0025743889058438274,0.0012460730203683879,-0.002733078743494266,0.001753012349541505,-0.0027487868854811914,0.00037419537430527505,-0.00448362727144036,8.820633272621503e-05,-0.0016729707056327703,0.0013009816885907188
ofi_integrated,predictive,MSFT,-0.0030542979293690653,0.0015340384730845313,-0.008565441736690271,0.0051605615884182665,-0.008099086914434839,0.003533748084050048,-0.0016268135043682186,0.00046635482225543257,-0.0050447889850657734,0.0019997096109655166
