column,delta,r2_in,r2_out,session
signed_vol,0.25,0.43032927589974557,0.36437269594874644,MSFT_2024-06-03
signed_vol,0.5,0.42326996858410004,0.23190712314794826,MSFT_2024-06-03
signed_vol,0.75,0.31505545780986166,-0.19169769768778444,MSFT_2024-06-03
signed_vol,1.0,0.16297295244558296,-0.6384809360994563,MSFT_2024-06-03
ofi_best,0.25,0.45389455452286853,0.3505181945604702,MSFT_2024-06-03
ofi_best,0.5,0.5922175450429759,0.47474610403683126,MSFT_2024-06-03
ofi_best,0.75,0.636675391445471,0.3364186397830369,MSFT_2024-06-03
ofi_best,1.0,0.5394818323851289,-0.41907399558702285,MSFT_2024-06-03
signed_vol,0.25,0.4234820140590887,0.18818843277111785,MSFT_2024-02-01
signed_vol,0.5,0.426941062976412,0.12251817100626117,MSFT_2024-02-01
signed_vol,0.75,0.35421146774848755,-0.03238644691383952,MSFT_2024-02-01
signed_vol,1.0,0.2473153707414315,-0.20200489690019507,MSFT_2024-02-01
ofi_best,0.25,0.4822677746230718,0.3399040203803837,MSFT_2024-02-01
ofi_best,0.5,0.614175574705246,0.42537724538320565,MSFT_2024-02-01
ofi_best,0.75,0.6642149841974128,0.2869752220577605,MSFT_2024-02-01
ofi_best,1.0,0.6303252329353761,-0.4025221854958252,MSFT_2024-02-01
signed_vol,0.25,0.40604694735802827,0.17990060707622446,MSFT_2024-04-01
signed_vol,0.5,0.42601775841641265,-0.0439665705118355,MSFT_2024-04-01
signed_vol,0.75,0.34017426670261675,-0.2827584542249404,MSFT_2024-04-01
signed_vol,1.0,0.1728907251410512,-0.07225925057188975,MSFT_2024-04-01
ofi_best,0.25,0.39162037302982666,0.1900381426702702,MSFT_2024-04-01
ofi_best,0.5,0.526211095305708,0.15330686328035814,MSFT_2024-04-01
ofi_best,0.75,0.5900325680035066,-0.5387447809171937,MSFT_2024-04-01
ofi_best,1.0,0.5407194553251036,-3.15365274617909,MSFT_2024-04-01
signed_vol,0.25,0.4012834008663777,0.25831176497234687,MSFT_2024-10-01
signed_vol,0.5,0.37875302066617667,0.21693586479009963,MSFT_2024-10-01
signed_vol,0.75,0.27104686846853376,0.18805718478354005,MSFT_2024-10-01
signed_vol,1.0,0.13536349541481074,0.15080101680044156,MSFT_2024-10-01
ofi_best,0.25,0.5106366828529911,0.3739260990231017,MSFT_2024-10-01
ofi_best,0.5,0.6311519786340853,0.4460882945866177,MSFT_2024-10-01
ofi_best,0.75,0.6726105572685452,0.387630496322495,MSFT_2024-10-01
ofi_best,1.0,0.6111347659730993,0.05419256024844821,MSFT_2024-10-01
signed_vol,0.25,0.4444663893601466,0.1905498600301806,MSFT_2024-12-02
signed_vol,0.5,0.4570480771981277,0.27084401944756664,MSFT_2024-12-02
signed_vol,0.75,0.2846628007290093,0.43766272408993123,MSFT_2024-12-02
signed_vol,1.0,0.10256778574244052,0.21512174203079992,MSFT_2024-12-02
ofi_best,0.25,0.4170781347270951,0.1583149048562401,MSFT_2024-12-02
ofi_best,0.5,0.5853013677055892,0.21504035749318373,MSFT_2024-12-02
ofi_best,0.75,0.5884192075684667,0.33320533394629515,MSFT_2024-12-02
ofi_best,1.0,0.33842959633259173,0.4015836593369645,MSFT_2024-12-02
signed_vol,0.25,0.42621462262340837,0.41655665140943365,INTC_2024-08-02
