session,symbol,ofi_variant,relation,r2_trade,r2_ofi,r2_both,incremental_trade,incremental_ofi,delta_trade,delta_ofi,n
MSFT_2024-06-03,MSFT,ofi_best,contemporaneous,0.23190712314794826,0.47474610403683126,0.4515301484507075,-0.02321595558612377,0.21962302530275923,0.5,0.5,23369
MSFT_2024-06-03,MSFT,ofi_best,predictive,0.0015340384730845313,0.00698879528092633,0.004946626709417146,-0.002042168571509184,0.0034125882363326143,0.5,0.5,23369
MSFT_2024-06-03,MSFT,ofi_integrated,contemporaneous,0.23190712314794826,0.6398936983687582,0.6133817141723722,-0.026511984196386007,0.38147459102442394,0.5,0.5,23369
MSFT_2024-06-03,MSFT,ofi_integrated,predictive,0.0015340384730845313,0.0051605615884182665,0.003533748084050048,-0.0016268135043682186,0.0019997096109655166,0.5,0.5,23369
MSFT_2024-02-01,MSFT,ofi_best,contemporaneous,0.12251817100626117,0.42537724538320565,0.4310619716448332,0.005684726261627526,0.308543800638572,0.5,0.5,23374
MSFT_2024-02-01,MSFT,ofi_best,predictive,-0.0027039426732136107,-0.005579047396478742,-0.005441698495686653,0.00013734890079208917,-0.0027377558224730425,0.5,0.5,23374
MSFT_2024-02-01,MSFT,ofi_integrated,contemporaneous,0.12251817100626117,0.6092481093431581,0.5901150449263939,-0.01913306441676421,0.4675968739201327,0.5,0.5,23374
MSFT_2024-02-01,MSFT,ofi_integrated,predictive,-0.0027039426732136107,-0.003702647930910574,-0.003718367099601716,-1.571916869114176e-05,-0.0010144244263881053,0.5,0.5,23374
MSFT_2024-04-01,MSFT,ofi_best,contemporaneous,-0.0439665705118355,0.15330686328035814,0.2052800625403718,0.05197319926001365,0.2492466330522073,0.5,0.5,23310
MSFT_2024-04-01,MSFT,ofi_best,predictive,-0.0030542979293690653,-0.00999084973405906,-0.009807583461671987,0.0001832662723870726,-0.006753285532302922,0.5,0.5,23310
MSFT_2024-04-01,MSFT,ofi_integrated,contemporaneous,-0.0439665705118355,0.4986352256273856,0.44146334627149464,-0.057171879355890964,0.48542991678333014,0.5,0.5,23310
MSFT_2024-04-01,MSFT,ofi_integrated,predictive,-0.0030542979293690653,-0.008565441736690271,-0.008099086914434839,0.00046635482225543257,-0.0050447889850657734,0.5,0.5,23310
MSFT_2024-10-01,MSFT,ofi_best,contemporaneous,0.21693586479009963,0.4460882945866177,0.4894220574495094,0.0433337628628917,0.27248619265940976,0.5,0.5,23352
MSFT_2024-10-01,MSFT,ofi_best,predictive,-0.0012167055090717138,-0.00017472207137214646,0.0006510895104315795,0.0008258115818037259,0.0018677950195032933,0.5,0.5,23352
MSFT_2024-10-01,MSFT,ofi_integrated,contemporaneous,0.21693586479009963,0.6672426777417176,0.680289772169784,0.013047094428066397,0.4633539073796844,0.5,0.5,23352
MSFT_2024-10-01,MSFT,ofi_integrated,predictive,-0.0012167055090717138,-0.003187069974529777,-0.0028674758642892595,0.00031959411024051754,-0.0016507703552175457,0.5,0.5,23352
MSFT_2024-12-02,MSFT,ofi_best,contemporaneous,0.27084401944756664,0.21504035749318373,0.27884091921134824,0.0638005617181645,0.007996899763781595,0.5,0.5,22824
MSFT_2024-12-02,MSFT,ofi_best,predictive,-0.0012674794527332,-0.0010461193683821701,-0.0009634974642545036,8.262190412766657e-05,0.0003039819884786965,0.5,0.5,22824
MSFT_2024-12-02,MSFT,ofi_integrated,contemporaneous,0.27084401944756664,0.5004136721995329,0.4867679222454382,-0.013645749954094732,0.21592390279787155,0.5,0.5,22824
MSFT_2024-12-02,MSFT,ofi_integrated,predictive,-0.0012674794527332,-0.0018812066916800152,-0.0018778480732941638,3.3586183858513863e-06,-0.0006103686205609637,0.5,0.5,22824
INTC_2024-08-02,INTC,ofi_best,contemporaneous,0.20692638178462308,-0.15999043947227398,0.00013080255025588183,0.16012124202252986,-0.2067955792343672,0.5,0.5,23389
INTC_2024-08-02,INTC,ofi_best,predictive,-0.0025743889058438274,0.00012202725214116583,-0.00045393537064986056,-0.0005759626227910264,0.002120453535193967,0.5,0.5,23389
INTC_2024-08-02,INTC,ofi_integrated,contemporaneous,0.20692638178462308,0.544480554879049,0.5264081635540598,-0.018072391324989168,0.31948178176943676,0.5,0.5,23389
INTC_2024-08-02,INTC,ofi_integrated,predictive,-0.0025743889058438274,0.001753012349541505,-0.002730614921898855,-0.00448362727144036,-0.00015622601605502773,0.5,0.5,23389
INTC_2024-02-01,INTC,ofi_best,contemporaneous,0.3632653720491792,0.3671327520017834,0.4266076758753755,0.0594749238735921,0.06334230382619632,0.5,0.5,23173
INTC_2024-02-01,INTC,ofi_best,predictive,-0.0009156212803622665,-9.109603935653077e-05,-0.004907572188200815,-0.004816476148844284,-0.0039919509078385484,0.5,0.5,23173
INTC_2024-02-01,INTC,ofi_integrated,contemporaneous,0.3632653720491792,0.6954784958070681,0.6884628000367627,-0.0070156957703053635,0.32519742798758355,0.5,0.5,23173
INTC_2024-02-01,INTC,ofi_integrated,predictive,-0.0009156212803622665,5.095428487844611e-05,-0.002526359482266205,-0.002577313767144651,-0.0016107382019039385,0.5,0.5,23173
INTC_2024-04-01,INTC,ofi_best,contemporaneous,0.023791762227476032,0.08970151322676456,0.0663492878639933,-0.02335222536277126,0.04255752563651727,0.5,0.5,22462
INTC_2024-04-01,INTC,ofi_best,predictive,-0.0009267863142854438,5.151094845667892e-05,0.000383616828761868,0.00033210588030518906,0.0013104031430473118,0.5,0.5,22462
INTC_2024-04-01,INTC,ofi_integrated,contemporaneous,0.023791762227476032,0.3547689599092455,0.33177518585338217,-0.022993774055863336,0.30798342362590614,0.5,0.5,22462
INTC_2024-04-01,INTC,ofi_integrated,predictive,-0.0009267863142854438,0.00028598904157906,0.00037419537430527505,8.820633272621503e-05,0.0013009816885907188,0.5,0.5,22462
INTC_2024-10-01,INTC,ofi_best,contemporaneous,0.09887830413369247,0.4786676152564274,0.4114415640348231,-0.0672260512216043,0.31256325990113065,0.5,0.5,23080
INTC_2024-10-01,INTC,ofi_best,predictive,-0.0022053955062411035,-0.003767417707211562,-0.0027544549129152607,0.0010129627942963015,-0.0005490594066741572,0.5,0.5,23080
INTC_2024-10-01,INTC,ofi_integrated,contemporaneous,0.09887830413369247,0.7690843741191209,0.7505268182720493,-0.01855755584707164,0.6516485141383568,0.5,0.5,23080
INTC_2024-10-01,INTC,ofi_integrated,predictive,-0.0022053955062411035,-0.002733078743494266,-0.0027487868854811914,-1.5708141986925384e-05,-0.000543391379240088,0.5,0.5,23080
INTC_2024-12-02,INTC,ofi_best,contemporaneous,0.3274471550982496,0.6022582578231611,0.5896131942902981,-0.012645063532862988,0.2621660391920485,0.5,0.5,23107
INTC_2024-12-02,INTC,ofi_best,predictive,0.0012460730203683879,0.0035081460872415926,0.0027531000606960676,-0.000755046026545525,0.0015070270403276798,0.5,0.5,23107
INTC_2024-12-02,INTC,ofi_integrated,contemporaneous,0.3274471550982496,0.8123222719795875,0.8063226202243526,-0.005999651755234869,0.478875465126103,0.5,0.5,23107
INTC_2024-12-02,INTC,ofi_integrated,predictive,0.0012460730203683879,0.0003694084581594703,-0.00042689768526438243,-0.0007963061434238528,-0.0016729707056327703,0.5,0.5,23107
AAPL_2024-02-01,AAPL,ofi_best,contemporaneous,0.16671448245520726,0.34317452629314193,0.3222571668008547,-0.020917359492287235,0.15554268434564744,0.5,0.5,23356
AAPL_2024-02-01,AAPL,ofi_best,predictive,0.0006478514262756585,0.0021421648416669603,0.00070473137852467,-0.0014374334631422903,5.6879952249011545e-05,0.5,0.5,23356
AAPL_2024-02-01,AAPL,ofi_integrated,contemporaneous,0.16671448245520726,0.6101709291466203,0.557355035037745,-0.05281589410887533,0.3906405525825377,0.5,0.5,23356
AAPL_2024-02-01,AAPL,ofi_integrated,predictive,0.0006478514262756585,0.00022182956254579445,-0.0002333631657696067,-0.00045519272831540114,-0.0008812145920452652,0.5,0.5,23356
AAPL_2024-04-01,AAPL,ofi_best,contemporaneous,0.2804037757793163,0.32920360334026333,0.3828821376305206,0.05367853429025726,0.10247836185120429,0.5,0.5,23270
AAPL_2024-04-01,AAPL,ofi_best,predictive,-0.002195126147762627,-0.007467322915496233,-0.0065759514370646865,0.0008913714784315463,-0.004380825289302059,0.5,0.5,23270
AAPL_2024-04-01,AAPL,ofi_integrated,contemporaneous,0.2804037757793163,0.5064485493795063,0.4976002705644065,-0.008848278815099864,0.21719649478509018,0.5,0.5,23270
AAPL_2024-04-01,AAPL,ofi_integrated,predictive,-0.002195126147762627,-0.005448847203051832,-0.005208270286692462,0.00024057691635936962,-0.0030131441389298352,0.5,0.5,23270
