lag,mean_G_over_G0,band_lo,band_hi,n_sessions_positive
0,1.0,1.0,1.0,15
1,0.002048329888968969,-0.016902858333988743,0.030953552844808403,5
2,-0.0052917476550046845,-0.009840608644587684,-0.001260143206435187,5
3,-0.006582163706019614,-0.011245615909258518,-0.0015163921637889196,5
4,-0.002840266256631265,-0.007392658015053318,0.0016461392296814126,6
5,-0.001714305314500105,-0.004881063684111485,0.0017225469745827343,5
6,-0.0040122423115871685,-0.008191816526764392,0.0005454943084377846,4
7,-0.0055366744417166495,-0.00838676200049699,-0.002784201444423283,3
8,-0.004263149301210318,-0.007425256652794128,-0.0008987341846827158,6
9,-0.0057601732874023185,-0.008129835394989415,-0.003325145468509106,2
10,-0.005938145675999195,-0.007700180191979028,-0.004062682785772666,2
11,-0.006254863501407478,-0.008570362736251266,-0.0038329342194480596,1
12,-0.005398032334814152,-0.00797725470912328,-0.0028461856653714643,3
13,-0.004395444043786802,-0.007058919938280865,-0.001715507168205108,3
14,-0.003807526187301096,-0.006324324976242506,-0.0013723024979717712,3
15,-0.002583337257104015,-0.006133544950499175,0.0020984927620455894,4
16,-0.0036825503495731848,-0.006645649837897754,-0.0009198348265424503,5
17,-0.003808186049101112,-0.006141958389517512,-0.0016206454345252985,3
18,-0.0034403880235822065,-0.005795364559855316,-0.0006347396375129678,3
19,-0.002880516809880362,-0.005478615487284003,-0.00016487950241946063,6
20,-0.006562921782406107,-0.012666179285384062,-0.0028174295101742125,1
