lag,horizon_ms,mean_return_response_over_initial,mean_level_response_over_initial,n_sessions,status
0,0,1.0,1.0,15,descriptive_selected_validation_no_level_CI
1,100,0.002048329888968969,1.0020483298889689,15,descriptive_selected_validation_no_level_CI
2,200,-0.0052917476550046845,0.9967565822339641,15,descriptive_selected_validation_no_level_CI
3,300,-0.006582163706019614,0.9901744185279445,15,descriptive_selected_validation_no_level_CI
4,400,-0.002840266256631265,0.9873341522713133,15,descriptive_selected_validation_no_level_CI
5,500,-0.001714305314500105,0.9856198469568132,15,descriptive_selected_validation_no_level_CI
6,600,-0.0040122423115871685,0.981607604645226,15,descriptive_selected_validation_no_level_CI
7,700,-0.0055366744417166495,0.9760709302035093,15,descriptive_selected_validation_no_level_CI
8,800,-0.004263149301210318,0.971807780902299,15,descriptive_selected_validation_no_level_CI
9,900,-0.0057601732874023185,0.9660476076148967,15,descriptive_selected_validation_no_level_CI
10,1000,-0.005938145675999195,0.9601094619388976,15,descriptive_selected_validation_no_level_CI
11,1100,-0.006254863501407478,0.9538545984374901,15,descriptive_selected_validation_no_level_CI
12,1200,-0.005398032334814152,0.9484565661026759,15,descriptive_selected_validation_no_level_CI
13,1300,-0.004395444043786802,0.9440611220588891,15,descriptive_selected_validation_no_level_CI
14,1400,-0.003807526187301096,0.9402535958715881,15,descriptive_selected_validation_no_level_CI
15,1500,-0.002583337257104015,0.937670258614484,15,descriptive_selected_validation_no_level_CI
16,1600,-0.0036825503495731848,0.9339877082649108,15,descriptive_selected_validation_no_level_CI
17,1700,-0.003808186049101112,0.9301795222158097,15,descriptive_selected_validation_no_level_CI
18,1800,-0.0034403880235822065,0.9267391341922275,15,descriptive_selected_validation_no_level_CI
19,1900,-0.002880516809880362,0.9238586173823472,15,descriptive_selected_validation_no_level_CI
20,2000,-0.006562921782406107,0.9172956955999411,15,descriptive_selected_validation_no_level_CI
