participation,impact_over_sigma,n
4.247490804871684e-07,0.002833533337363422,882
1.6729197637696464e-06,0.00305776095946878,761
3.463558218741862e-06,0.004332057163412377,788
6.1712430020624045e-06,0.0054489380192222076,716
1.0725630510914476e-05,0.005640500716697523,787
1.7057403412609364e-05,0.005037128673620622,798
2.210584098385343e-05,0.008277599905590263,781
3.11850787478082e-05,0.009481257892990713,782
4.301109910274624e-05,0.01196403494656367,790
6.154389107852369e-05,0.01436931613583509,782
9.530513244668433e-05,0.018236882829221493,783
0.0002570097508712462,0.02527097429617233,787
