session,symbol,n_bars,explanatory_r2,explanatory_delta,explanatory_lags,memoryless_r2,predictive_r2,predictive_delta,predictive_lags,ratio,metaorder_exponent,metaorder_r2,n_metaorders
MSFT_2024-06-03,MSFT,23390,0.36599401816980404,0.25,60,0.3643979856480507,0.004233762948951281,1.0,20,86.44650694495358,0.37044105031774394,0.9173159105803715,9437
MSFT_2024-02-01,MSFT,23396,0.19953162031966987,0.25,60,0.18604454408122129,0.004466140746661185,1.0,5,44.6765186405817,0.31824401563469934,0.7471293826319283,12639
MSFT_2024-04-01,MSFT,23365,0.19762705499898436,0.25,10,0.18490660375840862,-0.0010315703394259135,0.25,10,inf,0.3343851838339242,0.6861806133293344,8303
MSFT_2024-10-01,MSFT,23383,0.2655150379418062,0.25,10,0.25888298472032745,-0.0007956406645444059,1.0,1,inf,0.39759628067089203,0.9097293947391392,13724
MSFT_2024-12-02,MSFT,23150,0.4368226282655675,0.75,0,0.4368226282655675,0.0012190162210919953,0.5,2,358.34029171019694,0.3319751963514595,0.9064880482755362,6086
INTC_2024-08-02,INTC,23394,0.43228774209150433,0.25,0,0.43228774209150433,0.004550150568466638,0.25,10,95.00515105749163,0.37258246515925464,0.9755243900038019,13801
INTC_2024-02-01,INTC,23210,0.541957687054985,0.25,20,0.5297726250055084,-0.00035033154758479235,0.25,2,inf,0.20867978760256797,0.6996644107152874,4767
INTC_2024-04-01,INTC,22562,0.38703454256799863,0.25,20,0.3716059406333564,0.001996019945578298,0.25,5,193.90314381646365,0.3212141088071603,0.8158229814486935,4087
INTC_2024-10-01,INTC,23146,0.4597450383014814,0.25,0,0.4597450383014814,0.001974117892081906,0.25,1,232.88631350006864,0.46675888287393025,0.9535787916190325,3587
INTC_2024-12-02,INTC,23208,0.3637542780063042,0.25,60,0.36089796989942924,0.0019310330212878313,0.25,1,188.37289367724625,0.30371092270474803,0.9817704171038729,8162
AAPL_2024-02-01,AAPL,23388,0.3087892793380126,0.25,0,0.3087892793380126,0.0006405212340664379,0.25,5,482.0906207552574,0.28552647997633723,0.7608916742020901,20401
AAPL_2024-04-01,AAPL,23332,0.4071479792944258,0.25,5,0.40401858807593427,-0.00021972892622268425,1.0,1,inf,0.30370841685544764,0.7596450958451819,9667
AAPL_2024-06-03,AAPL,23372,0.38415431620752294,0.5,60,0.38058665175392503,0.0056063292441698165,0.25,5,68.5215404726749,0.39550472252979074,0.7765140252169085,19254
AAPL_2024-08-01,AAPL,23399,0.43732219386406934,0.5,2,0.4368919566966618,0.001288309368919438,0.25,2,339.454330158967,0.3152354000442579,0.7133256454734125,24319
AAPL_2024-10-01,AAPL,23400,0.3156196784399736,0.25,2,0.3078255496482838,0.0006120565355076657,1.0,5,515.6707920424136,0.48726714009420513,0.8697959370307534,28839
