delta,n_lags,r2_in,r2_out,G0,half_life
0.25,60,0.4351138132941792,0.36599401816980404,2.3781145361863427e-05,1.0
0.25,10,0.4345785348913933,0.3651927313239214,2.4052011204190583e-05,1.0
0.25,20,0.4350043997278318,0.3647347073127558,2.4022287239434503e-05,1.0
0.25,0,0.4303254351457406,0.3643979856480507,2.3932685609989646e-05,
0.25,1,0.43188090034962645,0.36425535726940483,2.408079324023494e-05,1.0
0.25,5,0.4328875543387617,0.36353474727325685,2.4101533100991504e-05,1.0
0.25,2,0.43292401414189896,0.36323120917942087,2.412377135545471e-05,1.0
0.5,60,0.42214545083799127,0.2411765855344511,5.75513184154231e-06,1.0
0.5,20,0.42511537130739485,0.24082844921557778,5.799511613726952e-06,1.0
0.5,10,0.4258618868239038,0.2403224363326203,5.805655122166619e-06,1.0
0.5,5,0.42516238287956876,0.23716116021448708,5.823915341759305e-06,1.0
0.5,2,0.42531887478254304,0.2363009978336753,5.8282610804404334e-06,1.0
0.5,1,0.4248999893372093,0.23596128918585824,5.822032428730082e-06,1.0
0.5,0,0.4231944184510221,0.2325164701387502,5.787569550871141e-06,
0.75,10,0.315341153759528,-0.17493597585736032,9.314719948473229e-07,1.0
0.75,20,0.31369565686267653,-0.1753515566279078,9.309251853548898e-07,1.0
0.75,5,0.31556355633865685,-0.18028982799033533,9.358490800185832e-07,1.0
0.75,2,0.31581801247967956,-0.18220995273780027,9.368502920976039e-07,1.0
0.75,1,0.3158104726657671,-0.1824701316744246,9.367910273581969e-07,1.0
0.75,60,0.31044769238071424,-0.18585327831567766,9.328628929180136e-07,1.0
0.75,0,0.31499487639571444,-0.19072451064753793,9.332047753765155e-07,
1.0,20,0.16084012807691517,-0.6335866033703614,9.074142971894468e-08,1.0
1.0,1,0.16303915101963418,-0.6350491868657238,9.205597760653488e-08,1.0
1.0,10,0.1627850451186612,-0.6357751596122077,9.118674906611652e-08,1.0
1.0,5,0.1630477842052468,-0.6372379878489005,9.18105672300359e-08,1.0
1.0,0,0.16297181237527303,-0.6384190638145733,9.196508614831384e-08,
1.0,2,0.1632416919207763,-0.6405569110310758,9.200999166574501e-08,1.0
1.0,60,0.1573058248976985,-0.6420364299051307,9.044840418098047e-08,1.0
