delta,n_lags,r2_in,r2_out,G0,half_life
1.0,20,0.0024394540076150273,0.004254097193391315,2.334264915835657e-09,3.0
1.0,10,0.0016949415124328793,0.004170492108258039,2.4178637906175796e-09,3.0
0.75,20,0.002053912437447236,0.00412514371261774,1.9686712655412896e-08,3.0
0.75,10,0.0016361324572086167,0.003921031391098451,1.965577781722861e-08,3.0
0.75,2,0.0002971590533645818,0.0029104185402341054,2.0321425514684175e-08,
0.75,5,0.0008519102476993723,0.0028804871341607807,2.0069228803551622e-08,3.0
1.0,2,0.00046922806049576327,0.0028133299068383577,2.3107368294487366e-09,
0.5,10,0.0015810822815742753,0.0022771632773657124,1.5070815373666572e-07,1.0
0.5,2,0.0003078915494058032,0.0021126480100586154,1.6488614280597601e-07,1.0
1.0,5,0.0008250942109646608,0.002024849415121488,2.3784105380237727e-09,3.0
0.5,5,0.0009678817489302549,0.0018614588509925367,1.5725710645357567e-07,1.0
0.5,1,0.0002997941218250144,0.001796801848178764,1.662764497170653e-07,
0.5,20,0.0019886631832460866,0.001738463536818724,1.5436455041845225e-07,1.0
0.25,1,0.0006675373169825471,0.001637954650603568,9.773171353824616e-07,
0.75,1,0.0001237202813569871,0.0013907233687950882,2.1870332228847977e-08,
1.0,1,7.340144560674666e-05,0.0008910210430294052,2.5225801393291073e-09,
0.25,2,0.0007331968377161102,0.0006168363291935153,1.0094552738094457e-06,1.0
0.25,10,0.0017536687270049978,0.0001522301421369443,9.266024125912983e-07,1.0
0.25,5,0.0013286066528694906,-0.0004792769073580505,9.612039847737702e-07,1.0
0.25,20,0.002338384259096493,-0.0016722648626796843,9.463284162204372e-07,1.0
1.0,60,0.007362136238224015,-0.004354848829774438,9.764574029374486e-10,3.0
0.75,60,0.005748261494520346,-0.005364667802342904,1.0366961729700827e-08,3.0
0.5,60,0.005136203981009002,-0.007271144080904568,1.1957681319824247e-07,1.0
0.25,60,0.005397660235725854,-0.010407476235714697,8.695819553450902e-07,1.0
