lag,G
0,2.3781145361863427e-05
1,-1.3342775060785204e-06
2,-1.0977161153887456e-06
3,3.144621397751748e-08
4,-3.4189404892071324e-07
5,1.3796084276539378e-07
6,1.0948748377602452e-07
7,-2.371270201982343e-08
8,-5.040107494327338e-08
9,-3.3051691102844007e-07
10,1.8225425152220677e-07
11,-3.9511292389902236e-07
12,-1.9222288261258448e-07
13,3.077786687336117e-08
14,6.793097174620683e-08
15,-1.4052594163416155e-07
16,-6.193226723651176e-08
17,-3.454693466122904e-07
18,1.2958226859653507e-07
19,2.2913073685456284e-07
20,3.2854816490013696e-07
21,3.473272497453266e-08
22,-4.4413761968499395e-07
23,-2.585588838961177e-07
24,-2.607046962199538e-08
25,-4.431025758999917e-07
26,-7.662376673014363e-09
27,-1.8877955004752247e-07
28,-2.7493975765275325e-08
29,-5.818919040320992e-07
30,7.574949659691478e-08
31,5.589082630757263e-09
32,-3.9285688309328946e-07
33,-2.4025909108321055e-07
34,1.4345850112352298e-07
35,2.3346964373139867e-07
36,1.8335869062216183e-07
37,1.85996701033302e-07
38,-1.942490350019316e-07
39,-1.4047747511885037e-07
40,-2.0488387035377356e-08
41,-5.170949492454085e-08
42,8.55563194952065e-08
43,3.8549326183906265e-07
44,-4.951711690435405e-08
45,3.491173973733254e-08
46,-1.9533868060279373e-07
47,-3.2131304653918385e-07
48,2.4497259859583e-07
49,3.3136228424233454e-09
50,-2.6500936027506812e-08
51,-2.9834739096454615e-08
52,4.9306943581247466e-08
53,2.3122982164372373e-07
54,-1.5390694287747148e-07
55,-6.625561186118954e-08
56,5.8873451358243025e-08
57,-5.642260480566271e-07
58,3.522000540379856e-07
59,2.2356589776729276e-09
60,1.9841945175159332e-08
