delta,n_lags,r2_in,r2_out,G0,half_life
0.25,0,0.4214941004047551,0.43228774209150433,5.7180988696016054e-05,
0.25,1,0.42151989786495436,0.43217921121487957,5.712830418293919e-05,1.0
0.25,2,0.4225555780609396,0.431199335871146,5.724473461239144e-05,1.0
0.25,5,0.4238147183358768,0.42918594108843744,5.727362691269665e-05,1.0
0.25,20,0.42619262730248186,0.42779687298846025,5.741024111873766e-05,1.0
0.25,10,0.42475584293692714,0.4272060576914072,5.7370975679928744e-05,1.0
0.25,60,0.43319759831848925,0.4169472916688257,5.7515209271388915e-05,1.0
0.5,0,0.4277365998830863,0.21913176451780414,6.961338816896144e-06,
0.5,1,0.42790112249143775,0.21778083477772803,6.947306860252445e-06,1.0
0.5,2,0.4289173611118915,0.21603580342758666,6.957631603663097e-06,1.0
0.5,20,0.4315246766181374,0.21315935795294205,6.973539536717534e-06,1.0
0.5,5,0.42970581626810145,0.21283259064405913,6.9600624107874775e-06,1.0
0.5,10,0.4305212959390424,0.2087901038521197,6.971397678254463e-06,1.0
0.5,60,0.43887864581717095,0.19320669329309947,6.990224067047339e-06,1.0
0.75,0,0.34870822839705906,-0.11283271757744684,6.173408823698312e-07,
0.75,20,0.351433343175517,-0.1209323889296896,6.148274324957001e-07,1.0
0.75,1,0.34989702953281154,-0.12560475431435458,6.149052723254948e-07,1.0
0.75,2,0.3506602842090387,-0.1271061339603532,6.15430985561713e-07,1.0
0.75,5,0.3509100393549285,-0.12959182458599505,6.150903848413451e-07,1.0
0.75,10,0.35141532567801825,-0.1336914121697541,6.15722933757903e-07,1.0
0.75,60,0.35813307398311933,-0.14292151419482213,6.156720140089292e-07,1.0
1.0,0,0.22024794975140605,-0.21494751222023067,3.8444266819563294e-08,
1.0,20,0.2235804472099252,-0.23052116450671134,3.809693444928573e-08,1.0
1.0,60,0.22911896923955777,-0.24024189126765605,3.802656443950754e-08,1.0
1.0,5,0.2235381847936897,-0.24468886033585124,3.827277511945319e-08,1.0
1.0,1,0.22300060399181332,-0.2451944428568973,3.835002271893122e-08,1.0
1.0,10,0.22403085229382436,-0.24677451546456752,3.828154121220903e-08,1.0
1.0,2,0.22350559179522422,-0.24723810155567305,3.8388409629732045e-08,1.0
