delta,n_lags,r2_in,r2_out,G0,half_life
0.25,10,0.008668607440304621,0.004550150568466638,6.73286802758065e-06,1.0
0.25,5,0.008537996953578153,0.004305138975998046,6.793787330840163e-06,1.0
0.25,2,0.007175370946838067,0.0031746421571658967,6.898247140124342e-06,1.0
0.25,20,0.009322337994573604,0.0031526639360481834,6.667241169681806e-06,1.0
0.25,1,0.006534526186430245,0.00258088627427,7.132183390621301e-06,
0.5,10,0.008082594504153273,-0.00023324135998481488,8.223421081912992e-07,1.0
0.5,5,0.007905318093749059,-0.0008683098311677018,8.285710755901454e-07,1.0
0.5,2,0.006670052530883597,-0.0012314499020715797,8.292729749683769e-07,1.0
0.5,1,0.006317007391706264,-0.0017159563370006126,8.475371951542601e-07,
0.5,20,0.008929116425318795,-0.002582072856921247,8.10814923360777e-07,1.0
1.0,2,0.0039289323569812185,-0.0030701340961380996,5.136414347920966e-09,1.0
1.0,1,0.003912820161994901,-0.003075749013081497,5.1394390818633156e-09,
0.75,2,0.005603887995527579,-0.0045688109037798075,7.693154471698123e-08,1.0
0.75,1,0.005483891243708072,-0.0046800350964031345,7.758246034953269e-08,
0.25,60,0.014372902650796604,-0.005403727343501918,6.557998405479206e-06,1.0
0.75,10,0.007212249804834592,-0.005518971010545659,7.735361058770852e-08,1.0
0.75,5,0.00690455955492042,-0.005936489587996752,7.785540280529235e-08,1.0
1.0,5,0.005257596863566638,-0.006013980166418076,5.2539163197360844e-09,1.0
1.0,10,0.005816093687839752,-0.007323241160428262,5.217438152896461e-09,1.0
0.75,20,0.00826621859715504,-0.010947445629885921,7.605650559116026e-08,1.0
0.5,60,0.014560255421610546,-0.0157590528618039,7.900032778692852e-07,1.0
1.0,20,0.007101461962208733,-0.01688098471224908,5.104742790656042e-09,1.0
0.75,60,0.014244385935482606,-0.0278354408795638,7.365544466760118e-08,1.0
1.0,60,0.012630378522063057,-0.0322911059162998,4.943266254993258e-09,1.0
