session,schedule,pricing,cost_per_share
MSFT_2024-06-03,twap,model,0.0019219900486226913
MSFT_2024-06-03,twap,realised_bucket,0.00014600442175540708
MSFT_2024-06-03,vwap,model,0.001829199628246073
MSFT_2024-06-03,vwap,realised_bucket,0.00016052691430330885
MSFT_2024-06-03,kkt_risk_neutral,model,0.0016830799469900917
MSFT_2024-06-03,kkt_risk_neutral,realised_bucket,0.0001556381141732538
MSFT_2024-06-03,kkt_ac_low,model,0.0016958255996211197
MSFT_2024-06-03,kkt_ac_low,realised_bucket,0.00015772892830298637
MSFT_2024-06-03,kkt_ac_medium,model,0.002153353379804683
MSFT_2024-06-03,kkt_ac_medium,realised_bucket,0.00020134266437712585
MSFT_2024-06-03,kkt_ac_high,model,0.004654815364617015
MSFT_2024-06-03,kkt_ac_high,realised_bucket,0.0004088907210559657
MSFT_2024-04-01,twap,model,0.001840525455990573
MSFT_2024-04-01,twap,realised_bucket,0.00010665712274992166
MSFT_2024-04-01,vwap,model,0.0015841288864340802
MSFT_2024-04-01,vwap,realised_bucket,0.00013347101032711988
MSFT_2024-04-01,kkt_risk_neutral,model,0.0015370419847358647
MSFT_2024-04-01,kkt_risk_neutral,realised_bucket,0.00012551086145741735
MSFT_2024-04-01,kkt_ac_low,model,0.0015509560608578156
MSFT_2024-04-01,kkt_ac_low,realised_bucket,0.00012291856290137318
MSFT_2024-04-01,kkt_ac_medium,model,0.002035318715543079
MSFT_2024-04-01,kkt_ac_medium,realised_bucket,0.00014362939271848196
MSFT_2024-04-01,kkt_ac_high,model,0.004452646071051239
MSFT_2024-04-01,kkt_ac_high,realised_bucket,0.00027827353242859817
MSFT_2024-10-01,twap,model,0.002458018703452188
MSFT_2024-10-01,twap,realised_bucket,0.00016294195939449565
MSFT_2024-10-01,vwap,model,0.0022266874300958407
MSFT_2024-10-01,vwap,realised_bucket,0.00019042707747905397
MSFT_2024-10-01,kkt_risk_neutral,model,0.0021580849329946084
MSFT_2024-10-01,kkt_risk_neutral,realised_bucket,0.00017784696300768242
MSFT_2024-10-01,kkt_ac_low,model,0.0021772024731619376
MSFT_2024-10-01,kkt_ac_low,realised_bucket,0.00017553786896466606
MSFT_2024-10-01,kkt_ac_medium,model,0.00283541657113681
MSFT_2024-10-01,kkt_ac_medium,realised_bucket,0.00020893828536137048
MSFT_2024-10-01,kkt_ac_high,model,0.006153336782851586
MSFT_2024-10-01,kkt_ac_high,realised_bucket,0.0004253349227317918
MSFT_2024-12-02,twap,model,0.0024575358604237633
MSFT_2024-12-02,twap,realised_bucket,0.00014257898313292728
MSFT_2024-12-02,vwap,model,0.002237860349911159
MSFT_2024-12-02,vwap,realised_bucket,0.0001574693717800731
MSFT_2024-12-02,kkt_risk_neutral,model,0.002167573794957354
MSFT_2024-12-02,kkt_risk_neutral,realised_bucket,0.00014688708481559626
MSFT_2024-12-02,kkt_ac_low,model,0.0021869338412342583
MSFT_2024-12-02,kkt_ac_low,realised_bucket,0.00014844352226138206
MSFT_2024-12-02,kkt_ac_medium,model,0.0028547772906727395
MSFT_2024-12-02,kkt_ac_medium,realised_bucket,0.0002023968382885046
MSFT_2024-12-02,kkt_ac_high,model,0.006173842030271765
MSFT_2024-12-02,kkt_ac_high,realised_bucket,0.00044834997068324387
INTC_2024-08-02,twap,model,0.006587090356236941
INTC_2024-08-02,twap,realised_bucket,0.0002278011577365513
INTC_2024-08-02,vwap,model,0.005893736112983911
INTC_2024-08-02,vwap,realised_bucket,0.00022903656310412939
INTC_2024-08-02,kkt_risk_neutral,model,0.005720389611921253
INTC_2024-08-02,kkt_risk_neutral,realised_bucket,0.00022566136165780125
INTC_2024-08-02,kkt_ac_low,model,0.005773861770684549
INTC_2024-08-02,kkt_ac_low,realised_bucket,0.0002285534321193038
INTC_2024-08-02,kkt_ac_medium,model,0.00764794003095608
INTC_2024-08-02,kkt_ac_medium,realised_bucket,0.00030523748326240213
INTC_2024-08-02,kkt_ac_high,model,0.017067530681059203
INTC_2024-08-02,kkt_ac_high,realised_bucket,0.0006505210598419735
INTC_2024-04-01,twap,model,0.002679581657042168
INTC_2024-04-01,twap,realised_bucket,0.00018905553147854532
INTC_2024-04-01,vwap,model,0.0023388208876205935
INTC_2024-04-01,vwap,realised_bucket,0.00018930330407338508
INTC_2024-04-01,kkt_risk_neutral,model,0.0023282321102813175
INTC_2024-04-01,kkt_risk_neutral,realised_bucket,0.00018997081780347197
INTC_2024-04-01,kkt_ac_low,model,0.002349967278865457
INTC_2024-04-01,kkt_ac_low,realised_bucket,0.00019139312893768723
INTC_2024-04-01,kkt_ac_medium,model,0.003117621674891725
INTC_2024-04-01,kkt_ac_medium,realised_bucket,0.0002511124405685727
INTC_2024-04-01,kkt_ac_high,model,0.006861796749321052
INTC_2024-04-01,kkt_ac_high,realised_bucket,0.0005394415602418622
INTC_2024-10-01,twap,model,0.00501315320768778
INTC_2024-10-01,twap,realised_bucket,0.00035165814770328485
INTC_2024-10-01,vwap,model,0.004492024758631636
INTC_2024-10-01,vwap,realised_bucket,0.000310470260052936
INTC_2024-10-01,kkt_risk_neutral,model,0.0044179461655303644
INTC_2024-10-01,kkt_risk_neutral,realised_bucket,0.00032067011052302785
INTC_2024-10-01,kkt_ac_low,model,0.004458492856038264
INTC_2024-10-01,kkt_ac_low,realised_bucket,0.00033376442888477634
INTC_2024-10-01,kkt_ac_medium,model,0.005864160632798003
INTC_2024-10-01,kkt_ac_medium,realised_bucket,0.0004948248067534452
INTC_2024-10-01,kkt_ac_high,model,0.0126923347556315
INTC_2024-10-01,kkt_ac_high,realised_bucket,0.001168648936464026
INTC_2024-12-02,twap,model,0.006258670232255468
INTC_2024-12-02,twap,realised_bucket,0.0002642670693427432
INTC_2024-12-02,vwap,model,0.0057677787243218745
INTC_2024-12-02,vwap,realised_bucket,0.0002496382987893861
INTC_2024-12-02,kkt_risk_neutral,model,0.005570175013760303
INTC_2024-12-02,kkt_risk_neutral,realised_bucket,0.0002549632587654405
INTC_2024-12-02,kkt_ac_low,model,0.005619256808277997
INTC_2024-12-02,kkt_ac_low,realised_bucket,0.0002600165323019436
INTC_2024-12-02,kkt_ac_medium,model,0.007353311784400823
INTC_2024-12-02,kkt_ac_medium,realised_bucket,0.0003500347758655468
INTC_2024-12-02,kkt_ac_high,model,0.01587809083631127
INTC_2024-12-02,kkt_ac_high,realised_bucket,0.0007678239527440332
AAPL_2024-04-01,twap,model,0.0010697021818428447
AAPL_2024-04-01,twap,realised_bucket,8.732910835220133e-05
AAPL_2024-04-01,vwap,model,0.0010159355127238744
AAPL_2024-04-01,vwap,realised_bucket,9.231233341000511e-05
AAPL_2024-04-01,kkt_risk_neutral,model,0.0009654150877868818
AAPL_2024-04-01,kkt_risk_neutral,realised_bucket,9.298831720267985e-05
AAPL_2024-04-01,kkt_ac_low,model,0.0009722442131524048
AAPL_2024-04-01,kkt_ac_low,realised_bucket,9.414715359362354e-05
AAPL_2024-04-01,kkt_ac_medium,model,0.001224518053489178
AAPL_2024-04-01,kkt_ac_medium,realised_bucket,0.00012022939381082235
AAPL_2024-04-01,kkt_ac_high,model,0.002498280217340018
AAPL_2024-04-01,kkt_ac_high,realised_bucket,0.00023727989155137132
AAPL_2024-06-03,twap,model,0.0014072756793460197
AAPL_2024-06-03,twap,realised_bucket,0.00011857480207582335
AAPL_2024-06-03,vwap,model,0.0013639765393065964
AAPL_2024-06-03,vwap,realised_bucket,0.00013775993683914914
AAPL_2024-06-03,kkt_risk_neutral,model,0.0012840548848923545
AAPL_2024-06-03,kkt_risk_neutral,realised_bucket,0.00012740685175870078
AAPL_2024-06-03,kkt_ac_low,model,0.001293219032180067
AAPL_2024-06-03,kkt_ac_low,realised_bucket,0.00012743167866976243
AAPL_2024-06-03,kkt_ac_medium,model,0.0016240450439529925
AAPL_2024-06-03,kkt_ac_medium,realised_bucket,0.00015576291297962502
AAPL_2024-06-03,kkt_ac_high,model,0.003325753185002113
AAPL_2024-06-03,kkt_ac_high,realised_bucket,0.0003043924747504934
AAPL_2024-08-01,twap,model,0.002635698686547961
AAPL_2024-08-01,twap,realised_bucket,0.00018509219148032564
AAPL_2024-08-01,vwap,model,0.0025444672575931663
AAPL_2024-08-01,vwap,realised_bucket,0.00023596332864285555
AAPL_2024-08-01,kkt_risk_neutral,model,0.002414970091101534
AAPL_2024-08-01,kkt_risk_neutral,realised_bucket,0.00020640865222041344
AAPL_2024-08-01,kkt_ac_low,model,0.002431774891000344
AAPL_2024-08-01,kkt_ac_low,realised_bucket,0.00020129848939882212
AAPL_2024-08-01,kkt_ac_medium,model,0.003062679043636007
AAPL_2024-08-01,kkt_ac_medium,realised_bucket,0.00022008305703096647
AAPL_2024-08-01,kkt_ac_high,model,0.006606243286532753
AAPL_2024-08-01,kkt_ac_high,realised_bucket,0.0004306296758220877
AAPL_2024-10-01,twap,model,0.002021583673833514
AAPL_2024-10-01,twap,realised_bucket,0.00016079911391954515
AAPL_2024-10-01,vwap,model,0.0019893426659767493
AAPL_2024-10-01,vwap,realised_bucket,0.00018056097986200674
AAPL_2024-10-01,kkt_risk_neutral,model,0.0018968826493465133
AAPL_2024-10-01,kkt_risk_neutral,realised_bucket,0.00016845052531154115
AAPL_2024-10-01,kkt_ac_low,model,0.0019093632436184716
AAPL_2024-10-01,kkt_ac_low,realised_bucket,0.00016929419684654358
AAPL_2024-10-01,kkt_ac_medium,model,0.002377888568362494
