session,schedule,benchmark,pricing,saving_per_share,saving_pct
MSFT_2024-06-03,kkt_risk_neutral,twap,model,0.00023891010163259964,12.430350604770506
MSFT_2024-06-03,kkt_risk_neutral,vwap,model,0.00014611968125598142,7.988175757289443
MSFT_2024-06-03,kkt_ac_low,twap,model,0.00022616444900157165,11.767201873060808
MSFT_2024-06-03,kkt_ac_low,vwap,model,0.00013337402862495344,7.291387258417445
MSFT_2024-06-03,kkt_ac_medium,twap,model,-0.00023136333118199182,-12.03769662323632
MSFT_2024-06-03,kkt_ac_medium,vwap,model,-0.00032415375155861004,-17.721070273200564
MSFT_2024-06-03,kkt_ac_high,twap,model,-0.002732825315994324,-142.18727708567906
MSFT_2024-06-03,kkt_ac_high,vwap,model,-0.0028256157363709417,-154.47279196531883
MSFT_2024-06-03,kkt_risk_neutral,twap,realised_bucket,-9.633692417846713e-06,-6.598219630625633
MSFT_2024-06-03,kkt_risk_neutral,vwap,realised_bucket,4.888800130055051e-06,3.0454706933554263
MSFT_2024-06-03,kkt_ac_low,twap,realised_bucket,-1.1724506547579284e-05,-8.030240732859916
MSFT_2024-06-03,kkt_ac_low,vwap,realised_bucket,2.79798600032248e-06,1.7430011736448152
MSFT_2024-06-03,kkt_ac_medium,twap,realised_bucket,-5.533824262171877e-05,-37.90175801279758
MSFT_2024-06-03,kkt_ac_medium,vwap,realised_bucket,-4.0815750073817e-05,-25.426110164117006
MSFT_2024-06-03,kkt_ac_high,twap,realised_bucket,-0.00026288629930055867,-180.0536560056771
MSFT_2024-06-03,kkt_ac_high,vwap,realised_bucket,-0.0002483638067526569,-154.71786013614138
MSFT_2024-04-01,kkt_risk_neutral,twap,model,0.0003034834712547082,16.488958099814656
MSFT_2024-04-01,kkt_risk_neutral,vwap,model,4.7086901698215446e-05,2.9724160768388876
MSFT_2024-04-01,kkt_ac_low,twap,model,0.0002895693951327574,15.732974199854835
MSFT_2024-04-01,kkt_ac_low,vwap,model,3.317282557626462e-05,2.0940736489527443
MSFT_2024-04-01,kkt_ac_medium,twap,model,-0.0001947932595525062,-10.583567802253961
MSFT_2024-04-01,kkt_ac_medium,vwap,model,-0.00045118982910899896,-28.481888877403165
MSFT_2024-04-01,kkt_ac_high,twap,model,-0.002612120615060666,-141.92254752895116
MSFT_2024-04-01,kkt_ac_high,vwap,model,-0.0028685171846171585,-181.0785226620211
MSFT_2024-04-01,kkt_risk_neutral,twap,realised_bucket,-1.885373870749569e-05,-17.676961670625545
MSFT_2024-04-01,kkt_risk_neutral,vwap,realised_bucket,7.960148869702534e-06,5.963953408454207
MSFT_2024-04-01,kkt_ac_low,twap,realised_bucket,-1.6261440151451527e-05,-15.246464307479615
MSFT_2024-04-01,kkt_ac_low,vwap,realised_bucket,1.0552447425746697e-05,7.906171834530987
MSFT_2024-04-01,kkt_ac_medium,twap,realised_bucket,-3.697226996856031e-05,-34.664604683973124
MSFT_2024-04-01,kkt_ac_medium,vwap,realised_bucket,-1.0158382391362085e-05,-7.610927920950944
MSFT_2024-04-01,kkt_ac_high,twap,realised_bucket,-0.0001716164096786765,-160.9047809034419
MSFT_2024-04-01,kkt_ac_high,vwap,realised_bucket,-0.0001448025221014783,-108.48986738512458
MSFT_2024-10-01,kkt_risk_neutral,twap,model,0.00029993377045757974,12.202257453791333
MSFT_2024-10-01,kkt_risk_neutral,vwap,model,6.860249710123221e-05,3.0809217393515995
MSFT_2024-10-01,kkt_ac_low,twap,model,0.00028081623029025055,11.424495260994371
MSFT_2024-10-01,kkt_ac_low,vwap,model,4.9484956933903024e-05,2.222357582167386
MSFT_2024-10-01,kkt_ac_medium,twap,model,-0.00037739786768462187,-15.353742717847583
MSFT_2024-10-01,kkt_ac_medium,vwap,model,-0.0006087291410409694,-27.337880153873623
MSFT_2024-10-01,kkt_ac_high,twap,model,-0.003695318079399398,-150.33726448905668
MSFT_2024-10-01,kkt_ac_high,vwap,model,-0.0039266493527557456,-176.34488342114255
MSFT_2024-10-01,kkt_risk_neutral,twap,realised_bucket,-1.490500361318677e-05,-9.147431188734236
MSFT_2024-10-01,kkt_risk_neutral,vwap,realised_bucket,1.2580114471371555e-05,6.606263477816228
MSFT_2024-10-01,kkt_ac_low,twap,realised_bucket,-1.2595909570170413e-05,-7.730304469749686
